"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",1980,1,7.88826859550394
"Cop","ssp126",1980,2,4.64607847611629
"Cop","ssp126",1980,3,7.24810106306148
"Cop","ssp126",1980,4,18.2442736082781
"Cop","ssp126",1980,5,33.797536421428
"Cop","ssp126",1980,6,51.6523046718106
"Cop","ssp126",1980,7,58.7684241821781
"Cop","ssp126",1980,8,41.4177617495349
"Cop","ssp126",1980,9,35.8733843511293
"Cop","ssp126",1980,10,36.8904383302468
"Cop","ssp126",1980,11,25.2708466364438
"Cop","ssp126",1980,12,16.5073995835078
"Cop","ssp126",1981,1,10.395161321919
"Cop","ssp126",1981,2,7.62690354514079
"Cop","ssp126",1981,3,15.2779365906681
"Cop","ssp126",1981,4,20.9036185794796
"Cop","ssp126",1981,5,32.1112398453648
"Cop","ssp126",1981,6,43.8757057025278
"Cop","ssp126",1981,7,48.9563430813392
"Cop","ssp126",1981,8,35.0088949766296
"Cop","ssp126",1981,9,28.7644515276772
"Cop","ssp126",1981,10,27.5159867363887
"Cop","ssp126",1981,11,23.1622350656116
"Cop","ssp126",1981,12,15.4616861294044
"Cop","ssp126",1982,1,9.74327580307598
"Cop","ssp126",1982,2,9.02438873603413
"Cop","ssp126",1982,3,19.8633700841005
"Cop","ssp126",1982,4,22.3309713598616
"Cop","ssp126",1982,5,33.6311841744853
"Cop","ssp126",1982,6,41.7227044328563
"Cop","ssp126",1982,7,45.6169689947
"Cop","ssp126",1982,8,39.4842636924707
"Cop","ssp126",1982,9,35.3677940815057
"Cop","ssp126",1982,10,32.7421423080282
"Cop","ssp126",1982,11,23.8287994439254
"Cop","ssp126",1982,12,14.1838849565447
"Cop","ssp126",1983,1,7.88333001770769
"Cop","ssp126",1983,2,5.04105095973906
"Cop","ssp126",1983,3,6.0795188436641
"Cop","ssp126",1983,4,19.6712345009809
"Cop","ssp126",1983,5,29.6558183104476
"Cop","ssp126",1983,6,40.1371853237857
"Cop","ssp126",1983,7,46.1091711111104
"Cop","ssp126",1983,8,34.1475595935506
"Cop","ssp126",1983,9,32.707589493116
"Cop","ssp126",1983,10,30.7671038658716
"Cop","ssp126",1983,11,25.4243807398738
"Cop","ssp126",1983,12,14.0691876075936
"Cop","ssp126",1984,1,8.44094187211399
"Cop","ssp126",1984,2,6.46663838466861
"Cop","ssp126",1984,3,14.4370063432837
"Cop","ssp126",1984,4,20.1656219861289
"Cop","ssp126",1984,5,30.9576578940581
"Cop","ssp126",1984,6,42.6237062284395
"Cop","ssp126",1984,7,49.0216327999275
"Cop","ssp126",1984,8,34.4352849691747
"Cop","ssp126",1984,9,30.1610465719772
"Cop","ssp126",1984,10,29.2541169327963
"Cop","ssp126",1984,11,21.4596129274605
"Cop","ssp126",1984,12,10.5595569300614
"Cop","ssp126",1985,1,5.8181519395462
"Cop","ssp126",1985,2,5.72669583549118
"Cop","ssp126",1985,3,21.5600014733405
"Cop","ssp126",1985,4,27.2546409623925
"Cop","ssp126",1985,5,43.9098411209481
"Cop","ssp126",1985,6,52.5840448863477
"Cop","ssp126",1985,7,49.5694072790682
