"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1987-06-15,1987,6,6.23515686540935
"ssp126","Bottom",1987-07-16,1987,7,6.32639071113338
"ssp126","Bottom",1987-08-16,1987,8,6.39058022973423
"ssp126","Bottom",1987-09-15,1987,9,6.56160074319561
"ssp126","Bottom",1987-10-16,1987,10,6.80663823305623
"ssp126","Bottom",1987-11-15,1987,11,7.04533239111262
"ssp126","Bottom",1987-12-16,1987,12,6.49203289874906
"ssp126","Bottom",1988-01-16,1988,1,5.84952450713834
"ssp126","Bottom",1988-02-15,1988,2,5.81343573802026
"ssp126","Bottom",1988-03-16,1988,3,5.83036518446805
"ssp126","Bottom",1988-04-15,1988,4,5.89572874480711
"ssp126","Bottom",1988-05-16,1988,5,6.03304432845656
"ssp126","Bottom",1988-06-15,1988,6,6.17391287799788
"ssp126","Bottom",1988-07-16,1988,7,6.25163680538218
"ssp126","Bottom",1988-08-16,1988,8,6.58231075060685
"ssp126","Bottom",1988-09-15,1988,9,6.83778552078107
"ssp126","Bottom",1988-10-16,1988,10,7.181705601254
"ssp126","Bottom",1988-11-15,1988,11,7.22582029955927
"ssp126","Bottom",1988-12-16,1988,12,5.9663958668143
"ssp126","Bottom",1989-01-16,1989,1,5.33879584957283
"ssp126","Bottom",1989-02-14,1989,2,5.41114821288058
"ssp126","Bottom",1989-03-16,1989,3,5.3969627566867
"ssp126","Bottom",1989-04-15,1989,4,5.42351169311025
"ssp126","Bottom",1989-05-16,1989,5,5.74018302833608
"ssp126","Bottom",1989-06-15,1989,6,6.00993612042227
"ssp126","Bottom",1989-07-16,1989,7,6.1952438676612
"ssp126","Bottom",1989-08-16,1989,8,6.41388945028383
"ssp126","Bottom",1989-09-15,1989,9,6.99090914593431
"ssp126","Bottom",1989-10-16,1989,10,7.36673714676123
"ssp126","Bottom",1989-11-15,1989,11,7.15947608462274
"ssp126","Bottom",1989-12-16,1989,12,6.40450882757017
"ssp126","Bottom",1990-01-16,1990,1,4.94249547439609
"ssp126","Bottom",1990-02-14,1990,2,5.26579279819378
"ssp126","Bottom",1990-03-16,1990,3,5.43003768948699
"ssp126","Bottom",1990-04-15,1990,4,5.87688510574406
"ssp126","Bottom",1990-05-16,1990,5,6.38773146319648
"ssp126","Bottom",1990-06-15,1990,6,6.56964559270184
"ssp126","Bottom",1990-07-16,1990,7,6.73677582053516
"ssp126","Bottom",1990-08-16,1990,8,6.95853439284782
"ssp126","Bottom",1990-09-15,1990,9,7.3672908103141
"ssp126","Bottom",1990-10-16,1990,10,7.86746045569748
"ssp126","Bottom",1990-11-15,1990,11,7.92377912510586
"ssp126","Bottom",1990-12-16,1990,12,7.4225588105862
"ssp126","Bottom",1991-01-16,1991,1,5.22775003448986
"ssp126","Bottom",1991-02-14,1991,2,4.97896079653711
"ssp126","Bottom",1991-03-16,1991,3,4.89986365865011
"ssp126","Bottom",1991-04-15,1991,4,5.0454080829357
"ssp126","Bottom",1991-05-16,1991,5,5.28899145012721
"ssp126","Bottom",1991-06-15,1991,6,5.50784080190264
"ssp126","Bottom",1991-07-16,1991,7,5.56164532596102
"ssp126","Bottom",1991-08-16,1991,8,6.27302049156836
"ssp126","Bottom",1991-09-15,1991,9,6.84270955401105
"ssp126","Bottom",1991-10-16,1991,10,7.00637343070538
"ssp126","Bottom",1991-11-15,1991,11,7.13132095562748
"ssp126","Bottom",1991-12-16,1991,12,6.9338219730003
"ssp126","Bottom",1992-01-16,1992,1,6.77565989198614
"ssp126","Bottom",1992-02-15,1992,2,6.45378915497064
"ssp126","Bottom",1992-03-16,1992,3,6.0762608984464
"ssp126","Bottom",1992-04-15,1992,4,6.23514732409639
"ssp126","Bottom",1992-05-16,1992,5,6.39669835628452
"ssp126","Bottom",1992-06-15,1992,6,6.44556260288174
"ssp126","Bottom",1992-07-16,1992,7,6.42703543590787
"ssp126","Bottom",1992-08-16,1992,8,6.86326867580929
"ssp126","Bottom",1992-09-15,1992,9,6.64158156369354
"ssp126","Bottom",1992-10-16,1992,10,6.99656669443062
"ssp126","Bottom",1992-11-15,1992,11,7.15664978779372
"ssp126","Bottom",1992-12-16,1992,12,6.60206944197738
"ssp126","Bottom",1993-01-16,1993,1,5.71185628659967
"ssp126","Bottom",1993-02-14,1993,2,5.3278563634614
"ssp126","Bottom",1993-03-16,1993,3,5.28547143574589
"ssp126","Bottom",1993-04-15,1993,4,5.431705665815
"ssp126","Bottom",1993-05-16,1993,5,5.64432086064036
"ssp126","Bottom",1993-06-15,1993,6,5.7045312692293
"ssp126","Bottom",1993-07-16,1993,7,5.60729710717242
"ssp126","Bottom",1993-08-16,1993,8,5.76524666925272
"ssp126","Bottom",1993-09-15,1993,9,5.77830523703769
"ssp126","Bottom",1993-10-16,1993,10,6.23649606156109
"ssp126","Bottom",1993-11-15,1993,11,6.46415206428659
"ssp126","Bottom",1993-12-16,1993,12,6.48208855818077
"ssp126","Bottom",1994-01-16,1994,1,6.13084619105226
"ssp126","Bottom",1994-02-14,1994,2,5.55262974013702
"ssp126","Bottom",1994-03-16,1994,3,4.99513470850321
"ssp126","Bottom",1994-04-15,1994,4,5.11597034842635
"ssp126","Bottom",1994-05-16,1994,5,5.50882015869341
"ssp126","Bottom",1994-06-15,1994,6,5.99000039118438
"ssp126","Bottom",1994-07-16,1994,7,5.85262657981369
"ssp126","Bottom",1994-08-16,1994,8,5.80788481539987
"ssp126","Bottom",1994-09-15,1994,9,6.68883182084851
"ssp126","Bottom",1994-10-16,1994,10,7.58077905586001
"ssp126","Bottom",1994-11-15,1994,11,6.86782672310801
"ssp126","Bottom",1994-12-16,1994,12,6.29368472291148
"ssp126","Bottom",1995-01-16,1995,1,6.04710726450674
"ssp126","Bottom",1995-02-14,1995,2,5.71882611778475
"ssp126","Bottom",1995-03-16,1995,3,5.31465003659984
"ssp126","Bottom",1995-04-15,1995,4,5.39052171286841
"ssp126","Bottom",1995-05-16,1995,5,5.68631369494135
"ssp126","Bottom",1995-06-15,1995,6,6.15176275892944
"ssp126","Bottom",1995-07-16,1995,7,6.23234432676831
"ssp126","Bottom",1995-08-16,1995,8,6.43033184217471
"ssp126","Bottom",1995-09-15,1995,9,6.77151989954609
"ssp126","Bottom",1995-10-16,1995,10,7.66193909653128
"ssp126","Bottom",1995-11-15,1995,11,7.57046122502009
"ssp126","Bottom",1995-12-16,1995,12,6.56781911258873
"ssp126","Bottom",1996-01-16,1996,1,6.01757538562159
"ssp126","Bottom",1996-02-15,1996,2,5.45472129092207
"ssp126","Bottom",1996-03-16,1996,3,5.48331705703935
"ssp126","Bottom",1996-04-15,1996,4,5.73708718593571
"ssp126","Bottom",1996-05-16,1996,5,6.1233426863916
"ssp126","Bottom",1996-06-15,1996,6,6.3961975097281
"ssp126","Bottom",1996-07-16,1996,7,6.43119769731043
"ssp126","Bottom",1996-08-16,1996,8,6.51591253875097
"ssp126","Bottom",1996-09-15,1996,9,7.26796123776677
