"varname","simulation","year","mean_biomass"
"Cop","ssp245",1993,24.2668149092946
"Cop","ssp245",1994,26.0250299688659
"Cop","ssp245",1995,25.9496890178334
"Cop","ssp245",1996,25.7581739088352
"Cop","ssp245",1997,23.5822715836468
"Cop","ssp245",1998,22.4441784986664
"Cop","ssp245",1999,23.3318594006714
"Cop","ssp245",2000,25.0613094269896
"Cop","ssp245",2001,26.8761152968174
"Cop","ssp245",2002,27.7223445145805
"Cop","ssp245",2003,22.1165406084487
"Cop","ssp245",2004,22.7546990671162
"Cop","ssp245",2005,25.1580416053993
"Cop","ssp245",2006,23.564277277805
"Cop","ssp245",2007,24.4560342569145
"Cop","ssp245",2008,27.1282778503586
"Cop","ssp245",2009,27.1938939532819
"Cop","ssp245",2010,25.0430687251001
"Cop","ssp245",2011,23.9060988518817
"Cop","ssp245",2012,28.8145872315071
"Cop","ssp245",2013,22.9514119671508
"Cop","ssp245",2014,25.5459968382146
"Cop","ssp245",2015,20.3332577044425
"Cop","ssp245",2016,21.1315921025794
"Cop","ssp245",2017,22.2841652987424
"Cop","ssp245",2018,20.2161117295557
"Cop","ssp245",2019,20.4844754587415
"Cop","ssp245",2020,23.0487896589549
"Cop","ssp245",2021,30.8270892414791
"Cop","ssp245",2022,21.9123037701337
"Cop","ssp245",2023,22.6741261059308
"Cop","ssp245",2024,24.7093070350817
"Cop","ssp245",2025,26.407666388395
"Cop","ssp245",2026,25.1847148356118
"Cop","ssp245",2027,26.4872839179502
"Cop","ssp245",2028,25.6057801703157
"Cop","ssp245",2029,23.090269777143
"Cop","ssp245",2030,21.2421462274992
"Cop","ssp245",2031,23.6388509447002
"Cop","ssp245",2032,23.6494650135643
"Cop","ssp245",2033,21.5910783762609
"Cop","ssp245",2034,25.608787954104
"Cop","ssp245",2035,23.5059154814899
"Cop","ssp245",2036,22.4212075705562
"Cop","ssp245",2037,23.1890205094736
"Cop","ssp245",2038,23.4421915600848
"Cop","ssp245",2039,22.3060318905073
"Cop","ssp245",2040,22.747712682354
"Cop","ssp245",2041,21.323723267851
"Cop","ssp245",2042,22.0165070212274
"Cop","ssp245",2043,26.4032753422786
"Cop","ssp245",2044,25.1257080811755
"Cop","ssp245",2045,23.8727805509889
"Cop","ssp245",2046,25.7862082189582
"Cop","ssp245",2047,19.8713077174555
"Cop","ssp245",2048,21.7654308773882
"Cop","ssp245",2049,19.5318506783596
"Cop","ssp245",2050,22.9342526532054
"Cop","ssp245",2051,27.9993048400692
"Cop","ssp245",2052,22.1976140292901
"Cop","ssp245",2053,17.7924531786038
"Cop","ssp245",2054,17.8640298795117
"Cop","ssp245",2055,18.7718476102133
"Cop","ssp245",2056,22.532877881446
"Cop","ssp245",2057,15.8897397168215
"Cop","ssp245",2058,20.7085968449226
"Cop","ssp245",2059,26.6741828019898
"Cop","ssp245",2060,19.4189474071382
"Cop","ssp245",2061,18.4404059813382
"Cop","ssp245",2062,19.9928773591284
"Cop","ssp245",2063,19.3721631266403
"Cop","ssp245",2064,18.9901462715224
"Cop","ssp245",2065,24.4915372371056
"Cop","ssp245",2066,29.3693819871082
"Cop","ssp245",2067,26.0675937935843
"Cop","ssp245",2068,25.6294604168074
"Cop","ssp245",2069,17.5012548593577
"Cop","ssp245",2070,25.358648566964
"Cop","ssp245",2071,28.7710018921385
"Cop","ssp245",2072,22.899402075323
"Cop","ssp245",2073,18.5519280006104
"Cop","ssp245",2074,22.8461860446459
"Cop","ssp245",2075,23.0355193075924
"Cop","ssp245",2076,19.69431550966
"Cop","ssp245",2077,20.6517724806828
"Cop","ssp245",2078,19.296961352811
"Cop","ssp245",2079,20.9220273046756
"Cop","ssp245",2080,20.0290191716579
"Cop","ssp245",2081,24.4979805257345
"Cop","ssp245",2082,21.0356140406712
"Cop","ssp245",2083,19.173520962705
"Cop","ssp245",2084,23.7336116204588
"Cop","ssp245",2085,22.1021426264885
"Cop","ssp245",2086,21.140646063876
"Cop","ssp245",2087,25.1207537574597
"Cop","ssp245",2088,20.4144333913692
"Cop","ssp245",2089,16.1153633151538
"Cop","ssp245",2090,16.3393975673375
"Cop","ssp245",2091,22.409663296417
"Cop","ssp245",2092,19.7996354941154
"Cop","ssp245",2093,19.1998553821279
"Cop","ssp245",2094,22.1198972409535
"Cop","ssp245",2095,22.2257422583696
"Cop","ssp245",2096,23.7953007817011
"Cop","ssp245",2097,23.580766617708
"Cop","ssp245",2098,16.9565251521308
"Cop","ssp245",2099,29.1260032044468
"Cop","ssp585",1980,28.1837348057699
"Cop","ssp585",1981,25.7550135918459
"Cop","ssp585",1982,27.2949790056324
"Cop","ssp585",1983,24.3077608639534
"Cop","ssp585",1984,24.8319019866742
"Cop","ssp585",1985,28.143055430333
"Cop","ssp585",1986,25.0742399326459
"Cop","ssp585",1987,27.4717502819727
"Cop","ssp585",1988,25.8891716976363
"Cop","ssp585",1989,24.5293167888399
"Cop","ssp585",1990,26.7582615526618
"Cop","ssp585",1991,29.8808629324945
"Cop","ssp585",1992,30.2166003927328
"Cop","ssp585",1993,24.2668149092946
"Cop","ssp585",1994,26.0250299688659
"Cop","ssp585",1995,25.9496890178334
"Cop","ssp585",1996,25.7581739088352
"Cop","ssp585",1997,23.5822715836468
"Cop","ssp585",1998,22.4441784986664
"Cop","ssp585",1999,23.3318594006714
"Cop","ssp585",2000,25.0613094269896
"Cop","ssp585",2001,26.8761152968174
"Cop","ssp585",2002,27.7223445145805
"Cop","ssp585",2003,22.1165406084487
"Cop","ssp585",2004,22.7546990671162
"Cop","ssp585",2005,25.1580416053993
"Cop","ssp585",2006,23.564277277805
"Cop","ssp585",2007,24.4560342569145
"Cop","ssp585",2008,27.1282778503586
"Cop","ssp585",2009,27.1938939532819
"Cop","ssp585",2010,25.0430687251001
"Cop","ssp585",2011,23.9060988518817
"Cop","ssp585",2012,28.8145872315071
"Cop","ssp585",2013,22.9514119671508
"Cop","ssp585",2014,25.5459968382146
"Cop","ssp585",2015,20.3332577044425
"Cop","ssp585",2016,21.1315921025794
