"varname","simulation","year","month","prod_biom_month"
"prod_PhL","ssp126",1980,1,0.598601223266203
"prod_PhL","ssp126",1980,2,7.24073169421888
"prod_PhL","ssp126",1980,3,22.3107191678324
"prod_PhL","ssp126",1980,4,15.5734003864242
"prod_PhL","ssp126",1980,5,15.0033930363591
"prod_PhL","ssp126",1980,6,29.4028317151331
"prod_PhL","ssp126",1980,7,26.3947436995366
"prod_PhL","ssp126",1980,8,20.7515365158378
"prod_PhL","ssp126",1980,9,16.4182012856849
"prod_PhL","ssp126",1980,10,10.8701522831824
"prod_PhL","ssp126",1980,11,1.36409991420802
"prod_PhL","ssp126",1980,12,-0.0140488659674876
"prod_PhL","ssp126",1981,1,-0.0573786734043379
"prod_PhL","ssp126",1981,2,9.6385451314623
"prod_PhL","ssp126",1981,3,6.23673786071206
"prod_PhL","ssp126",1981,4,17.1253739177209
"prod_PhL","ssp126",1981,5,11.5057677811906
"prod_PhL","ssp126",1981,6,20.3877862781506
"prod_PhL","ssp126",1981,7,21.2704739306256
"prod_PhL","ssp126",1981,8,20.8952749936652
"prod_PhL","ssp126",1981,9,9.75010333830466
"prod_PhL","ssp126",1981,10,12.682325323503
"prod_PhL","ssp126",1981,11,1.26569283045106
"prod_PhL","ssp126",1981,12,-0.170204642162738
"prod_PhL","ssp126",1982,1,0.425103818688422
"prod_PhL","ssp126",1982,2,17.8455500805272
"prod_PhL","ssp126",1982,3,9.32612517834022
"prod_PhL","ssp126",1982,4,7.12391209123438
"prod_PhL","ssp126",1982,5,12.4395590209384
"prod_PhL","ssp126",1982,6,19.2486575445445
"prod_PhL","ssp126",1982,7,22.8198549786726
"prod_PhL","ssp126",1982,8,22.604642235308
"prod_PhL","ssp126",1982,9,21.0540653576113
"prod_PhL","ssp126",1982,10,12.4741966029087
"prod_PhL","ssp126",1982,11,2.27196225603526
"prod_PhL","ssp126",1982,12,-0.0894770390139472
"prod_PhL","ssp126",1983,1,0.128611934595341
"prod_PhL","ssp126",1983,2,-0.32473133052884
"prod_PhL","ssp126",1983,3,24.4843652323866
