"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",1991,7,53.4195824134672
"Cop","ssp126",1991,8,41.2021803674734
"Cop","ssp126",1991,9,37.6842354497465
"Cop","ssp126",1991,10,33.9264416476464
"Cop","ssp126",1991,11,28.6121598082844
"Cop","ssp126",1991,12,15.2556941404672
"Cop","ssp126",1992,1,9.41950526260385
"Cop","ssp126",1992,2,6.53533909156847
"Cop","ssp126",1992,3,8.2846402468229
"Cop","ssp126",1992,4,49.3862476556983
"Cop","ssp126",1992,5,55.4735672302133
"Cop","ssp126",1992,6,58.34714057446
"Cop","ssp126",1992,7,45.5471276138461
"Cop","ssp126",1992,8,37.9296628496057
"Cop","ssp126",1992,9,34.3320248578704
"Cop","ssp126",1992,10,41.5561238728908
"Cop","ssp126",1992,11,28.639997723054
"Cop","ssp126",1992,12,13.6270546315226
"Cop","ssp126",1993,1,6.68512014513891
"Cop","ssp126",1993,2,5.26877097915852
"Cop","ssp126",1993,3,11.4628077583313
"Cop","ssp126",1993,4,29.8837648160055
"Cop","ssp126",1993,5,47.3036230120016
"Cop","ssp126",1993,6,48.4357817456351
"Cop","ssp126",1993,7,40.3421523675019
"Cop","ssp126",1993,8,36.0654013591691
"Cop","ssp126",1993,9,24.3799678047892
"Cop","ssp126",1993,10,31.9111516635754
"Cop","ssp126",1993,11,24.677997901573
"Cop","ssp126",1993,12,15.1068478836868
"Cop","ssp126",1994,1,8.67543461670102
"Cop","ssp126",1994,2,5.90109495412191
"Cop","ssp126",1994,3,7.10062740672189
"Cop","ssp126",1994,4,31.18920154982
"Cop","ssp126",1994,5,53.9666939857445
"Cop","ssp126",1994,6,59.7748815543705
"Cop","ssp126",1994,7,44.9643574922701
"Cop","ssp126",1994,8,32.8365200709868
"Cop","ssp126",1994,9,30.2235401516577
"Cop","ssp126",1994,10,30.7408565246066
"Cop","ssp126",1994,11,19.7048468492572
"Cop","ssp126",1994,12,12.6046198714592
"Cop","ssp126",1995,1,8.06248661240401
"Cop","ssp126",1995,2,5.51375662019188
"Cop","ssp126",1995,3,15.3851208791763
"Cop","ssp126",1995,4,27.1590539652136
"Cop","ssp126",1995,5,48.7540607159699
"Cop","ssp126",1995,6,64.7992818587202
"Cop","ssp126",1995,7,47.750996194645
"Cop","ssp126",1995,8,34.8230324683359
"Cop","ssp126",1995,9,27.8379838541236
"Cop","ssp126",1995,10,31.1623476626305
"Cop","ssp126",1995,11,21.2954533514865
"Cop","ssp126",1995,12,10.6868220386902
"Cop","ssp126",1996,1,6.15954869737678
"Cop","ssp126",1996,2,4.12949886257836
"Cop","ssp126",1996,3,18.5215751433651
"Cop","ssp126",1996,4,42.4175460141351
"Cop","ssp126",1996,5,54.7178400565954
"Cop","ssp126",1996,6,52.0496781347266
"Cop","ssp126",1996,7,45.0250713850136
"Cop","ssp126",1996,8,33.8170739741449
"Cop","ssp126",1996,9,31.6751865863157
"Cop","ssp126",1996,10,29.2785635721662
"Cop","ssp126",1996,11,19.931581652711
"Cop","ssp126",1996,12,12.318549508337
"Cop","ssp126",1997,1,6.54589463999585
"Cop","ssp126",1997,2,4.45178833424761
"Cop","ssp126",1997,3,18.706779854973
"Cop","ssp126",1997,4,29.6665878653544
"Cop","ssp126",1997,5,42.8404227786082
"Cop","ssp126",1997,6,49.0495470948948
"Cop","ssp126",1997,7,46.3089095511364
"Cop","ssp126",1997,8,32.6605694851111
"Cop","ssp126",1997,9,28.8663546313028
"Cop","ssp126",1997,10,28.6224697025919
"Cop","ssp126",1997,11,21.0284719052482
"Cop","ssp126",1997,12,11.4871543892166
"Cop","ssp126",1998,1,5.40409224703133
"Cop","ssp126",1998,2,3.43135424985578
"Cop","ssp126",1998,3,9.45170321918992
"Cop","ssp126",1998,4,20.9088320307214
"Cop","ssp126",1998,5,34.2952274309021
"Cop","ssp126",1998,6,35.6548346597628
"Cop","ssp126",1998,7,43.6413687785086
