"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",1987-06-15,1987,6,6.17333214623676
"ssp126","Bottom",1987-07-16,1987,7,6.99078965704049
"ssp126","Bottom",1987-08-16,1987,8,7.50076653474071
"ssp126","Bottom",1987-09-15,1987,9,7.70328930570926
"ssp126","Bottom",1987-10-16,1987,10,7.38607968464763
"ssp126","Bottom",1987-11-15,1987,11,6.80489340410587
"ssp126","Bottom",1987-12-16,1987,12,5.795873208552
"ssp126","Bottom",1988-01-16,1988,1,4.70078794534201
"ssp126","Bottom",1988-02-15,1988,2,3.73957780157006
"ssp126","Bottom",1988-03-16,1988,3,3.07993478632147
"ssp126","Bottom",1988-04-15,1988,4,3.62549200839998
"ssp126","Bottom",1988-05-16,1988,5,4.56274660783812
"ssp126","Bottom",1988-06-15,1988,6,5.67392656424751
"ssp126","Bottom",1988-07-16,1988,7,6.56856738859894
"ssp126","Bottom",1988-08-16,1988,8,7.18757277334159
"ssp126","Bottom",1988-09-15,1988,9,7.5951118654179
"ssp126","Bottom",1988-10-16,1988,10,7.42549899632547
"ssp126","Bottom",1988-11-15,1988,11,6.74215741649448
"ssp126","Bottom",1988-12-16,1988,12,5.6495874217701
"ssp126","Bottom",1989-01-16,1989,1,4.83016954268512
"ssp126","Bottom",1989-02-14,1989,2,4.59613933695238
"ssp126","Bottom",1989-03-16,1989,3,4.08204385805575
"ssp126","Bottom",1989-04-15,1989,4,4.1035309814941
"ssp126","Bottom",1989-05-16,1989,5,5.0075368512042
"ssp126","Bottom",1989-06-15,1989,6,6.06038796127925
"ssp126","Bottom",1989-07-16,1989,7,6.83504663792107
"ssp126","Bottom",1989-08-16,1989,8,7.37260362604023
"ssp126","Bottom",1989-09-15,1989,9,7.79648542581708
"ssp126","Bottom",1989-10-16,1989,10,7.62889402714832
"ssp126","Bottom",1989-11-15,1989,11,6.61094789197952
"ssp126","Bottom",1989-12-16,1989,12,4.69123818296619
"ssp126","Bottom",1990-01-16,1990,1,3.5404033887835
"ssp126","Bottom",1990-02-14,1990,2,3.00154255555489
"ssp126","Bottom",1990-03-16,1990,3,3.04822689076359
"ssp126","Bottom",1990-04-15,1990,4,3.655973580313
"ssp126","Bottom",1990-05-16,1990,5,4.6358106045505
"ssp126","Bottom",1990-06-15,1990,6,5.74261587838704
"ssp126","Bottom",1990-07-16,1990,7,6.5654468015157
"ssp126","Bottom",1990-08-16,1990,8,7.13735171571641
"ssp126","Bottom",1990-09-15,1990,9,7.5371342452088
"ssp126","Bottom",1990-10-16,1990,10,7.41473814813685
"ssp126","Bottom",1990-11-15,1990,11,6.6719608893486
"ssp126","Bottom",1990-12-16,1990,12,5.40637486701306
"ssp126","Bottom",1991-01-16,1991,1,3.82503719637837
"ssp126","Bottom",1991-02-14,1991,2,2.9950731780822
"ssp126","Bottom",1991-03-16,1991,3,2.98743308854684
"ssp126","Bottom",1991-04-15,1991,4,3.40498961578149
"ssp126","Bottom",1991-05-16,1991,5,4.37410436489415
"ssp126","Bottom",1991-06-15,1991,6,5.39096605239148
"ssp126","Bottom",1991-07-16,1991,7,6.06892108431753
"ssp126","Bottom",1991-08-16,1991,8,6.65457612238575
"ssp126","Bottom",1991-09-15,1991,9,7.39885321788457
"ssp126","Bottom",1991-10-16,1991,10,7.33347398884769
"ssp126","Bottom",1991-11-15,1991,11,7.01308439488718
"ssp126","Bottom",1991-12-16,1991,12,5.78699922162579
"ssp126","Bottom",1992-01-16,1992,1,4.85811107553679
"ssp126","Bottom",1992-02-15,1992,2,4.011967804863
"ssp126","Bottom",1992-03-16,1992,3,3.59137794086401
"ssp126","Bottom",1992-04-15,1992,4,3.99253056164252
"ssp126","Bottom",1992-05-16,1992,5,4.93042408440456
"ssp126","Bottom",1992-06-15,1992,6,6.12338742858464
"ssp126","Bottom",1992-07-16,1992,7,6.83201282523593
"ssp126","Bottom",1992-08-16,1992,8,7.51568132519137
"ssp126","Bottom",1992-09-15,1992,9,7.47276964379914
"ssp126","Bottom",1992-10-16,1992,10,7.13166566167132
"ssp126","Bottom",1992-11-15,1992,11,6.47695875461031
"ssp126","Bottom",1992-12-16,1992,12,5.34998665641238
"ssp126","Bottom",1993-01-16,1993,1,4.41797191658306
