tstep,phl_ssp126,phl_ssp245,phl_ssp585,phs_ssp126,phs_ssp245,phs_ssp585
764,1.637303992,1.378140579,1.325229382,1.938306988,1.821763469,1.757139617
765,1.553708098,1.286243357,1.214515238,1.739925568,1.665880692,1.55491093
766,1.042930334,0.663619953,0.586037811,1.204054777,1.024073894,0.93720637
767,0.213861743,0.146660571,0.234744281,0.355008944,0.290489388,0.380665494
768,0.042926085,0.043548812,0.065653415,0.092666105,0.086069901,0.122266066
769,0.06092918,0.06445147,0.07929508,0.113242752,0.110528279,0.152422895
770,0.272287041,0.151939698,0.322985531,0.410651707,0.294210756,0.536702133
771,0.743483748,0.584304229,0.551092252,0.863802013,0.847055946,0.875278207
772,1.533270373,0.78732384,1.063763095,1.430296499,1.354852389,1.602888529
773,2.061601068,1.512127607,1.290455912,2.090297301,1.900093162,1.939734625
774,1.710776799,1.568976748,1.127559942,2.257951836,2.122331492,1.925848461
775,1.400119815,1.87512924,1.354845082,2.070356497,2.211475987,2.014447717
776,1.611410239,1.449727133,1.475134887,2.016969954,1.872121932,1.903980813
777,1.521068296,1.227785688,1.327169153,1.746178111,1.549643887,1.595181051
778,0.649066652,0.910369196,0.725686714,0.991534553,1.142259083,0.972230695
779,0.191981715,0.1747819,0.214329101,0.29387772,0.310267402,0.406335548
780,0.098572862,0.047192576,0.06507988,0.158695892,0.102080791,0.126958309
781,0.046041135,0.064546308,0.078216474,0.078121951,0.115151377,0.149269662
782,0.246575514,0.131387125,0.177784583,0.377228808,0.252754856,0.330537164
783,0.780912505,0.458743568,0.583300642,0.9374263,0.750631573,0.823380001
784,1.42960307,0.997007194,0.765353836,1.380692712,1.359872606,1.297433445
785,1.8351343,1.656341139,1.306061672,1.978365159,1.918553418,1.973324873
786,1.960655293,2.0143266,1.837720935,2.114126695,2.26757753,2.45496126
787,1.527103354,1.606591688,1.041802101,1.808434487,2.152973923,1.73292832
788,1.682346032,1.28780278,1.271139163,1.905654294,1.737924696,1.726436183
789,1.38115663,1.448689787,1.540836687,1.591688212,1.727317997,1.732289653
790,0.955096605,0.745793368,1.017042415,1.155322459,1.065791882,1.180528195
791,0.218407193,0.230407587,0.196714574,0.369268741,0.409762281,0.366117534
792,0.029788485,0.031840621,0.036430643,0.062781766,0.070604469,0.086114175
793,0.050881342,0.068330253,0.088116968,0.093776834,0.121608632,0.165823734
794,0.160242237,0.121799586,0.152203887,0.286511147,0.257317924,0.288650595
795,0.600117173,0.39927829,0.474744919,0.897543836,0.677518371,0.816383834
796,1.104417875,1.072578124,1.031275902,1.414350127,1.299272486,1.420006316
797,1.944821072,1.44671492,2.143011563,2.225506377,1.904724391,2.068520694
798,1.459578943,1.795234625,1.465327932,2.04342186,2.305838416,2.172217517
799,1.481591228,1.45583654,1.302190494,2.021770888,1.935635414,2.022214099
800,1.414918286,1.562975866,1.492059084,1.801793588,1.967539567,2.002889841
801,1.477620229,1.440406418,1.366104208,1.742574017,1.686980217,1.720837791
802,0.948395304,0.936916876,0.830938605,1.187128485,1.169513887,1.092473867
803,0.217517718,0.176299912,0.128864635,0.383316891,0.340207723,0.24281496
804,0.03454001,0.039105387,0.043213134,0.081423434,0.093780422,0.082998434
805,0.051711944,0.042955934,0.057230332,0.108509736,0.084548611,0.097487953
806,0.167212236,0.15389941,0.26664779,0.317323723,0.297414513,0.496992211
807,0.595083824,0.459811176,0.40194194,0.794173545,0.688958013,0.716680643
808,1.253434083,1.405719949,2.108845476,1.219335256,1.52132786,1.2875625
809,1.722354185,1.603190727,1.376304364,2.148653105,2.077835751,1.700486232
810,1.719427266,1.5417168,1.893311612,2.063692011,2.202794061,2.217861229
811,1.622676432,1.45124101,1.685685987,2.081489068,2.091769007,2.176942205
812,1.872440841,1.323636064,1.244131998,2.096957793,1.821621044,1.657003707
813,1.500609625,1.199128115,1.754426079,1.720235543,1.586073923,1.89232472
814,0.797188668,1.131265594,0.902075647,1.094644114,1.29684583,1.167292394
815,0.247868167,0.160042076,0.191427253,0.366385393,0.328504693,0.31964374
816,0.072475854,0.030965845,0.047710022,0.126439869,0.075470999,0.091545455
817,0.044811955,0.039182581,0.102745016,0.07896597,0.077445664,0.163371389
818,0.203948762,0.122176284,0.210475541,0.361549273,0.259039637,0.389748246
819,0.986139613,0.390323844,0.460616787,0.924496871,0.737993648,0.691568947
820,0.703577448,1.3621881,1.644512833,1.330417618,1.501742773,1.400083328
821,2.075344922,1.762770303,1.443143542,2.056238878,2.016235087,2.038090178
822,1.610472413,1.383341494,1.331422366,1.987251924,2.064872842,2.100118387
823,1.325545664,1.351906825,1.803248702,1.728462588,1.95859391,2.284152397
824,1.690867985,1.354023457,1.638341152,1.849608984,1.860416477,2.100936953
825,1.802766754,1.387001438,1.72324482,1.842493123,1.695659677,1.90346269
826,0.678896059,0.626836492,0.624155627,0.992178527,0.974539894,0.95864546
827,0.257189499,0.286395938,0.243752226,0.392742551,0.430036816,0.39294978
828,0.060106655,0.036272885,0.039896194,0.113451593,0.085094459,0.080728527
829,0.060203461,0.046206966,0.050620544,0.112014141,0.091385578,0.108362114
830,0.181460028,0.081334737,0.158239891,0.315767405,0.163242021,0.306652037
831,0.619907896,0.442091012,0.750016437,0.766982558,0.649001956,0.844588123
832,1.112186679,0.880083208,0.83428953,1.38707584,1.394111061,1.572650171
833,1.240028978,1.435046335,1.320601673,2.029348374,2.029952338,2.175701215
834,1.266733286,1.239395079,1.327493574,2.186480075,2.149814204,2.257320181
835,0.964279156,1.531605299,1.143399289,1.733211701,2.233846167,1.979577816
836,1.226001565,1.493901932,1.35801234,1.755983214,2.016760179,1.843993289
837,1.269039668,1.376416916,1.637045646,1.653319976,1.726937381,1.872814946
838,0.774913483,0.979180115,0.750315942,1.041813142,1.204820616,1.038612848
839,0.191209294,0.128469277,0.210733749,0.297956869,0.280264403,0.371947199
840,0.057611004,0.050932293,0.04816024,0.095116352,0.105128352,0.100013504
841,0.068052758,0.060396848,0.083219127,0.120820834,0.122513554,0.160741691
842,0.18030741,0.155160797,0.219264859,0.300408499,0.303106972,0.409956878
843,0.489049713,0.48425295,0.385671014,0.809175339,0.768081534,0.681661396
844,0.96049451,0.725685871,1.788466384,1.305954265,1.364812405,1.371233572
845,1.945460171,1.569014211,1.776221238,1.947999599,1.985750178,2.076176137
846,1.099854968,1.358357567,1.848603162,2.013150932,2.114331409,2.28301607
847,1.294159561,1.260715108,1.654753858,1.962482044,2.00023175,2.230777695
848,1.473283255,1.588279027,1.648018378,1.921629033,2.139257119,2.035432571
849,1.473435493,1.352333375,1.630377939,1.789097943,1.724816753,1.873463662
850,0.676464964,0.804076679,0.695458571,1.044912127,1.169443974,1.048789022
851,0.138566282,0.148031847,0.291009533,0.298054428,0.335492172,0.488818937
852,0.03954043,0.012782015,0.055290041,0.080889822,0.037968815,0.111469938
