"","varname","simulation","year","month","prod_biom_month","wgoa_prod_centered_1"
"1","prod_PhL","ssp126",1980,1,4.0352814243519,0.203799647523057
"2","prod_PhL","ssp126",1980,2,5.54489335420225,0.280041759744392
"3","prod_PhL","ssp126",1980,3,15.8889031392363,0.802460229852353
"4","prod_PhL","ssp126",1980,4,54.182799728783,2.73647221229728
"5","prod_PhL","ssp126",1980,5,48.7251658376281,2.46083744327844
"6","prod_PhL","ssp126",1980,6,34.8683469575357,1.76100650050665
"7","prod_PhL","ssp126",1980,7,34.2827063196261,1.73142904529848
"8","prod_PhL","ssp126",1980,8,30.2703221425792,1.52878581053559
"9","prod_PhL","ssp126",1980,9,28.6407553888019,1.4464854465434
"10","prod_PhL","ssp126",1980,10,15.3667280561428,0.776088067247394
"11","prod_PhL","ssp126",1980,11,2.85201601797527,0.144039485247755
"12","prod_PhL","ssp126",1980,12,0.73701443736721,0.0372225048910848
"13","prod_PhL","ssp126",1981,1,1.42608296646497,0.0720235283096459
"14","prod_PhL","ssp126",1981,2,2.26029324766079,0.114154855319911
"15","prod_PhL","ssp126",1981,3,7.05544818754633,0.356331492783078
"16","prod_PhL","ssp126",1981,4,27.2273264474925,1.37510100274738
"17","prod_PhL","ssp126",1981,5,27.1878858452968,1.37310907703507
"18","prod_PhL","ssp126",1981,6,25.0677546526697,1.26603302847188
"19","prod_PhL","ssp126",1981,7,18.951339651561,0.957126885319575
"20","prod_PhL","ssp126",1981,8,23.2329925901072,1.17336938935557
"21","prod_PhL","ssp126",1981,9,20.1834866869349,1.01935578712315
"22","prod_PhL","ssp126",1981,10,9.59320050459752,0.484499264328013
"23","prod_PhL","ssp126",1981,11,1.71542247423587,0.0866364594778046
"24","prod_PhL","ssp126",1981,12,0.258566504380068,0.0130587577203218
"25","prod_PhL","ssp126",1982,1,0.878222695266552,0.0443541495425733
"26","prod_PhL","ssp126",1982,2,2.24539629007142,0.113402492749222
"27","prod_PhL","ssp126",1982,3,7.34541354690912,0.370976032238346
"28","prod_PhL","ssp126",1982,4,11.8863980027417,0.600315930546677
"29","prod_PhL","ssp126",1982,5,29.723282000139,1.50115785191603
"30","prod_PhL","ssp126",1982,6,30.0677709896343,1.51855607703387
"31","prod_PhL","ssp126",1982,7,21.1196146379093,1.06663440945014
"32","prod_PhL","ssp126",1982,8,23.4839527445383,1.18604399259556
"33","prod_PhL","ssp126",1982,9,21.2868004134415,1.07507803420422
"34","prod_PhL","ssp126",1982,10,13.1859873421332,0.66595096846358
"35","prod_PhL","ssp126",1982,11,1.99471413666546,0.100741929796624
"36","prod_PhL","ssp126",1982,12,0.261888172158811,0.0132265167069471
"37","prod_PhL","ssp126",1983,1,0.828349992029875,0.0418353563601898
"38","prod_PhL","ssp126",1983,2,2.20478417648278,0.111351400504556
"39","prod_PhL","ssp126",1983,3,10.1909873480565,0.514690156902606
"40","prod_PhL","ssp126",1983,4,15.9709705293514,0.806604997817646
"41","prod_PhL","ssp126",1983,5,22.0619009453979,1.11422405615312
"42","prod_PhL","ssp126",1983,6,24.4817690020099,1.23643814858634
"43","prod_PhL","ssp126",1983,7,24.9376308840596,1.25946119979667
"44","prod_PhL","ssp126",1983,8,27.0280216358315,1.3650352239095
"45","prod_PhL","ssp126",1983,9,22.5118650489679,1.13694924333639
"46","prod_PhL","ssp126",1983,10,12.5557177107761,0.634119550724062
"47","prod_PhL","ssp126",1983,11,2.57818643531095,0.130209874234357
"48","prod_PhL","ssp126",1983,12,0.735185367097953,0.0371301287128285
"49","prod_PhL","ssp126",1984,1,0.79185605862341,0.039992250518777
"50","prod_PhL","ssp126",1984,2,3.40160360719828,0.17179610125247
"51","prod_PhL","ssp126",1984,3,9.18754773014294,0.464011996215387
"52","prod_PhL","ssp126",1984,4,11.4440616050342,0.57797597641228
"53","prod_PhL","ssp126",1984,5,44.6471122034276,2.25487760904862
"54","prod_PhL","ssp126",1984,6,30.2878224326555,1.52966965296789
"55","prod_PhL","ssp126",1984,7,23.9150050509524,1.20781404996531
"56","prod_PhL","ssp126",1984,8,25.3458889193619,1.28008004516169
"57","prod_PhL","ssp126",1984,9,27.9926916052969,1.41375534503084
"58","prod_PhL","ssp126",1984,10,14.0477203679379,0.709472316406786
