"simulation","depthclass","year","annual_avg_temp"
"ssp126","Bottom",1980,5.76234648327088
"ssp126","Bottom",1981,5.74806196435257
"ssp126","Bottom",1982,6.28411045897304
"ssp126","Bottom",1983,6.30448720412649
"ssp126","Bottom",1984,6.01464067643627
"ssp126","Bottom",1985,5.64724903339428
"ssp126","Bottom",1986,6.11737903398032
"ssp126","Bottom",1987,5.90126422369575
"ssp126","Bottom",1988,5.54591346463897
"ssp126","Bottom",1989,5.80125202696193
"ssp126","Bottom",1990,5.36313163044099
"ssp126","Bottom",1991,5.26945929383525
"ssp126","Bottom",1992,5.690572813568
"ssp126","Bottom",1993,5.49114994272886
"ssp126","Bottom",1994,5.35437815835821
"ssp126","Bottom",1995,5.47400024985754
"ssp126","Bottom",1996,5.88299940127555
"ssp126","Bottom",1997,6.06659372997711
"ssp126","Bottom",1998,6.4866370042591
"ssp126","Bottom",1999,5.60169239085467
"ssp126","Bottom",2000,5.79237697511144
"ssp126","Bottom",2001,6.33500318856544
"ssp126","Bottom",2002,6.00366815829196
"ssp126","Bottom",2003,6.92935676878974
"ssp126","Bottom",2004,6.05757677813058
"ssp126","Bottom",2005,6.45247301291734
"ssp126","Bottom",2006,6.05330521460028
"ssp126","Bottom",2007,5.31802585378021
"ssp126","Bottom",2008,5.62656240741003
"ssp126","Bottom",2009,5.65618670329134
"ssp126","Bottom",2010,6.25611089892481
"ssp126","Bottom",2011,5.80343263418533
"ssp126","Bottom",2012,5.42556810624032
"ssp126","Bottom",2013,6.08684697999869
"ssp126","Bottom",2014,6.90990994774189
"ssp126","Bottom",2015,7.12815311243989
"ssp126","Bottom",2016,7.45398138200838
"ssp126","Bottom",2017,6.72527986021999
"ssp126","Bottom",2018,6.7942442487105
"ssp126","Bottom",2019,7.26228648775732
"ssp126","Bottom",2020,6.4364006406254
"ssp126","Bottom",2021,6.76799404840775
"ssp126","Bottom",2022,5.535278097657
"ssp126","Bottom",2023,5.02161099480541
"ssp126","Bottom",2024,5.64948279474168
"ssp126","Bottom",2025,6.08306638173738
"ssp126","Bottom",2026,7.24817258352347
"ssp126","Bottom",2027,6.86549959888811
"ssp126","Bottom",2028,6.30501870788778
"ssp126","Bottom",2029,7.13271040079565
"ssp126","Bottom",2030,7.11652819066944
"ssp126","Bottom",2031,7.33573083845588
"ssp126","Bottom",2032,6.3708190613005
"ssp126","Bottom",2033,6.60422326872941
"ssp126","Bottom",2034,6.36886666446491
"ssp126","Bottom",2035,6.54699608268431
"ssp126","Bottom",2036,6.21307459177544
"ssp126","Bottom",2037,6.7659276755558
"ssp126","Bottom",2038,6.80975741141498
"ssp126","Bottom",2039,6.95678098532767
"ssp126","Bottom",2040,6.40482859881117
"ssp126","Bottom",2041,7.21646460954942
"ssp126","Bottom",2042,7.6056418159668
"ssp126","Bottom",2043,7.27480103561418
"ssp126","Bottom",2044,6.01364651192233
"ssp126","Bottom",2045,6.94221718534093
"ssp126","Bottom",2046,7.34030831283175
"ssp126","Bottom",2047,7.13143320766451
"ssp126","Bottom",2048,6.76089312716036
"ssp126","Bottom",2049,6.97021013239532
"ssp126","Bottom",2050,6.98757590357379
"ssp126","Bottom",2051,6.5477567961187
