"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"cod_pot_federal",4.92535371165759,0,0,0,0,0,4.59531943442712,0,0,0,0,0
"sablefish_pot_federal",4.62261491443333,0,0,0,0,0,1,0,0,0,0,0
"cod_longline_federal",5.02111851090886,0,0,0,0,0,5.00698502356247,0,0,0,0,0
"groundfish_longline",5.5068849353771,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"halibut_longline_federal",5.16164175825159,0,0,0,0,0,5.18084028346347,0,0,0,0,0
"sablefish_longline_federal",4.8395619035685,0,0,0,0,0,4.83879084888652,0,0,0,0,0
"bottom_trawl_federal",5.01156565307704,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"midwater_trawl_federal",4.85740792173021,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"herring_seine_state",4.6830277010083,0,0,0,0,0,4.60788329589802,0,0,0,0,0
"salmon_state",5.51472647951303,0,0,0,0,0,4.60478164119579,0,0,0,0,0
"lingcod_dinglebar_state",5.80112908132534,0,0,0,0,0,5.71732762366743,0,0,0,0,0
"crab_pot_state",5.02596208498657,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"shrimp_pot_state",3.94322092711192,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"scallop_dredge_state",3.45404759083962,0,0,0,0,0,1,0,0,0,0,0
"subsistence",5.46019819390817,0,0,0,0,0,4.65487831503147,0,0,0,0,0
"recreational",5.80112908132534,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"northern_fur_seal_adult",NA,NA,NA,NA,NA,NA,4.61956263465059,0.001940125,0.091,51.39,0.593693967010906,0.00177077252383732
"northern_fur_seal_juvenile",NA,NA,NA,NA,NA,NA,4.63079663942819,0.000344113,0.116,61.19,0.239364096273177,0.0018957345971564
"salmon_returning",NA,NA,NA,NA,NA,NA,3.61857420031537,0.8566338,1.815861,11.8269,0.366737254070438,0.153536514217589
"salmon_outgoing",NA,NA,NA,NA,NA,NA,3.46685605,0.028567,1.641523,14.38647,0.937476185180121,0.114101860984661
"atka_mackerel",NA,NA,NA,NA,NA,NA,3.52687442889722,0.110763,0.35,5.65,0.0305962294799345,0.0619469026548672
"nonpandalid_shrimp",NA,NA,NA,NA,NA,NA,2.8541802726,65.7409972497613,0.576,2.41,0.8,0.239004149377593
"benthic_zooplankton",NA,NA,NA,NA,NA,NA,2.3,17.7990839223165,7.4,37,0.8,0.2
"tanner_crab_fleet",NA,NA,NA,NA,NA,NA,4.32633420300171,0,0,0,0,0
"king_crab_fleet",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"shrimp_trawl",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"flatfish_trawl",NA,NA,NA,NA,NA,NA,4.21757469884466,0,0,0,0,0
"cod_trawl",NA,NA,NA,NA,NA,NA,4.56816226116186,0,0,0,0,0
"pollock_trawl",NA,NA,NA,NA,NA,NA,4.88901320963419,0,0,0,0,0
"rockfish_trawl",NA,NA,NA,NA,NA,NA,4.12018276956997,0,0,0,0,0
