"","year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","matched_name","node"
"7272",2019,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","PTR",0,292.1674637698,"Arrowtooth flounder","35"
"7299",2019,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,5.6385514846,"Flathead sole","39"
"7300",2019,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,125.526676412,"Flathead sole","39"
"7301",2019,"FSOL","Flathead Sole","sole, flathead","D","PTR",0,4.8111998799,"Flathead sole","39"
"7303",2019,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,2482.8879920254,"Flathead sole","39"
"7305",2019,"FSOL","Flathead Sole","sole, flathead","R","PTR",0,48.5284868878,"Flathead sole","39"
"7306",2019,"HLBT","Halibut","halibut, Pacific","D","HAL",0,3245.1085321067,"Pacific halibut","33"
"7307",2019,"HLBT","Halibut","halibut, Pacific","D","POT",0,13.7837879012,"Pacific halibut","33"
"7308",2019,"HLBT","Halibut","halibut, Pacific","R","HAL",0,3802.5415044236,"Pacific halibut","33"
"7309",2019,"HLBT","Halibut","halibut, Pacific","R","JIG",0,4.0454913609,"Pacific halibut","33"
"7310",2019,"HLBT","Halibut","halibut, Pacific","R","POT",0,31.6235453091,"Pacific halibut","33"
"7323",2019,"OCTP","Octopus","octopus, North Pacific","D","HAL",0,37.0256346381,"Octopus","62"
"7324",2019,"OCTP","Octopus","octopus, North Pacific","D","NPT",0,38.5048698219,"Octopus","62"
"7325",2019,"OCTP","Octopus","octopus, North Pacific","D","POT",0,36.0469767251,"Octopus","62"
"7326",2019,"OCTP","Octopus","octopus, North Pacific","D","PTR",0,0.5201930605,"Octopus","62"
"7327",2019,"OCTP","Octopus","octopus, North Pacific","R","HAL",0,3.1199959173,"Octopus","62"
"7328",2019,"OCTP","Octopus","octopus, North Pacific","R","NPT",0,27.3109675275,"Octopus","62"
"7329",2019,"OCTP","Octopus","octopus, North Pacific","R","POT",0,190.3648386193,"Octopus","62"
"7330",2019,"OCTP","Octopus","octopus, North Pacific","R","PTR",0,0.4575795029,"Octopus","62"
"7331",2019,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,286.3153779197,"Pacific cod","51"
"7332",2019,"PCOD","Pacific Cod","cod, Pacific (gray)","D","NPT",0,761.2999640208,"Pacific cod","51"
"7333",2019,"PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",0,42.4264408078,"Pacific cod","51"
