"","simulation","year","month","prod_Cop","prod_Eup","prod_MZL","prod_MZS","prod_NCa","prod_Ph_Total","WGOA_prod_Ph_centered_1"
"1","ssp126",1980,1,0.137956317166921,-0.0853395659883189,0.782022895829031,1.04246153004676,0.0121665365764058,9.50694353818837,0.252262690986628
"2","ssp126",1980,2,0.0792342373372408,-0.0627884075668619,0.921413705202834,0.251777230914949,0.0416452020149522,11.4871048304591,0.304805426111672
"3","ssp126",1980,3,1.99714872207355,-0.0136628778820956,4.04928568249928,1.71101507773923,0.170970834504687,33.6662165905691,0.893318694737299
"4","ssp126",1980,4,7.52137692285048,0.132555090382257,8.82990319217466,4.66075445852543,3.27444207353034,84.7885727115341,2.24982860487282
"5","ssp126",1980,5,10.2737510146832,0.774765532953506,13.9746615955812,6.69171393953868,10.646515970154,86.1085984200271,2.28485492390568
"6","ssp126",1980,6,9.54548754472462,1.51280614414596,12.414690170321,6.09264411565425,3.36385593792187,70.5354582138371,1.8716282922606
"7","ssp126",1980,7,11.6804853980408,3.61358354438326,12.1990961455563,5.43190995987283,-0.246447294472369,68.9662884051942,1.82999104081873
"8","ssp126",1980,8,7.92945501612168,3.31122166514669,10.358353742604,4.99347180401296,-0.0118725391361179,63.9448648798084,1.6967497097843
"9","ssp126",1980,9,6.86880656117627,2.5131037205744,9.37662349796266,4.56539913800447,-0.00149610804594349,61.4164226759034,1.62965857457358
"10","ssp126",1980,10,2.92763643688147,0.927708506285152,5.10974471000417,2.3509301618615,-0.000453541587956688,36.7959272610007,0.9763642321975
"11","ssp126",1980,11,-0.299487012381379,-0.102611226689223,-0.40828099280603,0.162021211500118,-0.000219738665805708,7.56377432954872,0.200701525019379
"12","ssp126",1980,12,-0.484049506582205,-0.187823605125759,-0.117538492858076,-0.0929266969316428,-0.000150263111650604,2.17598381674704,0.0577388022713096
"13","ssp126",1981,1,-0.192910614754494,-0.117001686806356,0.312584448314695,0.345657824730788,-0.000258767853156192,4.0223724032603,0.106731935718444
"14","ssp126",1981,2,-0.0209717127319726,-0.0780433851293623,0.400679854999616,0.432884784606236,-0.00429719391643747,6.88585928144583,0.182713338426304
"15","ssp126",1981,3,0.641838363088121,-0.0385325691315247,2.0253551878384,1.52725879272782,0.0222232359848486,19.8708349929481,0.52726412935314
"16","ssp126",1981,4,4.21621517225566,0.0417279044097725,5.41223143071514,3.99073583632342,0.495105853344741,56.183715199005,1.49081091402255
"17","ssp126",1981,5,7.68863830429586,0.34073227095849,10.1299860478483,5.60205242908994,4.06469626507127,64.8554195251147,1.72091088884176
"18","ssp126",1981,6,9.45667710783308,1.28645038424608,12.6362678464377,6.96563589182934,3.01739388542747,65.2172385191576,1.73051160149149
"19","ssp126",1981,7,7.35172924641594,2.75923898510066,9.80201096919257,5.61058091779545,-0.186385042587844,54.5947006690883,1.44864709136772
"20","ssp126",1981,8,5.89265526405365,2.28717265633298,9.02890403343803,5.43941785758681,-0.00910854924823917,59.3976425485462,1.57609110513487
"21","ssp126",1981,9,4.58522465470624,1.54614436541112,7.2483270621072,4.10105393519843,-0.00129931743916421,50.5128317822065,1.34033644183843
"22","ssp126",1981,10,1.53479299690504,0.250276548269665,2.99122278168268,2.01621563119548,-0.000431374434439032,29.1909522604104,0.774569464948833
"23","ssp126",1981,11,-0.524373487167674,-0.218260923392535,-0.424285483076367,0.188736176268158,-0.00026123181623822,6.54069894582941,0.173554656171099
"24","ssp126",1981,12,-0.418194579459416,-0.14443798116487,-0.111857913459328,-0.0302869116701453,-0.000119169355417839,1.35007329385414,0.0358236188916849
"25","ssp126",1982,1,-0.198861973568629,-0.0949830707121472,0.100473178136421,0.153282366527783,-0.000552908387237866,3.10544669555837,0.0824017032383016
"26","ssp126",1982,2,-0.0155641884312497,-0.0635783577712176,0.533949555483238,0.95262066806702,0.00613131240081523,7.86442429547851,0.208679143603716
"27","ssp126",1982,3,0.580442590598062,-0.0335319284435509,1.97020825337705,1.69303322532188,0.035892574307183,20.908335199323,0.554793754716749
"28","ssp126",1982,4,1.66179733338547,-0.00340480577437175,3.9510592930841,2.70328584052746,0.61625776764273,38.3699262548451,1.01812962400849
"29","ssp126",1982,5,7.10770901266305,0.069667485417371,11.0978080459231,6.09555872196496,4.95223466411531,69.5604590286612,1.84575710483067
"30","ssp126",1982,6,9.75946608795594,0.666837019558215,13.4985844958638,7.4870692236205,3.64499132137995,72.8036389029265,1.931813499207
"31","ssp126",1982,7,7.71399288149185,2.67086263535393,9.74509556942003,5.74868980303467,-0.196161435909124,56.7587190703982,1.50606839644502
"32","ssp126",1982,8,5.6440283469248,2.15390027215723,8.60589781097964,5.16421140258371,-0.0119982798898707,58.7928233463013,1.56004248562789
"33","ssp126",1982,9,4.27490476638801,1.19287788117028,7.42844871268307,4.02820932306143,-0.00197369621391687,51.7383978419957,1.37285631439079
"34","ssp126",1982,10,2.05451894965683,0.349093309791288,3.60834896400579,2.07083673817288,-0.000943004042323491,34.4833476123925,0.915000917801506
"35","ssp126",1982,11,-0.55044379182362,-0.212628853010596,-0.546422039606555,0.114193146366589,-0.000421633885902673,6.64703797025226,0.176376316818398
"36","ssp126",1982,12,-0.439686916678049,-0.142396267945484,-0.140275433818762,-0.0230763653054741,-0.000158062054698908,1.24454529755797,0.0330234785297309
"37","ssp126",1983,1,-0.225544569577529,-0.0925553777948787,0.0653261047334246,0.101344148240193,-0.000698941632420028,2.83385186128206,0.0751950501770523
"38","ssp126",1983,2,-0.009861299869142,-0.0600292077104737,0.492060019216357,0.52560143126282,-0.00531042976400516,6.97327336856532,0.18503283393591
