node,wgoa_group_name,common_name,scientific_name
67,Motile epifauna,stout Crangon,Crangon alba
67,Motile epifauna,NA,Crangon sp. cf. communis
67,Motile epifauna,NA,Crangon resima
67,Motile epifauna,coastal spinyhead,Metacrangon munita
67,Motile epifauna,northern spinyhead,Mesocrangon intermedia
67,Motile epifauna,smooth Crangon,Lissocrangon stylirostris
67,Motile epifauna,blacktail bay shrimp,Crangon nigricauda
67,Motile epifauna,NA,Sclerocrangon sp.
67,Motile epifauna,saddleback shrimp,Rhynocrangon alata
67,Motile epifauna,NA,Sabinea septemcarinata
67,Motile epifauna,NA,Rhynocrangon sp.
67,Motile epifauna,NA,Argis sp. cf. crassa (CAS)
67,Motile epifauna,NA,Paracrangon sp.
67,Motile epifauna,grooved-back shrimp,Parapasiphae sulcatifrons
67,Motile epifauna,oplophorid shrimps,Oplophoridae
67,Motile epifauna,NA,Notostomus sp.
67,Motile epifauna,NA,Hymenodora sp.
67,Motile epifauna,NA,Bentheogennema borealis
67,Motile epifauna,NA,Acanthephyra sp.
67,Motile epifauna,peaked shrimp,Acanthephyra curtirostris
67,Motile epifauna,Quale spinytail,Systellaspis braueri
67,Motile epifauna,crab,NA
67,Motile epifauna,cancer crab,Cancer sp.
67,Motile epifauna,furrowed rock crab,Romaleon branneri
67,Motile epifauna,yellow cancer crab,Cancer anthonyi
67,Motile epifauna,Dungeness crab,Metacarcinus magister
67,Motile epifauna,Oregon rock crab,Glebocarcinus oregonensis
67,Motile epifauna,green crab,Carcinus maenas
67,Motile epifauna,red rock crab,Cancer productus
67,Motile epifauna,graceful rock crab,Metacarcinus gracilis
67,Motile epifauna,NA,Xanthidae
67,Motile epifauna,pea crab,Pinnixa occidentalis
67,Motile epifauna,NA,Mursia gaudichaudii
67,Motile epifauna,spider crabs,Majidae
67,Motile epifauna,NA,Oregonia sp.
67,Motile epifauna,split-nose decorator crab,Oregonia bifurca
67,Motile epifauna,graceful decorator crab,Oregonia gracilis
67,Motile epifauna,giant spider crab,Macroregonia macrochira
67,Motile epifauna,spider crab,Loxorhynchus crispatus
67,Motile epifauna,longhorned decorator crab,Chorilia longipes
67,Motile epifauna,NA,Chorilia sp.
67,Motile epifauna,circumboreal toad crab,Hyas coarctatus
67,Motile epifauna,Pacific lyre crab,Hyas lyratus
67,Motile epifauna,snow crab,Chionoecetes opilio
67,Motile epifauna,hybrid Tanner crab,Chionoecetes hybrid
67,Motile epifauna,helmet crab,Telmessus cheiragonus
67,Motile epifauna,NA,Anomura
67,Motile epifauna,hermit crab,Paguridae
67,Motile epifauna,NA,Discorsopagurus schmitti
67,Motile epifauna,NA,Paguristes turgidus
67,Motile epifauna,NA,Pagurus sp.
67,Motile epifauna,blackeyed hermit,Pagurus armatus
67,Motile epifauna,sponge hermit,Pagurus brandti
67,Motile epifauna,Townsend hermit crab,Pagurus townsendi
67,Motile epifauna,Aleutian hermit,Pagurus aleuticus
67,Motile epifauna,splendid hermit,Labidochirus splendescens
67,Motile epifauna,knobbyhand hermit,Pagurus confragosus
67,Motile epifauna,greenmark hermit,Pagurus caurinus
67,Motile epifauna,grainyhand hermit,Pagurus granosimanus
67,Motile epifauna,maroon hermit,Pagurus hemphilli
67,Motile epifauna,true hairy hermit,Pagurus hirsutiusculus
67,Motile epifauna,bluehand hermit,Pagurus samuelis
67,Motile epifauna,hornyhand hermit,Pagurus cornutus
67,Motile epifauna,whiteknee hermit,Pagurus dalli
67,Motile epifauna,bluespine hermit,Pagurus kennerlyi
67,Motile epifauna,fuzzy hermit crab,Pagurus trigonocheirus
67,Motile epifauna,Bering hermit,Pagurus beringanus
67,Motile epifauna,Alaskan hermit,Pagurus ochotensis
67,Motile epifauna,NA,Pagurus quaylei
67,Motile epifauna,longfinger hermit,Pagurus rathbuni
67,Motile epifauna,Stevens hermit crab,Pagurus stevensae
67,Motile epifauna,setose hermit,Pagurus setosus
67,Motile epifauna,Priblof hermit,Pagurus undosus
67,Motile epifauna,longhand hermit,Pagurus tanneri
67,Motile epifauna,widehand hermit crab,Elassochirus tenuimanus
67,Motile epifauna,hairy hermit crab,Pagurus capillatus
67,Motile epifauna,purple hermit,Elassochirus cavimanus
67,Motile epifauna,Pacific red hermit,Elassochirus gilli
67,Motile epifauna,NA,Elassochirus sp.
67,Motile epifauna,NA,Parapagurus sp.
67,Motile epifauna,NA,Parapagurus pliosimanus
67,Motile epifauna,stone crab,Lithodidae
67,Motile epifauna,box crab,Lopholithodes sp.
67,Motile epifauna,brown box crab,Lopholithodes foraminatus
67,Motile epifauna,red box crab,Lopholithodes mandtii
67,Motile epifauna,NA,Acantholithodes sp.
67,Motile epifauna,fuzzy crab,Acantholithodes hispidus
67,Motile epifauna,wrinkled crab,Dermaturus mandtii
67,Motile epifauna,NA,Hapalogaster mertensii
67,Motile epifauna,NA,Hapalogaster sp.
67,Motile epifauna,soft crab,Hapalogaster grebnitzkii
67,Motile epifauna,rhinoceros crab,Rhinolithodes wosnessenskii
67,Motile epifauna,flatspine triangle crab,Phyllolithodes papillosus
67,Motile epifauna,NA,Phyllolithodes sp.
67,Motile epifauna,NA,Paralithodes rathbuni
67,Motile epifauna,umbrella crab,Cryptolithodes sitchensis
67,Motile epifauna,butterfly crab,Cryptolithodes typicus
67,Motile epifauna,NA,Cryptolithodes sp.
67,Motile epifauna,NA,Paralomis sp.
67,Motile epifauna,NA,Paralomis verrilli
67,Motile epifauna,spiny spider crab,Paralomis sp. A (Clark 2006)
67,Motile epifauna,short spine spider crab,Paralomis sp. B (Clark 2006)
67,Motile epifauna,NA,Paralomis manningi
67,Motile epifauna,many spine spider crab,Paralomis multispina
67,Motile epifauna,scaled crab,Placetron wosnessenskii
67,Motile epifauna,NA,Neolithodes diomedeae
67,Motile epifauna,horsehair crab,Erimacrus isenbeckii
67,Motile epifauna,NA,Erimacrus sp.
67,Motile epifauna,NA,Hyas sp.
67,Motile epifauna,kelp crab,Pugettia sp.
67,Motile epifauna,graceful kelp crab,Pugettia gracilis
67,Motile epifauna,NA,Pugettia producta
67,Motile epifauna,NA,Scyra acutifrons
67,Motile epifauna,galatheid crab,Galatheidae
67,Motile epifauna,Verrill pinch bug,Munidopsis verrilli
67,Motile epifauna,NA,Munidopsis sp.
67,Motile epifauna,long-armed pinch bug,Munidopsis quadrata
67,Motile epifauna,NA,Chirostylus sp.
67,Motile epifauna,thorny pinch bug,Gastroptychus iaspis
67,Motile epifauna,pinchbug,Munida quadrispina
67,Motile epifauna,mole crab,Albuneidae
67,Motile epifauna,NA,Polycheles sp.
67,Motile epifauna,deep-sea lobster,Stereomastis sculpta
67,Motile epifauna,NA,Calastacus investigatoris
67,Motile epifauna,NA,Callianassa sp.
67,Motile epifauna,giant ghost shrimp,Neotrypaea gigas
67,Motile epifauna,NA,Callianassa goniophthalma
67,Motile epifauna,ghost shrimp,Callianassa californiensis
67,Motile epifauna,blue mud shrimp,Upogebia pugettensis
67,Motile epifauna,sea spider,Pycnogonida
67,Motile epifauna,NA,Hedgpethia sp.
67,Motile epifauna,NA,Colossendeis sp.
67,Motile epifauna,NA,Colossendeis dofleini
67,Motile epifauna,NA,Colossendeis microsetosa
67,Motile epifauna,NA,Nymphon sp.
67,Motile epifauna,NA,Pycnogonum sp.
67,Motile epifauna,mollusk,Mollusca
67,Motile epifauna,NA,Aplacophora
67,Motile epifauna,solenogaster,Neomeniomorpha
67,Motile epifauna,NA,Neomenia sp.
67,Motile epifauna,NA,Neomenia cf. yamamoti (Clark 2006)
67,Motile epifauna,chiton,Polyplacophora
67,Motile epifauna,giant Pacific chiton,Cryptochiton stelleri
67,Motile epifauna,NA,Stenosemus golikovi
67,Motile epifauna,grooved chiton,Tripoplax trifida
67,Motile epifauna,deepsea chiton,Tripoplax beringiana
67,Motile epifauna,Bering chiton,Tripoplax abyssicola
67,Motile epifauna,NA,Lepidozona sp.
67,Motile epifauna,NA,Lepidozona retiporosa
67,Motile epifauna,NA,Amicula vestita
67,Motile epifauna,NA,Placiphorella sp.
67,Motile epifauna,NA,Placiphorella pacifica
67,Motile epifauna,NA,Placiphorella rufa
67,Motile epifauna,NA,Leptochiton sp.
67,Motile epifauna,NA,Leptochiton alveolus
67,Motile epifauna,NA,Mopalia swanii
67,Motile epifauna,NA,Leptochiton belknapi
67,Motile epifauna,NA,Leptochiton mesogonus
67,Motile epifauna,Tonicella chitons,Tonicella sp.
67,Motile epifauna,NA,Tonicella insignis
67,Motile epifauna,NA,Mopalia egretta
67,Motile epifauna,northern white chiton,Stenosemus albus
67,Motile epifauna,NA,Stenosemus sharpii
67,Motile epifauna,NA,Neptunea gyroscopoides
67,Motile epifauna,snail egg,gastropod egg
67,Motile epifauna,NA,Buccinum sp. egg
67,Motile epifauna,NA,Fusitriton oregonensis egg
67,Motile epifauna,NA,Neptunea sp. egg
67,Motile epifauna,NA,Neptunea borealis egg
67,Motile epifauna,NA,Neptunea heros egg
67,Motile epifauna,bubbleshells,Cephalaspidea
67,Motile epifauna,NA,Opisthobranchia
67,Motile epifauna,nudibranch,Nudibranchia
67,Motile epifauna,barnacle-eating Onchidoris,Onchidoris bilamellata
67,Motile epifauna,giant orange tochui,Tochuina gigantea
67,Motile epifauna,thick-horned aeolid,Hermissenda crassicornis
67,Motile epifauna,Nanaimo dorid,Acanthodoris nanaimoensis
67,Motile epifauna,yellow-edged Cadlina,Cadlina luteomarginata
67,Motile epifauna,NA,Diaulula sandiegensis
67,Motile epifauna,cedar-scented dorid,Acanthodoris brunnea
67,Motile epifauna,NA,Dendronotus sp.
67,Motile epifauna,NA,Acanthodoris sp.
67,Motile epifauna,Dall dendronotid,Dendronotus dalli
67,Motile epifauna,frond-aeolis,Dendronotus frondosus
67,Motile epifauna,stubby frond-aeolis,Dendronotus subramosus
67,Motile epifauna,Pacific batwing seaslug,Gastropteron pacificum
67,Motile epifauna,pink tritonia,Tritonia exsulans
67,Motile epifauna,NA,Tritonia sp.
67,Motile epifauna,festive Tritonia,Tritonia festiva
67,Motile epifauna,NA,Calycidoris guentheri
67,Motile epifauna,rosy Tritonia,Tritonia diomedea
67,Motile epifauna,onchidoridid nudibranchs,Onchidorididae
67,Motile epifauna,NA,Acteocina sp.
67,Motile epifauna,sea-clown Triopha,Triopha catalinae
67,Motile epifauna,NA,Cuthona concinna
67,Motile epifauna,archidorid nudibranchs,Archidorididae
67,Motile epifauna,Monterey dorid,Archidoris montereyensis
67,Motile epifauna,California Armina,Armina californica
67,Motile epifauna,Pacific Colga,Colga pacifica
67,Motile epifauna,cadlina nudibranchs,Cadlina sp.
67,Motile epifauna,NA,Cadlina modesta
67,Motile epifauna,NA,Flabellina sp.
67,Motile epifauna,red flabellina,Flabellina trophina
67,Motile epifauna,NA,Flabellinidae
67,Motile epifauna,NA,Chlamylla sp.
67,Motile epifauna,dironid nudibranchs,Dironidae
67,Motile epifauna,NA,Dirona pellucida
67,Motile epifauna,Pacific sea lemon,Peltodoris nobilis
67,Motile epifauna,mottled pale sea-lemon,Peltodoris lentiginosa
67,Motile epifauna,dorid nudibranch,Dorididae
67,Motile epifauna,Archidoris nudibranch,Archidoris sp.
67,Motile epifauna,white night doris,Doris odhneri
67,Motile epifauna,NA,Diaulula sp. A (Clark 2006)
67,Motile epifauna,NA,Adalaria proxima
67,Motile epifauna,pleurobranchid sea slugs,Pleurobranchidae
67,Motile epifauna,California sea slug,Pleurobranchaea californica
67,Motile epifauna,sea gooseberry,Pleurobrachia bachei
67,Motile epifauna,NA,Thieleella baxteri
67,Motile epifauna,crispate scissurelle,Anatoma crispata
67,Motile epifauna,puncturella,Cranopsis sp.
67,Motile epifauna,great puncturella,Cranopsis major
67,Motile epifauna,NA,Puncturella rothi
67,Motile epifauna,NA,Puncturella cooperi
67,Motile epifauna,helmet Puncturella,Puncturella galeata
67,Motile epifauna,many-ribbed Puncturella,Puncturella multistriata
67,Motile epifauna,hood puncturella,Cranopsis cucullata
67,Motile epifauna,elegant emarginula,Scelidotoma bella
67,Motile epifauna,NA,Diodora aspera
67,Motile epifauna,long-slot Puncturella,Puncturella longifissa
67,Motile epifauna,NA,Acmaea sp.
67,Motile epifauna,limpet,NA
67,Motile epifauna,thumbnails,Lottiidae
67,Motile epifauna,snail,Gastropoda
67,Motile epifauna,NA,Carinariidae
67,Motile epifauna,NA,Gastropteron pacifica
67,Motile epifauna,NA,Asterophila japonica
67,Motile epifauna,moonsnail,Naticidae
67,Motile epifauna,fragile moonsnail,Bulbus fragilis
67,Motile epifauna,NA,Euspira monterona
67,Motile epifauna,eulimas,Eulima sp.
67,Motile epifauna,purple moon snail,Amauropsis purpurea
67,Motile epifauna,NA,Cryptonatica sp.
67,Motile epifauna,NA,Natica sp.
67,Motile epifauna,Arctic moonsnail,Cryptonatica affinis
67,Motile epifauna,NA,Natica clausa
67,Motile epifauna,Aleutian moonsnail,Cryptonatica aleutica
67,Motile epifauna,rusty moonsnail,Cryptonatica russa
67,Motile epifauna,NA,Muricidae
67,Motile epifauna,channelled dogwinkle,Nucella canaliculata
67,Motile epifauna,frilled dogwinkle,Nucella lamellosa
67,Motile epifauna,wrinkled Amphissa,Amphissa colmbiana
67,Motile epifauna,NA,Amphissa reticulata
67,Motile epifauna,variegate Amphissa,Amphissa versicolor
67,Motile epifauna,NA,Alia gausapata
67,Motile epifauna,elegant dove snail,Astyris elegens
67,Motile epifauna,Lewis moonsnail,Lunatia lewisii
67,Motile epifauna,NA,Euspira sp.
67,Motile epifauna,pale moonsnail,Lunatia pallida
67,Motile epifauna,lamellarid,Lamellariidae
67,Motile epifauna,NA,Lamellaria sp.
67,Motile epifauna,icy lamellaria,Onchidiopsis glacialis
67,Motile epifauna,widemouth lamellaria,Capulacmaea commoda
67,Motile epifauna,NA,Onchidiopsis sp. A (Clark and McLean)
67,Motile epifauna,NA,Onchidiopsis brevipes
67,Motile epifauna,warty blobsnail,Onchidiopsis clarki
67,Motile epifauna,NA,Onchidiopsis sp.
67,Motile epifauna,NA,Lamellaria sp. A (Clark and McLean)
67,Motile epifauna,NA,Lamellaria sp. B (Clark and McLean)
67,Motile epifauna,NA,Lamellaria sp. C (Clark and McLean)
67,Motile epifauna,NA,Lamellaria sp. D (Clark and McLean)
67,Motile epifauna,NA,Lamellaria sp. E (Clark and McLean)
67,Motile epifauna,white lamellarid,Lamellaria sp. F (McLean and Clark)
67,Motile epifauna,NA,Onchidiopsis carnea
67,Motile epifauna,NA,Onchidiopsis maculata
67,Motile epifauna,NA,Tachyrhynchus sp.
67,Motile epifauna,eroded turretsnail,Tachyrhynchus erosus
67,Motile epifauna,reticulated turretsnail,Tachyrhynchus reticulatus
67,Motile epifauna,NA,Turritella sp.
67,Motile epifauna,slippersnails,Calyptraeidae
67,Motile epifauna,slipper shell,Crepidula sp.
67,Motile epifauna,great slippersnail,Grandicrepidula grandis
67,Motile epifauna,whelk,NA
67,Motile epifauna,Aleutian sulcated whelk,Sulcosinus sp. A (McLean and Clark)
67,Motile epifauna,NA,Colus sp.
67,Motile epifauna,NA,Colus capponius
67,Motile epifauna,NA,Colus acosmius
67,Motile epifauna,NA,Colus calathus
67,Motile epifauna,NA,Colus martensi
67,Motile epifauna,garter whelk,Colus periscelidus
67,Motile epifauna,NA,Colus jordani
67,Motile epifauna,NA,Colus sabini
67,Motile epifauna,thin-ribbed whelk,Colus herendeenii
67,Motile epifauna,NA,Colus hypolispus
67,Motile epifauna,shady whelk,Colus ombronius
67,Motile epifauna,rosy whelk,Retifusus roseus
67,Motile epifauna,NA,Colus esychus
67,Motile epifauna,thick-ribbed whelk,Colus spitzbergensis
67,Motile epifauna,NA,Colus georgianus
67,Motile epifauna,NA,Colus tahwitanus
67,Motile epifauna,oblique whelk,Colus aphelus
67,Motile epifauna,shrew whelk,Colus halli
67,Motile epifauna,NA,Colus datuzenbergii
67,Motile epifauna,NA,Colus bristolensis
67,Motile epifauna,NA,Colus trophius
67,Motile epifauna,attenuate melon whelk,Habevolutopsius attenuatus
67,Motile epifauna,NA,Japelion aleutica
67,Motile epifauna,NA,Japelion sp.
67,Motile epifauna,NA,Japelion sp. A
67,Motile epifauna,NA,Japelion sp. B
67,Motile epifauna,NA,Volutopsius sp. D (Clark and McLean)
67,Motile epifauna,NA,Volutopsius sp. C (Clark and McLean)
67,Motile epifauna,NA,Pyrulofusus sp.
67,Motile epifauna,NA,Habevolutopsius hirasei
67,Motile epifauna,NA,Pyrulofusus dexius
67,Motile epifauna,NA,Volutopsius sp.
67,Motile epifauna,NA,Volutopsius sp. eggs
67,Motile epifauna,NA,Pyrulofusus sp. eggs
67,Motile epifauna,warped whelk,Pyrulofusus deformis
67,Motile epifauna,warped whelk egg,Pyrulofusus deformis egg
67,Motile epifauna,left-hand whelk,Pyrulofusus harpa
67,Motile epifauna,fragile whelk,Volutopsius fragilis
67,Motile epifauna,regular whelk,Volutopsius regularis
67,Motile epifauna,fragile whelk egg,Volutopsius fragilis egg
67,Motile epifauna,threaded whelk,Lussivolutopsius filosus
67,Motile epifauna,volute whelk,Volutopsius castanea
67,Motile epifauna,NA,Pyrulofusus melonis
67,Motile epifauna,simple whelk,Volutopsius simplex
67,Motile epifauna,shouldered whelk,Volutopsius stefanssoni
67,Motile epifauna,tulip whelk,Volutopsius middendorffi
67,Motile epifauna,frilled whelk,Volutopsius trophonius
67,Motile epifauna,NA,Volutopsius pallidus
67,Motile epifauna,NA,Volutopsius sp. A (McLean and Clark)
67,Motile epifauna,NA,Volutopsius sp. B (McLean and Clark)
67,Motile epifauna,NA,Beringius sp.
67,Motile epifauna,NA,Beringius kennicottii
67,Motile epifauna,NA,Neoberingius frielei
67,Motile epifauna,Bering beringius,Beringius behringi
67,Motile epifauna,NA,Beringius aleuticus
67,Motile epifauna,NA,Beringius stimpsoni
67,Motile epifauna,thick-cord whelk,Beringius crebricostatus
67,Motile epifauna,NA,Beringius undatus
67,Motile epifauna,NA,Beringius sp. eggs
67,Motile epifauna,Baxter Beringius,Beringius sp. A (McLean and Clark)
67,Motile epifauna,two-channeled Beringius,Beringius sp. B (McLean and Clark)
67,Motile epifauna,NA,Beringius eyerdami
67,Motile epifauna,NA,Beringius incisus
67,Motile epifauna,NA,Beringius sp. C (McLean and Clark)
67,Motile epifauna,NA,Beringius sp. D (McLean and Clark)
67,Motile epifauna,NA,Beringius sp. E (McLean and Clark)
67,Motile epifauna,NA,Beringius sp. F (McLean and Clark)
67,Motile epifauna,NA,Beringius sp. G (McLean and Clark)
67,Motile epifauna,NA,Beringius sp. H (McLean and Clark)
67,Motile epifauna,NA,Beringius sp. I (McLean and Clark)
67,Motile epifauna,NA,Neoberingius sp.
67,Motile epifauna,NA,Beringius sp. J (McLean and Clark)
67,Motile epifauna,NA,Beringius sp. K (McLean and Clark)
67,Motile epifauna,Marshall's neptune,Beringius marshalli
67,Motile epifauna,NA,Calinaticina oldroyi
67,Motile epifauna,paper whelk,Volutharpa ampullacea
67,Motile epifauna,NA,Neptunea sp.
67,Motile epifauna,fat whelk egg,Neptunea ventricosa egg
67,Motile epifauna,NA,Neptunea phoenicea
67,Motile epifauna,NA,Neptunea meridionalis
67,Motile epifauna,white neptune,Neptunea amianta
67,Motile epifauna,NA,Neptunea smirnia
67,Motile epifauna,NA,Cartilagovelutina beringensis
67,Motile epifauna,Pribilof whelk,Neptunea pribiloffensis
67,Motile epifauna,tabled whelk,Neptunea tabulata
67,Motile epifauna,NA,Neptunea borealis
67,Motile epifauna,NA,Neptunea middendorffii
67,Motile epifauna,NA,Neptunea eulimata
67,Motile epifauna,NA,Neptunea stilesi
67,Motile epifauna,lyre whelk,Neptunea lyrata
67,Motile epifauna,NA,Neptunea ithia
67,Motile epifauna,fat whelk,Neptunea ventricosa
67,Motile epifauna,NA,Neptunea insularis
67,Motile epifauna,NA,Neptunea heros
67,Motile epifauna,NA,Neptunea sp. E (Clark and McLean)
67,Motile epifauna,helmet whelk,Clinopegma magnum
67,Motile epifauna,NA,Neptunea sp. A (McLean and Clark)
67,Motile epifauna,NA,Neptunea sp. B (McLean and Clark)
67,Motile epifauna,NA,Neptunea sp. C (McLean and Clark)
67,Motile epifauna,NA,Plicifusus sp.
67,Motile epifauna,NA,Plicifusus kroyeri
67,Motile epifauna,NA,Plicifusus incisus
67,Motile epifauna,brown whelk,Plicifusus brunneus
67,Motile epifauna,NA,Plicifusus verkruzeni
67,Motile epifauna,NA,Colus callorhinus
67,Motile epifauna,seahorse whelk,Colus oceandromae
67,Motile epifauna,NA,Colus virens
67,Motile epifauna,NA,Colus stejnegeri
67,Motile epifauna,NA,Plicifusus sp. A (Clark and McLean)
67,Motile epifauna,gray whelk,Colus griseus
67,Motile epifauna,sulcated whelk,Sulcosinus taphrius
67,Motile epifauna,NA,Plicifusus johanseni
67,Motile epifauna,NA,Exilioidea rectirostris
67,Motile epifauna,NA,Exilioidea kelseyi
67,Motile epifauna,NA,Mohnia robusta
67,Motile epifauna,NA,Liomesus sp.
67,Motile epifauna,egg whelk,Pseudoliomesus ooides
67,Motile epifauna,NA,Pseudoliomesus canaliculatus
67,Motile epifauna,basket whelk,Liomesus nassula
67,Motile epifauna,NA,Neptunea sp. D (Clark and McLean)
67,Motile epifauna,sinuous neptune,Neptunea alexeyevi
67,Motile epifauna,NA,Neptunea sp. G (Clark and McLean)
67,Motile epifauna,NA,Colus sp. A (Clark and McLean)
67,Motile epifauna,NA,Colus sp. B (Clark and McLean)
67,Motile epifauna,NA,Ancistrolepis sp.
67,Motile epifauna,NA,Antiplanes sp.
67,Motile epifauna,NA,Antiplanes catalinae
67,Motile epifauna,NA,Antiplanes thalea
67,Motile epifauna,NA,Antiplanes piona
67,Motile epifauna,NA,Antiplanes vinosus
67,Motile epifauna,NA,Antiplanes sp. A (Clark and McLean)
67,Motile epifauna,NA,Rectiplanes sp.
67,Motile epifauna,NA,Rectiplanes sp. A (Clark and McLean)
67,Motile epifauna,NA,Plicifusus bambusus
67,Motile epifauna,NA,Suavodrillia kennicotti
67,Motile epifauna,turrid snails,Turridae
67,Motile epifauna,NA,Aforia sp.
67,Motile epifauna,NA,Aforia goodei
67,Motile epifauna,Kinkaid Aforia,Aforia kinkaidi
67,Motile epifauna,keeled Aforia,Aforia circinata
67,Motile epifauna,NA,Epitonium sp.
67,Motile epifauna,Greenland wentletrap,Boreoscala greenlandica
67,Motile epifauna,NA,Epitonium indianorum
67,Motile epifauna,NA,Boreoscala sp.
67,Motile epifauna,NA,Carinoturris fortis
67,Motile epifauna,Aleutian wentletrap,Acirsa sp. A (McLean and Clark)
67,Motile epifauna,money wentletrap,Epitoneum indianorum
67,Motile epifauna,NA,Oenopota sp.
67,Motile epifauna,NA,Oenopota harpa
67,Motile epifauna,NA,Propebela nobilis
67,Motile epifauna,NA,Propebela fidicula
67,Motile epifauna,NA,Oenopota elegans
67,Motile epifauna,NA,Mangelia carlottae
67,Motile epifauna,NA,Obesotoma simplex
67,Motile epifauna,NA,Obesotoma tenuilirata
67,Motile epifauna,NA,Curtitoma decussata
67,Motile epifauna,NA,Trichotropidae
67,Motile epifauna,NA,Trichotropis sp. 1 (Clark and McLean)
67,Motile epifauna,NA,Trichotropis borealis
67,Motile epifauna,gray hairysnail,Trichotropis insignis
67,Motile epifauna,crowned hairysnail,Neoiphinoe coronata
67,Motile epifauna,two-keel hairysnail,Trichotropis bicarinata
67,Motile epifauna,NA,Trichotropis cancellata
67,Motile epifauna,NA,Trichotropis conica
67,Motile epifauna,NA,Trichotropis sp.
67,Motile epifauna,Kroyer hairy snail,Neoiphinoe kroyeri
67,Motile epifauna,NA,Neoiphinoe permabilis
67,Motile epifauna,NA,Neoiphinoe echinata
67,Motile epifauna,rams-horn snail,Torellivelutina ammonia
67,Motile epifauna,hairysnails,Torellia sp.
67,Motile epifauna,NA,Torellia lineata
67,Motile epifauna,NA,Scabrotrophon sp. A (Clark and McLean)
67,Motile epifauna,NA,Scabrotrophon sp. B (Clark and McLean)
67,Motile epifauna,NA,Scabrotrophon sp. C (Clark and McLean)
67,Motile epifauna,NA,Scabrotrophon sp. D (Clark and McLean)
67,Motile epifauna,NA,Scabrotrophon sp. E (Clark and McLean)
67,Motile epifauna,NA,Scabrotrophon maltzani
67,Motile epifauna,NA,Scabrotrophon clarki
67,Motile epifauna,spiny trophon,Nipponotrophon scitulus
67,Motile epifauna,NA,Scabrotrophon rossicus
67,Motile epifauna,NA,Scabrotrophon densicostatus
67,Motile epifauna,NA,Scabrotrophon scarlatoi
67,Motile epifauna,NA,Scabrotrophon sp.
67,Motile epifauna,Bering trophon,Boreotrophon beringi
67,Motile epifauna,Alaskan trophon,Boreotrophon alaskanus
67,Motile epifauna,NA,Nodulotrophon coronatus
67,Motile epifauna,rotund trophon,Boreotrophon rotundatus
67,Motile epifauna,NA,Boreotrophon elegantulus
67,Motile epifauna,clathrate trophon,Boreotrophon clathratus
67,Motile epifauna,winged trophon,Nipponotrophon stuarti
67,Motile epifauna,Kamchatka trophon,Scabrotrophon kamchatkanus
67,Motile epifauna,ribbed trophon,Boreotrophon multicostatus
67,Motile epifauna,NA,Boreotrophon sp.
67,Motile epifauna,NA,Boreotrophon pacificus
67,Motile epifauna,foliate thornmouth,Ceratostoma foliatum
67,Motile epifauna,NA,Nipponotrophon sp. A (Clark and McLean)
67,Motile epifauna,Oregon triton,Fusitriton oregonensis
67,Motile epifauna,NA,Fusitriton sp.
67,Motile epifauna,trochid,Trochidae
67,Motile epifauna,NA,Calliostoma sp.
67,Motile epifauna,silvery topsnail,Calliostoma platinum
67,Motile epifauna,NA,Calliostoma titanium
67,Motile epifauna,NA,Calliostoma variegatum
67,Motile epifauna,NA,Tegula pulligo
67,Motile epifauna,channeled topsnail,Calliostoma canaliculatum
67,Motile epifauna,NA,Bathybembix bairdii
67,Motile epifauna,NA,Calliotropis carlotta
67,Motile epifauna,NA,Cidarina cidaris
67,Motile epifauna,thick Lacuna,Lacuna crassior
67,Motile epifauna,NA,Margarites sp.
67,Motile epifauna,little margarite,Margarites pupillus
67,Motile epifauna,giant margarite,Margarites giganteus
67,Motile epifauna,NA,Margarites argentatus
67,Motile epifauna,boreal rosy margarite,Margarites costalis
67,Motile epifauna,three ribbed margarite,Margarites sp. A (Clark and McLean)
67,Motile epifauna,tabled margarite,Margarites sp. B (Clark and McLean)
67,Motile epifauna,silvery margarite,Margarites sp. C (Clark and McLean)
67,Motile epifauna,NA,Margarites beringensis
67,Motile epifauna,NA,Solariella sp.
67,Motile epifauna,obscure solarelle,Solariella obscura
67,Motile epifauna,fine-groove solarelle,Solariella micraulax
67,Motile epifauna,varicose solarelle,Solariella varicosa
67,Motile epifauna,naked solarelle,Solariella nuda
67,Motile epifauna,NA,Solariella peramabilis
67,Motile epifauna,NA,Solariella sp. A (Clark and McLean)
67,Motile epifauna,Bering topsnail,Otukaia beringensis
67,Motile epifauna,blue topsnail,Calliostoma ligatum
67,Motile epifauna,NA,Calliostoma annulatum
67,Motile epifauna,conical seguenzid,Oligomeria conoidea
67,Motile epifauna,NA,Amphissa sp.
67,Motile epifauna,NA,Buccinidae
67,Motile epifauna,NA,Buccinum normale
67,Motile epifauna,NA,Buccinum obsoletum
67,Motile epifauna,NA,Buccinum bulimuloideum
67,Motile epifauna,NA,Buccinum picturatum
67,Motile epifauna,NA,Buccinum sp.
67,Motile epifauna,NA,Buccinum polium
67,Motile epifauna,Okhotsk whelk,Buccinum ochotense
67,Motile epifauna,angular whelk,Buccinum angulosum
67,Motile epifauna,finch whelk,Buccinum fringillum
67,Motile epifauna,wavy whelk,Buccinum sigmatopleura
67,Motile epifauna,NA,Buccinum simulatum
67,Motile epifauna,swollen whelk,Buccinum oedematum
67,Motile epifauna,lirate whelk,Buccinum eugrammatum
67,Motile epifauna,turban whelk,Buccinum viridum
67,Motile epifauna,NA,Buccinum strigillatum
