"varname","simulation","year","month","biomass_tonnes_km2","month_mean_mtkm2","anomaly_ratio_mtkm2"
"Cop","ssp126",1980,1,6.67136233501159,6.49760640008298,1.02674152976185
"Cop","ssp126",1980,2,3.82880293922775,4.71033205797117,0.812852022342749
"Cop","ssp126",1980,3,9.85968886197913,13.1522646735655,0.749657120404209
"Cop","ssp126",1980,4,29.8295578431279,28.2932696235397,1.0542987162682
"Cop","ssp126",1980,5,45.5191184751612,42.4789036363618,1.07156999306821
"Cop","ssp126",1980,6,63.172793210585,51.3931722993463,1.22920595060034
"Cop","ssp126",1980,7,69.0901572836772,47.4115688470859,1.45724258791162
"Cop","ssp126",1980,8,44.566805842921,34.7408648565222,1.28283524394051
"Cop","ssp126",1980,9,39.1857418372842,32.3358231745861,1.21183684193578
"Cop","ssp126",1980,10,40.620747962268,32.4353635414222,1.25235987906818
"Cop","ssp126",1980,11,26.2029872802239,22.4487414871277,1.16723635911834
"Cop","ssp126",1980,12,15.121995208241,11.9817237094274,1.26208845863661
"Cop","ssp126",1981,1,8.16225601308209,6.49760640008298,1.25619428301749
"Cop","ssp126",1981,2,7.29510501345856,4.71033205797117,1.548745380087
"Cop","ssp126",1981,3,19.7667896675216,13.1522646735655,1.50291909097986
"Cop","ssp126",1981,4,26.5975317744841,28.2932696235397,0.940065680933367
"Cop","ssp126",1981,5,37.1176096113259,42.4789036363618,0.873789256169817
"Cop","ssp126",1981,6,47.9733079354857,51.3931722993463,0.93345683461723
"Cop","ssp126",1981,7,51.0176081604474,47.4115688470859,1.07605821534807
"Cop","ssp126",1981,8,36.2629233038699,34.7408648565222,1.04381176040475
"Cop","ssp126",1981,9,29.6997807422651,32.3358231745861,0.918479192006692
"Cop","ssp126",1981,10,29.160033311249,32.4353635414222,0.899019777410839
"Cop","ssp126",1981,11,23.3102915724551,22.4487414871277,1.03837854722597
"Cop","ssp126",1981,12,13.7251081644915,11.9817237094274,1.14550364349433
"Cop","ssp126",1982,1,7.48763777200897,6.49760640008298,1.1523686279171
"Cop","ssp126",1982,2,9.6028280349653,4.71033205797117,2.03867326481042
"Cop","ssp126",1982,3,27.7674481128955,13.1522646735655,2.11122941957705
"Cop","ssp126",1982,4,27.4194697714311,28.2932696235397,0.969116335307478
"Cop","ssp126",1982,5,35.6452351965222,42.4789036363618,0.839127946937171
"Cop","ssp126",1982,6,42.2378113207524,51.3931722993463,0.821856472971405
"Cop","ssp126",1982,7,46.736908557186,47.4115688470859,0.985770133612836
"Cop","ssp126",1982,8,39.8793920528786,34.7408648565222,1.14791016912153
"Cop","ssp126",1982,9,37.8128741665887,32.3358231745861,1.16938028645293
"Cop","ssp126",1982,10,37.6745661919249,32.4353635414222,1.16152748353851
"Cop","ssp126",1982,11,26.5473311975524,22.4487414871277,1.1825754781298
"Cop","ssp126",1982,12,13.7499400904265,11.9817237094274,1.1475761270983
"Cop","ssp126",1983,1,6.84834738968639,6.49760640008298,1.05398003018449
"Cop","ssp126",1983,2,4.23908576856566,4.71033205797117,0.899954762508084
"Cop","ssp126",1983,3,8.12906603402286,13.1522646735655,0.618073482839903
"Cop","ssp126",1983,4,30.8188096486283,28.2932696235397,1.08926292573084
"Cop","ssp126",1983,5,41.6748484916279,42.4789036363618,0.981071659673307
"Cop","ssp126",1983,6,45.7167650880488,51.3931722993463,0.889549390369707
"Cop","ssp126",1983,7,50.0269123643967,47.4115688470859,1.05516256012844
"Cop","ssp126",1983,8,36.9400856252563,34.7408648565222,1.06330356995477
"Cop","ssp126",1983,9,36.8631312727026,32.3358231745861,1.14000905663273
"Cop","ssp126",1983,10,33.8431063516607,32.4353635414222,1.04340148086951
"Cop","ssp126",1983,11,28.1355671529243,22.4487414871277,1.25332492109001
"Cop","ssp126",1983,12,14.4036451778437,11.9817237094274,1.20213464499358
"Cop","ssp126",1984,1,7.53092631290811,6.49760640008298,1.15903085678011
"Cop","ssp126",1984,2,6.59534479256381,4.71033205797117,1.40018680453805
"Cop","ssp126",1984,3,21.9718343401721,13.1522646735655,1.67057422318552
"Cop","ssp126",1984,4,28.0205831009136,28.2932696235397,0.990362141730017
"Cop","ssp126",1984,5,36.2376601108916,42.4789036363618,0.853074279437672
"Cop","ssp126",1984,6,47.1348236446277,51.3931722993463,0.917141743461266
"Cop","ssp126",1984,7,52.1115414386139,47.4115688470859,1.09913134506657
"Cop","ssp126",1984,8,34.0652826351927,34.7408648565222,0.980553672911723
"Cop","ssp126",1984,9,30.5662740712842,32.3358231745861,0.945275891269326
"Cop","ssp126",1984,10,31.1306034783411,32.4353635414222,0.959773533556521
"Cop","ssp126",1984,11,22.9263213899404,22.4487414871277,1.02127423949741
"Cop","ssp126",1984,12,10.1358729122,11.9817237094274,0.845944469928388
"Cop","ssp126",1985,1,5.37160676657341,6.49760640008298,0.826705472111208
"Cop","ssp126",1985,2,5.01764921136834,4.71033205797117,1.06524320358203
"Cop","ssp126",1985,3,30.9617259635292,13.1522646735655,2.35409845619657
"Cop","ssp126",1985,4,36.8792323435366,28.2932696235397,1.30346307917886
"Cop","ssp126",1985,5,51.0894959622382,42.4789036363618,1.2027027910039
"Cop","ssp126",1985,6,55.7925686090189,51.3931722993463,1.08560273890173
"Cop","ssp126",1985,7,50.8258165016036,47.4115688470859,1.07201296513789
"Cop","ssp126",1985,8,35.7875927148316,34.7408648565222,1.0301295855078
"Cop","ssp126",1985,9,31.57000775477,32.3358231745861,0.97631681074945
"Cop","ssp126",1985,10,31.4025869143783,32.4353635414222,0.968158931663431
