"varname","simulation","year","month","prod_biom_month","month_mean","anomaly_ratio"
"prod_PhL","ssp126",1980,1,0.598601223266203,0.0751663945204219,7.96368147076111
"prod_PhL","ssp126",1980,2,7.24073169421888,4.79483203427946,1.51011164571627
"prod_PhL","ssp126",1980,3,22.3107191678324,13.0725253564856,1.70668777144605
"prod_PhL","ssp126",1980,4,15.5734003864242,15.1843054059576,1.02562481259854
"prod_PhL","ssp126",1980,5,15.0033930363591,14.4530682258468,1.03807667700123
"prod_PhL","ssp126",1980,6,29.4028317151331,18.7224752235832,1.57045643612853
"prod_PhL","ssp126",1980,7,26.3947436995366,17.716396265891,1.48984834745166
"prod_PhL","ssp126",1980,8,20.7515365158378,16.8518075771159,1.23141309446338
"prod_PhL","ssp126",1980,9,16.4182012856849,14.8387425203169,1.10644155077194
"prod_PhL","ssp126",1980,10,10.8701522831824,10.3197974935538,1.05332999896291
"prod_PhL","ssp126",1980,11,1.36409991420802,1.8225866400796,0.748441738906001
"prod_PhL","ssp126",1980,12,-0.0140488659674876,-0.0287521537837166,0.488619603010194
"prod_PhL","ssp126",1981,1,-0.0573786734043379,0.0751663945204219,-0.763355403307907
"prod_PhL","ssp126",1981,2,9.6385451314623,4.79483203427946,2.01019453081024
"prod_PhL","ssp126",1981,3,6.23673786071206,13.0725253564856,0.477087455609168
"prod_PhL","ssp126",1981,4,17.1253739177209,15.1843054059576,1.12783386923987
"prod_PhL","ssp126",1981,5,11.5057677811906,14.4530682258468,0.796077870899036
"prod_PhL","ssp126",1981,6,20.3877862781506,18.7224752235832,1.0889471629515
"prod_PhL","ssp126",1981,7,21.2704739306256,17.716396265891,1.20060951512906
"prod_PhL","ssp126",1981,8,20.8952749936652,16.8518075771159,1.23994265291993
"prod_PhL","ssp126",1981,9,9.75010333830466,14.8387425203169,0.657070727182913
"prod_PhL","ssp126",1981,10,12.682325323503,10.3197974935538,1.22893160756546
"prod_PhL","ssp126",1981,11,1.26569283045106,1.8225866400796,0.694448649308533
"prod_PhL","ssp126",1981,12,-0.170204642162738,-0.0287521537837166,5.91971799549611
"prod_PhL","ssp126",1982,1,0.425103818688422,0.0751663945204219,5.65550365160759
"prod_PhL","ssp126",1982,2,17.8455500805272,4.79483203427946,3.72183007724669
"prod_PhL","ssp126",1982,3,9.32612517834022,13.0725253564856,0.713414196876145
"prod_PhL","ssp126",1982,4,7.12391209123438,15.1843054059576,0.469162856039454
"prod_PhL","ssp126",1982,5,12.4395590209384,14.4530682258468,0.860686383441575
"prod_PhL","ssp126",1982,6,19.2486575445445,18.7224752235832,1.02810431391564
"prod_PhL","ssp126",1982,7,22.8198549786726,17.716396265891,1.28806415459374
"prod_PhL","ssp126",1982,8,22.604642235308,16.8518075771159,1.34137789859434
"prod_PhL","ssp126",1982,9,21.0540653576113,14.8387425203169,1.41885778587939
"prod_PhL","ssp126",1982,10,12.4741966029087,10.3197974935538,1.20876370013081
"prod_PhL","ssp126",1982,11,2.27196225603526,1.8225866400796,1.24655926147688
"prod_PhL","ssp126",1982,12,-0.0894770390139472,-0.0287521537837166,3.11201170135023
"prod_PhL","ssp126",1983,1,0.128611934595341,0.0751663945204219,1.71102971501977
"prod_PhL","ssp126",1983,2,-0.32473133052884,4.79483203427946,-0.0677252775920519
"prod_PhL","ssp126",1983,3,24.4843652323866,13.0725253564856,1.87296368258634
"prod_PhL","ssp126",1983,4,11.8984361392075,15.1843054059576,0.783600949868875
"prod_PhL","ssp126",1983,5,14.5869986674873,14.4530682258468,1.00926657506542
"prod_PhL","ssp126",1983,6,17.7423572129557,18.7224752235832,0.947650190537151
"prod_PhL","ssp126",1983,7,19.4572302275486,17.716396265891,1.09826117769837
"prod_PhL","ssp126",1983,8,21.995347450867,16.8518075771159,1.30522184936029
"prod_PhL","ssp126",1983,9,15.7134587642345,14.8387425203169,1.05894813814041
"prod_PhL","ssp126",1983,10,13.2432701241044,10.3197974935538,1.28328779051884
"prod_PhL","ssp126",1983,11,2.91832894472587,1.8225866400796,1.60120176487106
"prod_PhL","ssp126",1983,12,-0.03210586877138,-0.0287521537837166,1.11664221793231
"prod_PhL","ssp126",1984,1,0.0132048454687397,0.0751663945204219,0.175674855139581
"prod_PhL","ssp126",1984,2,10.4567185619178,4.79483203427946,2.18083104625147
"prod_PhL","ssp126",1984,3,9.20626502811634,13.0725253564856,0.704245337229267
"prod_PhL","ssp126",1984,4,10.5207259030019,15.1843054059576,0.692868433670602
"prod_PhL","ssp126",1984,5,12.4168907630138,14.4530682258468,0.859117978894496
"prod_PhL","ssp126",1984,6,17.4685356470378,18.7224752235832,0.93302490394187
"prod_PhL","ssp126",1984,7,20.3570031157119,17.716396265891,1.14904875744424
"prod_PhL","ssp126",1984,8,17.8284050803005,16.8518075771159,1.05795209200648
"prod_PhL","ssp126",1984,9,16.1504225423367,14.8387425203169,1.08839563192257
"prod_PhL","ssp126",1984,10,9.83840757386975,10.3197974935538,0.953352774607767
"prod_PhL","ssp126",1984,11,1.01994932490957,1.8225866400796,0.559616372950603
"prod_PhL","ssp126",1984,12,0.0484998129770266,-0.0287521537837166,-1.68682364952061
"prod_PhL","ssp126",1985,1,0.0130944135193876,0.0751663945204219,0.17420568863164
"prod_PhL","ssp126",1985,2,19.2153049106852,4.79483203427946,4.00750323959424
"prod_PhL","ssp126",1985,3,8.59632155567449,13.0725253564856,0.657586910046393
"prod_PhL","ssp126",1985,4,13.332502050201,15.1843054059576,0.878044908459891
"prod_PhL","ssp126",1985,5,14.6289912121911,14.4530682258468,1.0121720165985
