"date","PP_L"
1980-01-01,1.26882898138089
1980-02-01,1.20884900637642
1980-03-01,1.42036747194041
1980-04-01,3.11896002515355
1980-05-01,2.1427282198005
1980-06-01,1.337871275674
1980-07-01,1.50003905000652
1980-08-01,1.20483960385355
1980-09-01,1.19578215425277
1980-10-01,1.14053919619931
1980-11-01,1.00954851278529
1980-12-01,1.04426668964056
1981-01-01,1.07075955141283
1981-02-01,0.965614298418236
1981-03-01,0.750427451497216
1981-04-01,1.07530272938174
1981-05-01,0.886104933697081
1981-06-01,0.696016085709734
1981-07-01,0.439655774084446
1981-08-01,0.695689723621638
1981-09-01,0.580074507021608
1981-10-01,0.743915036287536
1981-11-01,0.942201735576149
1981-12-01,1.02732829228913
1982-01-01,1.05298878247044
1982-02-01,0.967752978763762
1982-03-01,0.77947805777277
1982-04-01,0.325663392137624
1982-05-01,1.02795071859418
1982-06-01,0.998863596591076
1982-07-01,0.61507304060923
1982-08-01,0.718254470985358
1982-09-01,0.669474320816871
1982-10-01,1.05352804473819
1982-11-01,0.975530112672004
1982-12-01,1.02767548467701
1983-01-01,1.04778510373385
1983-02-01,0.964470068872999
1983-03-01,0.962465062979693
1983-04-01,0.625428144280022
1983-05-01,0.442564936634077
1983-06-01,0.62531122024397
1983-07-01,0.784179950465447
1983-08-01,0.995164843609604
1983-09-01,0.744093242715898
1983-10-01,0.907209526292875
1983-11-01,0.977264946373135
1983-12-01,1.05237214154453
1984-01-01,1.04666586541685
1984-02-01,1.04407800210333
1984-03-01,0.911281119924409
1984-04-01,0.321521884274923
1984-05-01,1.79291251052785
1984-06-01,1.07560511980481
1984-07-01,0.801514619517803
1984-08-01,0.875344280699283
1984-09-01,1.11791930893291
1984-10-01,1.05555731414932
1984-11-01,0.965299378369721
1984-12-01,1.04490101348376
1985-01-01,1.07730585706577
1985-02-01,1.15063759305016
1985-03-01,0.816654453344056
1985-04-01,1.15020528762021
1985-05-01,0.86920909721844
1985-06-01,0.873247380403208
1985-07-01,1.21024117611002
1985-08-01,0.996535413343701
1985-09-01,0.839659193355503
1985-10-01,0.881450075019385
1985-11-01,0.991320394969183
1985-12-01,1.05501332308059
1986-01-01,1.06637628090102
1986-02-01,1.02869957324942
1986-03-01,0.801746088071699
1986-04-01,0.771192266185083
1986-05-01,1.32777090488922
1986-06-01,0.588729941149131
1986-07-01,0.776299005968912
1986-08-01,0.697880162149977
1986-09-01,0.893858658775093
1986-10-01,0.696840356130674
1986-11-01,1.08107910955576
1986-12-01,1.06440032388548
1987-01-01,1.07404063266764
1987-02-01,1.02200083053432
1987-03-01,0.780486390193854
1987-04-01,1.03232360843586
1987-05-01,0.701536523210656
1987-06-01,0.827696469379176
1987-07-01,0.876217284039302
1987-08-01,0.947375987949488
1987-09-01,1.2308448619011
1987-10-01,1.13730843762724
1987-11-01,1.07084411926928
1987-12-01,1.07479553475959
1988-01-01,1.04261113569776
1988-02-01,0.990716603711495
1988-03-01,0.912618398918111
1988-04-01,1.05400041316971
1988-05-01,0.708444910068926
1988-06-01,0.82075428512764
1988-07-01,0.864266829478915
1988-08-01,0.770749655211704
1988-09-01,0.638991365654383
1988-10-01,0.849488222562667
1988-11-01,1.05389618532909
1988-12-01,1.03386448070324
1989-01-01,1.03834615650833
1989-02-01,1.10053083285464
1989-03-01,0.993597057084265
1989-04-01,0.907288952642024
1989-05-01,0.97376942820136
1989-06-01,0.657812598829584
1989-07-01,0.529499347708234
1989-08-01,0.57790266021414
1989-09-01,0.806253286686702
1989-10-01,0.880429929840035
1989-11-01,1.07284862908998
1989-12-01,1.06274165769195
1990-01-01,1.04817558250728
1990-02-01,1.04260840053287
1990-03-01,1.00893856079566
1990-04-01,0.841343941932522
1990-05-01,0.836365982986862
1990-06-01,0.783937914851777
1990-07-01,0.991243176141593
1990-08-01,1.15550216511401
1990-09-01,0.986656025156644
1990-10-01,1.22385170592381
1990-11-01,1.1136856588976
1990-12-01,1.08010528893721
1991-01-01,1.05926612909885
1991-02-01,1.04412723195955
1991-03-01,1.13011386052018
1991-04-01,1.2713865182215
1991-05-01,1.23231590723434
1991-06-01,1.31059656444508
1991-07-01,1.705164798463
1991-08-01,1.13554022514293
1991-09-01,1.05860684503684
1991-10-01,1.30834275002697
1991-11-01,1.03883371425207
1991-12-01,1.07856480709562
1992-01-01,1.05450691303221
1992-02-01,1.08275066384391
1992-03-01,1.02982141040286
1992-04-01,1.17537599816007
1992-05-01,1.5174265724039
1992-06-01,0.939553138796992
1992-07-01,0.937675357545873
1992-08-01,0.916501433114455
1992-09-01,1.04400309681306
1992-10-01,1.05705882199516
1992-11-01,1.0786992354006
1992-12-01,1.06111528916852
1993-01-01,1.06841634335197
1993-02-01,1.03698592745791
1993-03-01,1.02522567805087
1993-04-01,1.41686371307635
1993-05-01,1.33256626245932
1993-06-01,1.4232551554839
1993-07-01,1.33628519464562
1993-08-01,1.24108691028858
1993-09-01,1.48769980876031
1993-10-01,1.44822603574142
1993-11-01,1.21307477898403
1993-12-01,1.09816506373356
1994-01-01,1.06741501821096
1994-02-01,1.15052376033815
1994-03-01,0.928494321802842
1994-04-01,1.22230306695811
1994-05-01,1.66190477931023
1994-06-01,1.60546749035166
1994-07-01,1.23873695986379
1994-08-01,1.24942212818564
1994-09-01,1.16465766857321
1994-10-01,1.07349709760082
1994-11-01,1.01780247520029
1994-12-01,1.06132803959396
1995-01-01,1.0660461418516
1995-02-01,1.01470824646211
1995-03-01,0.902788348864353
1995-04-01,0.906611293708349
1995-05-01,1.11420926654577
1995-06-01,1.17010242160997
