Name,Transient killer whales_PWS,Resident killer whales_PWS,Humpback whale ( Mean N*Weight 25.234 t) Cheeseman et al. 2025,Humpback whale ( Mean N*Weight  25.234 t) PWS only,Other baleen whales- EN Gray Whales mt (Numbers*14.409t) = 10% of the time spent/ km2,Steller sea lion ADult N*0.295 tonnes,Harbor seal (N*upper weight 0.064 tonnes),Sea otter,Piscivorous surface birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Piscivorous diving birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Planktivorous diving birds: Chowiet bioamss (t) divided by 650NMFS 300m isobar area,Salmon returning,Salmon outgoing_race,Salmon outgoing_race,Pacific hake,Mature herring Sitka biomass (t) divided by 650NMFS 300m isobar area,Mature herring Craig biomass (t) divided by 650NMFS 300m isobar area,Pacific herring adult _race,Pacific sandlance_race,Pacific capelin_race,Shelf forage fish_race,Slope forage fish_race,Pacific dogfish_race,Salmon shark_race,Big skate_race,Longnose skate_race,Other skates_race,Pacific halibut adult_race,Arrowtooth flounder adult_race,Rex sole adult_race,Flathead sole adult_race,Shallow water flatfish_race,Deep-water flatfish_race,Pacific ocean perch adult_race,Slope rockfish_race,Demersal shelf rockfish_race,Pelagic shelf rockfish_race,Thornyheads adult_race,Sablefish adult_race,Pacific cod adult_race, Walleye pollock adult_race,Large sculpins_race,Lingcod_race,Atka mackerel_race,Shelf demersal fish_race,Slope demersal fish_race,Miscellaneous deep-sea fish_race,Squid_race,Octopus_race,Tanner crab_race,King crab_race,Pandalid shrimp_race,Motile epifauna_race,Sessile epifauna_race,Euphausiids_roms,Large copepods_roms,Small copepods_roms,Large microzooplankton_roms,Small microzooplankton_roms,Large phytoplankton_roms,Small phytoplankton_roms,Salmon_shark_combined_catch_akfin,Pacific halibut_combined_catch_akfin,Arrowtooth flounder_combined_catch_akfin,Rex sole_combined_catch_akfin,Flathead sole_combined_catch_akfin,Shallow water flatfish_combined_catch_akfin,Deep water flatfish__combined_catch_akfin,Pacific ocean perch_combine_catch_akfin,Slope rockfish_45_combined_catch_akfin,Demersal shelf rockfish_combine_catch_akfin,Pelagic shelf rockfish_combined_catch_akfin,Sablefish_49_combined_catch_akfin,Pacific cod_51_combined_catch_akfin,Walleye pollock_53_combined_catch_akfin,Large sculpins_55_combined_catch_akfin,Atka mackerel_57_combined_catch_akfin,Squid_61_combined_catch_akfin,Octopus_62_combined_akfin
Pool Code,1,2,5,5,6,11,12,13,14,16,17,18,19,19,20,21,21,21,23,24,25,26,27,28,30,31,32,33,35,37,39,41,42,43,45,46,47,48,49,51,53,55,56,57,58,59,60,61,62,63,64,65,67,69,75,76,77,78,79,80,81,28,33,35,37,39,42,42,43,45,46,47,49,51,53,55,57,61,62
Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1990,0.0045085,0.01751925,,0.26962529,,0.02925326,,,0.000011,0.000079,,0.503111569,0.863857664,0.005675279,,0.735024811,0.67223662,0.029716331,9.94E-05,0.0005461,0.001341491,0.000108145,0.055772783,0.055761759,0.037553511,0.041628632,0.046925498,1.208793231,8.111474415,0.456907923,0.951942827,0.872238466,0.384240729,0.377975512,0.929668556,0.003394695,0.123384301,0.056863843,0.91387675,1.709827344,3.672057327,0.108004561,0.004401239,0.18536727,0.061463558,0.179226636,0.000690379,0.013141233,0.004078921,0.004566799,0.003335455,0.031820952,0.058032404,0.267363594,0.336788437,0.263189873,1.04801699,0.400046853,0.169703484,0.380109662,0.469546412,,,,,,,,,,,,,,,,,,
1991,0.004473,0.01783875,,0.27277954,,0.027366787,,,0.000010,0.000083,,0.547286908,0.980103847,,,0.882574337,0.474777834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.343385945,0.263952236,1.148669091,0.435492489,0.175705455,0.428212318,0.48856008,,,0.072234324,,0.005247754,0.022215625,0.04272553,0.01868509,0.009303102,0.000810158,0.004103949,0.055812224,0.274596859,0.374103949,,0.005236211,1.24E-05,
1992,0.0042245,0.0182115,,0.30015843,0.967396283,0.026176099,,,,,,0.505897286,0.996051438,,,1.438655526,0.328317435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354985119,0.252620804,1.111906507,0.426628424,0.180432728,0.422163183,0.488396453,,,0.087243972,,0.00980189,0.035472273,0.035733977,0.018346162,0.035105572,0.000904038,0.010095285,0.053566442,0.336358293,0.385848174,,0.027176075,8.51E-05,
1993,0.0042245,0.0182115,,0.31492032,1.233826131,0.025130227,,0.020034775,0.000013,0.000074,,0.57150646,0.817343857,0.03136933,,0.959902377,0.207723811,0.014221897,8.64E-06,0.000168291,0.002095982,0.000328965,0.036005226,0.030498161,0.103280068,0.06224076,0.021951608,2.141711147,6.614959438,0.351500146,0.711140354,1.235382088,0.25697908,1.980695497,1.066776929,0.004879396,0.220931046,0.135602696,1.132124855,1.685456547,3.183991223,0.100388573,0.012305774,0.096991978,0.078067343,0.423290481,9.74E-05,0.037959795,0.005029078,0.023189578,0.003800781,0.023070126,0.072663837,0.223144551,0.335755145,0.286955112,1.087985442,0.425287267,0.179054827,0.431645399,0.475771734,,,0.077925322,,0.012025821,0.038124582,0.02806661,0.006887621,,0.000366275,0.008998888,0.05407196,0.195294822,0.461007118,,0.009184475,,
1994,0.0042245,0.018815,,0.35050026,,0.02427707,,0.021731976,,,,0.536463502,1.053243827,,,0.619223347,0.169168703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32951165,0.252469693,1.105115799,0.416802392,0.182414144,0.449732964,0.48990116,,,0.093680341,0.015153364,0.010696642,0.01532089,0.011950896,0.004575093,,0.000145845,0.007118189,0.042213069,0.194278546,0.427707065,,0.015067321,,
1995,0.0042245,0.018886,,0.35214047,1.285442695,0.023572322,,0.021312553,0.000012,0.000092,,0.932674246,1.127065328,,,0.855019415,0.121274329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328892108,0.219741045,1.056525113,0.412568085,0.184735641,0.411068784,0.495714899,,,0.074181387,0.016386704,0.009160196,0.021960097,0.008447538,0.017114951,,0.00021306,0.008000119,0.0401231,0.289251051,0.294622075,,0.002972752,,
1996,0.0042245,0.01917,,0.38456616,,0.022988093,0.020237357,0.021263783,,,,0.505586342,0.823392356,0.021552237,,1.090162007,0.147740123,0.000134012,1.64E-05,0.004195009,0.00124401,0.000463134,0.01665868,,0.140501149,0.088216201,0.052289699,1.954160349,6.643396891,0.286522401,0.936113147,1.230628119,0.237881906,3.374365303,1.077851139,0.002779398,0.361238368,0.222019139,0.648559387,2.132067909,3.218862222,0.129472766,0.026499969,0.935140082,0.062341823,0.404215083,1.94E-06,0.024865689,0.009233344,0.008164124,0.00236953,0.025696972,0.103655638,0.362728566,0.30164287,0.236187662,1.004746805,0.408157176,0.179143619,0.378903291,0.483243492,,,0.091816253,0.024503704,0.012528272,0.033607972,0.008385136,0.026116523,,0.000191635,0.005452168,0.035355775,0.235941117,0.2122336,,0.005993466,,
1997,0.0042245,0.0196315,,0.38216893,1.297165363,0.022500716,0.021047549,0.022834182,,,,0.597382959,1.066461075,,,1.28092266,0.179624326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296611784,0.23283757,0.930507153,0.391562482,0.184676778,0.36436715,0.485808472,,,0.062862984,0.01321384,0.009779741,0.028411332,0.011321938,0.034166095,,0.000366573,0.008165218,0.032291018,0.250972573,0.358563737,,0.001381699,,
1998,0.0042245,0.0195605,,0.36261258,1.004651044,0.022126878,0.02125146,0.030422816,0.000008,0.000098,2.8521E-06,0.663328634,1.074681921,,,1.52507778,0.196396887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268751093,0.185564092,0.905845299,0.38013966,0.172892805,0.346841811,0.468608655,,,0.052720717,0.011175155,0.006785606,0.013520993,0.007473346,0.028625798,,0.000115944,0.009747496,0.030846492,0.213907927,0.023122218,,0.001349113,,
1999,0.0042245,0.0201285,,0.36665002,0.984028969,0.021719859,0.021075628,0.024141221,,,,0.647338448,1.113430649,0.010195351,,1.615257523,0.195988464,0.000205365,3.50E-05,0.000553399,0.001046453,0.00073066,0.06928119,,0.191768289,0.136096655,0.074697931,2.257162459,4.150223448,0.236115926,0.804573129,1.191208541,0.160501522,2.710685883,1.328461994,0.009614189,0.200041635,0.22937934,0.487458595,1.205201228,2.510791694,0.127754548,0.026035847,0.019996206,0.047302764,1.535439837,8.70E-05,0.007229955,0.004019605,0.01048045,0.000812073,0.025739026,0.148226866,0.185225899,0.256155368,0.114608362,0.94994135,0.400938705,0.188925126,0.365725136,0.497314744,,,0.062398485,0.012720206,0.003413611,0.009511435,0.008022609,0.038053789,,0.000256039,0.015938305,0.031061639,0.28225477,0.385727673,,0.000610302,,
