"date","PP_S"
1980-01-01,1.17264120706385
1980-02-01,1.02436524327832
1980-03-01,1.14681681697029
1980-04-01,1.20147964572054
1980-05-01,0.96355345658507
1980-06-01,0.810282982108452
1980-07-01,0.896880698668777
1980-08-01,0.919139003851174
1980-09-01,1.02019273151323
1980-10-01,1.0699235109267
1980-11-01,0.957432579329909
1980-12-01,1.01012200169574
1981-01-01,1.04730056620255
1981-02-01,0.945219768400547
1981-03-01,0.883915352121446
1981-04-01,1.03564363370535
1981-05-01,1.01720914890637
1981-06-01,0.963585419463448
1981-07-01,0.885149593050824
1981-08-01,1.01308079854767
1981-09-01,0.916480468558706
1981-10-01,0.972280218625941
1981-11-01,0.958340092061744
1981-12-01,0.996592630714596
1982-01-01,1.04271718556758
1982-02-01,0.992051650100224
1982-03-01,0.913161426674064
1982-04-01,0.916716064105736
1982-05-01,1.0900329766179
1982-06-01,1.04932637825523
1982-07-01,0.848902696456392
1982-08-01,0.942871709247147
1982-09-01,0.911151611130833
1982-10-01,1.06344261159202
1982-11-01,0.955354692338002
1982-12-01,0.989540132160007
1983-01-01,1.03124143183069
1983-02-01,0.950486769755224
1983-03-01,0.933931516026733
1983-04-01,0.910257382511538
1983-05-01,0.897534167647601
1983-06-01,0.936644112727791
1983-07-01,1.01224104817897
1983-08-01,1.06559150805062
1983-09-01,0.939571788642518
1983-10-01,1.04897911008435
1983-11-01,1.01402844591245
1983-12-01,1.02768824276868
1984-01-01,1.02601091246992
1984-02-01,1.04187991847224
1984-03-01,1.01748728605327
1984-04-01,0.844957924400326
1984-05-01,1.20544463644753
1984-06-01,1.00192230091661
1984-07-01,0.887056579573733
1984-08-01,0.959383236424828
1984-09-01,1.11879196332308
1984-10-01,1.0821639601502
1984-11-01,0.973162217253455
1984-12-01,1.01032147997204
1985-01-01,1.05624313182618
1985-02-01,1.17346452701521
1985-03-01,0.964429835008895
1985-04-01,1.02342255267084
1985-05-01,0.933642688148601
1985-06-01,0.966133882052057
1985-07-01,1.02257001024982
1985-08-01,1.00971807583425
1985-09-01,0.995380531211364
1985-10-01,0.965414508266614
1985-11-01,0.980137839577166
1985-12-01,1.03237297144325
1986-01-01,1.04641572560356
1986-02-01,1.02184692575199
1986-03-01,0.903802058420313
1986-04-01,0.974273685901357
1986-05-01,1.21564775277399
1986-06-01,0.869131619891756
1986-07-01,1.01834687425968
1986-08-01,0.864221878985555
1986-09-01,0.979191458407646
1986-10-01,0.877714191350496
1986-11-01,1.08702374782131
1986-12-01,1.02632436986932
1987-01-01,1.06070579465084
1987-02-01,1.02267805849113
1987-03-01,0.848832040478115
1987-04-01,0.844390510650817
1987-05-01,0.877611751930964
1987-06-01,0.958691019631306
1987-07-01,1.03067809803574
1987-08-01,0.961383856961763
1987-09-01,1.10215845837416
1987-10-01,1.06680975421902
1987-11-01,1.02872825612517
1987-12-01,1.04709296888797
1988-01-01,1.00660803037793
1988-02-01,0.976685979788507
1988-03-01,0.968787514328676
1988-04-01,0.851225863277661
1988-05-01,0.871260796168949
1988-06-01,0.980882485110873
1988-07-01,1.01255863038975
1988-08-01,0.922955459651545
1988-09-01,0.860963845656574
1988-10-01,0.940698488790713
1988-11-01,1.00163154743548
1988-12-01,0.986200318690265
1989-01-01,1.00385880857067
1989-02-01,1.09018871089132
1989-03-01,1.06373359441538
1989-04-01,0.884847326312097
1989-05-01,0.97934004697693
1989-06-01,0.900934246426971
1989-07-01,0.846280295443318
1989-08-01,0.826563616778019
1989-09-01,0.989112340997075
1989-10-01,0.943872194762154
1989-11-01,1.04944744795493
1989-12-01,1.03092311609287
1990-01-01,1.00415154511854
1990-02-01,1.0424111642486
1990-03-01,1.00279634708843
1990-04-01,1.06871672684161
1990-05-01,0.932864893254935
1990-06-01,0.917664290483715
1990-07-01,0.971795676009247
1990-08-01,1.01409294963907
1990-09-01,0.943416620040468
1990-10-01,1.07663262305455
1990-11-01,1.06947184656063
1990-12-01,1.05351891440164
1991-01-01,1.02549042316012
1991-02-01,0.986613134125313
1991-03-01,1.073955583479
1991-04-01,1.11551267144617
1991-05-01,0.990528976234275
1991-06-01,0.942207025595109
1991-07-01,1.00737905362607
1991-08-01,0.834201480272023
1991-09-01,0.891765863324906
1991-10-01,1.04326777888171
1991-11-01,1.00533057129959
1991-12-01,1.03305766550694
1992-01-01,1.02105672375596
1992-02-01,1.05339514066518
1992-03-01,0.995684295831806
1992-04-01,1.15728087865865
1992-05-01,1.1049939344565
1992-06-01,0.980702357580316
1992-07-01,0.856805117688017
1992-08-01,0.862597274471538
1992-09-01,0.927951523156548
1992-10-01,0.946239904012604
1992-11-01,1.02014954066446
1992-12-01,1.0189301323903
1993-01-01,1.03740305382716
1993-02-01,0.992646316795661
1993-03-01,0.964139024681296
1993-04-01,1.12409975616666
1993-05-01,0.959556495526036
1993-06-01,1.05734768983884
1993-07-01,0.997780107747452
1993-08-01,0.878646910771167
1993-09-01,0.956878976161931
1993-10-01,1.07756807033233
1993-11-01,1.10961059848215
1993-12-01,1.05768817230576
1994-01-01,1.04073745387675
1994-02-01,1.07517552283743
1994-03-01,0.91243149552344
1994-04-01,0.968682133691893
1994-05-01,0.936902169485002
1994-06-01,1.10193101447821
1994-07-01,0.956046643116
1994-08-01,1.0140379019122
1994-09-01,1.02568347367697
1994-10-01,1.00247623697713
1994-11-01,0.959257864647953
1994-12-01,1.0237102793511
1995-01-01,1.04408383445393
1995-02-01,0.970523031346965
1995-03-01,0.946415869969392
1995-04-01,0.91944237443306
1995-05-01,0.849755776509484
1995-06-01,1.05482853722917
