"","date","PP_L"
"1",1980-01-01,1.25128794138006
"2",1980-02-01,1.18336860801115
"3",1980-03-01,1.33025192472167
"4",1980-04-01,2.94761065274709
"5",1980-05-01,2.16586535374195
"6",1980-06-01,1.33870625315902
"7",1980-07-01,1.44278488719575
"8",1980-08-01,1.16912174417441
"9",1980-09-01,1.15444979412332
"10",1980-10-01,1.12589576014853
"11",1980-11-01,1.01643411709763
"12",1980-12-01,1.05689095061227
"13",1981-01-01,1.08849267729207
"14",1981-02-01,0.978433126713614
"15",1981-03-01,0.779107711324305
"16",1981-04-01,1.26578251193247
"17",1981-05-01,0.822093601351763
"18",1981-06-01,0.727219607646642
"19",1981-07-01,0.48621760193884
"20",1981-08-01,0.730042869393581
"21",1981-09-01,0.626776903768131
"22",1981-10-01,0.765669063082999
"23",1981-11-01,0.945518834454236
"24",1981-12-01,1.0270392322167
"25",1982-01-01,1.05431012699067
"26",1982-02-01,0.977503663438201
"27",1982-03-01,0.797199469393204
"28",1982-04-01,0.3086186404113
"29",1982-05-01,0.980284131224094
"30",1982-06-01,1.03918475447553
"31",1982-07-01,0.621502404806542
"32",1982-08-01,0.745700982517432
"33",1982-09-01,0.695615764582116
"34",1982-10-01,0.989833185310075
"35",1982-11-01,0.9629446304129
"36",1982-12-01,1.0272464804548
"37",1983-01-01,1.05119842812021
"38",1983-02-01,0.974969758921721
"39",1983-03-01,0.974742859026665
"40",1983-04-01,0.563466661322087
"41",1983-05-01,0.502268919956739
"42",1983-06-01,0.690658307197235
"43",1983-07-01,0.859719226223657
"44",1983-08-01,0.966825454425692
"45",1983-09-01,0.772051008617515
"46",1983-10-01,0.950508882180403
"47",1983-11-01,0.999349115728648
"48",1983-12-01,1.05677682975013
"49",1984-01-01,1.04892146850123
"50",1984-02-01,1.04964270482203
"51",1984-03-01,0.912135426042483
"52",1984-04-01,0.281020022735112
"53",1984-05-01,1.91142406494773
"54",1984-06-01,1.05291438576183
"55",1984-07-01,0.795914711062818
"56",1984-08-01,0.861872441372602
"57",1984-09-01,1.1140152635637
"58",1984-10-01,1.04359914362006
"59",1984-11-01,0.978576485843651
"60",1984-12-01,1.05324385476831
"61",1985-01-01,1.08167387111726
"62",1985-02-01,1.13319435001202
"63",1985-03-01,0.808722439353981
"64",1985-04-01,1.18312843499626
"65",1985-05-01,0.939903914898403
"66",1985-06-01,0.870600864454251
"67",1985-07-01,1.16518745201595
"68",1985-08-01,1.02368386793721
"69",1985-09-01,0.892541955558912
"70",1985-10-01,0.907848725530923
"71",1985-11-01,1.00576317060868
"72",1985-12-01,1.06493336746139
