"","date","PP_S"
"1",1980-01-01,1.18902695906648
"2",1980-02-01,1.0041176474406
"3",1980-03-01,1.10851145711048
"4",1980-04-01,1.16363470763803
"5",1980-05-01,0.996286051378757
"6",1980-06-01,0.790815416350758
"7",1980-07-01,0.867212880445036
"8",1980-08-01,0.927859696149527
"9",1980-09-01,1.03520468587114
"10",1980-10-01,1.07564354683484
"11",1980-11-01,0.95388580829689
"12",1980-12-01,1.0095870235905
"13",1981-01-01,1.05577076942745
"14",1981-02-01,0.943099068468104
"15",1981-03-01,0.878556069628149
"16",1981-04-01,1.08719569169394
"17",1981-05-01,1.00945242456461
"18",1981-06-01,0.998546365227426
"19",1981-07-01,0.91169284799495
"20",1981-08-01,1.0432611544511
"21",1981-09-01,0.921832399726971
"22",1981-10-01,0.990766998298189
"23",1981-11-01,0.959146690679161
"24",1981-12-01,0.993484227197301
"25",1982-01-01,1.03866681132539
"26",1982-02-01,0.989140041851025
"27",1982-03-01,0.913199803336342
"28",1982-04-01,0.972593514977418
"29",1982-05-01,1.110002314265
"30",1982-06-01,1.11840967399858
"31",1982-07-01,0.911495580938884
"32",1982-08-01,1.00360094026288
"33",1982-09-01,0.927498058386733
"34",1982-10-01,1.0695336069961
"35",1982-11-01,0.95113137853795
"36",1982-12-01,0.988439701458454
"37",1983-01-01,1.02839132718489
"38",1983-02-01,0.94972269525498
"39",1983-03-01,0.945708003961717
"40",1983-04-01,0.932401882529237
"41",1983-05-01,0.944578764738758
"42",1983-06-01,0.974836033524648
"43",1983-07-01,1.02009228207011
"44",1983-08-01,1.07044114210704
"45",1983-09-01,0.939001501722184
"46",1983-10-01,1.06265681921362
"47",1983-11-01,1.01527849187666
"48",1983-12-01,1.02526553385834
"49",1984-01-01,1.02062017662364
"50",1984-02-01,1.05123056478681
"51",1984-03-01,1.02783301071978
"52",1984-04-01,0.897201270826059
"53",1984-05-01,1.23881375165152
"54",1984-06-01,1.00946565214521
"55",1984-07-01,0.890736286569897
"56",1984-08-01,0.962323630538049
"57",1984-09-01,1.14756753075776
"58",1984-10-01,1.09083689954076
"59",1984-11-01,0.978284037679642
"60",1984-12-01,1.01343394439207
"61",1985-01-01,1.0535607422105
"62",1985-02-01,1.16204132319232
"63",1985-03-01,0.935438463811786
"64",1985-04-01,1.05825632790285
"65",1985-05-01,0.966301839766098
"66",1985-06-01,0.991077025287275
"67",1985-07-01,1.057747121894
"68",1985-08-01,1.0317799956782
"69",1985-09-01,0.990808473103535
"70",1985-10-01,0.97666151007014
"71",1985-11-01,0.976277773253807
"72",1985-12-01,1.03046546764769
"73",1986-01-01,1.05372344970517
"74",1986-02-01,1.01571959975444
"75",1986-03-01,0.903954308674131
"76",1986-04-01,0.974976478591302
"77",1986-05-01,1.24426519610513
"78",1986-06-01,0.869374362261884
"79",1986-07-01,1.01364088887468
"80",1986-08-01,0.816690903806033
"81",1986-09-01,0.967336287719849
"82",1986-10-01,0.879324476303722
"83",1986-11-01,1.08528419328956
"84",1986-12-01,1.02720627393032
"85",1987-01-01,1.0642403392978
"86",1987-02-01,1.02571209294263
"87",1987-03-01,0.844410947635647
"88",1987-04-01,0.838698141851824
"89",1987-05-01,0.882233511405244
"90",1987-06-01,1.01649850759018
"91",1987-07-01,1.08335707915512
"92",1987-08-01,0.946107580767692
"93",1987-09-01,1.10710640399122
"94",1987-10-01,1.07854042784915
"95",1987-11-01,1.03290380793029
"96",1987-12-01,1.04010141063563
"97",1988-01-01,0.996681318293194
"98",1988-02-01,0.967495978835124
"99",1988-03-01,0.973304854703898
"100",1988-04-01,0.845528334858787
"101",1988-05-01,0.882677508758368
"102",1988-06-01,0.99856757934588
"103",1988-07-01,0.973098861217506
"104",1988-08-01,0.880218502409532
"105",1988-09-01,0.831424458861124
"106",1988-10-01,0.948680381049422
"107",1988-11-01,1.00500243577155
"108",1988-12-01,0.984194981685167
"109",1989-01-01,0.99841521997605
"110",1989-02-01,1.09852727063167
"111",1989-03-01,1.0785831635299
"112",1989-04-01,0.883137815818503
"113",1989-05-01,0.981001392240934
"114",1989-06-01,0.875591461266511
"115",1989-07-01,0.779673062402434
"116",1989-08-01,0.769225121817799
"117",1989-09-01,0.967215999514072
"118",1989-10-01,0.950827351272155
"119",1989-11-01,1.04058671987551
"120",1989-12-01,1.03839299230271
"121",1990-01-01,1.018602111987
"122",1990-02-01,1.04296573870162
"123",1990-03-01,0.980199048857912
"124",1990-04-01,0.98817484595654
"125",1990-05-01,0.866280422516658
"126",1990-06-01,0.889818329315172
"127",1990-07-01,0.866194255941134
"128",1990-08-01,0.984529776573502
"129",1990-09-01,0.905874447711131
"130",1990-10-01,1.08109279105306
"131",1990-11-01,1.0652172111309
"132",1990-12-01,1.05644508323522
"133",1991-01-01,1.01075316553474
"134",1991-02-01,0.979011770808836
"135",1991-03-01,1.06861288170831
"136",1991-04-01,1.10935761036474
"137",1991-05-01,0.974650902693069
"138",1991-06-01,0.904414817822819
"139",1991-07-01,0.933718951371718
"140",1991-08-01,0.796051847798602
"141",1991-09-01,0.855044677197584
"142",1991-10-01,1.03474964060588
"143",1991-11-01,0.995664793862956
"144",1991-12-01,1.03278022623437
"145",1992-01-01,1.0160533950973
"146",1992-02-01,1.0676259420312
"147",1992-03-01,0.98284932758566
"148",1992-04-01,1.15709741669034
"149",1992-05-01,1.08273100996806
"150",1992-06-01,0.957015550958951
"151",1992-07-01,0.807203024588
"152",1992-08-01,0.821922656074472
"153",1992-09-01,0.887606424854641
"154",1992-10-01,0.918487666662675
"155",1992-11-01,1.00794647078671
