akfin_year,species_name,fmp_gear,harvest_description,conf_flag,catch_lb,catch_mt
2019,"grenadier, giant",TRW,Rockfish Pilot Program,0,756513,343.1482447
2020,"grenadier, giant",HAL,Federally managed (Groundfish) ,0,557983,253.0966249
2020,"grenadier, giant",POT,Federally managed (Groundfish) ,0,22318,10.12326626
2020,"grenadier, giant",TRW,Federally managed (Groundfish) ,1,NA,NA
2020,"grenadier, giant",TRW,Rockfish Pilot Program,0,182018,82.56190866
2021,"grenadier, giant",HAL,Federally managed (Groundfish) ,0,153983,69.84545694
2021,"grenadier, giant",POT,Federally managed (Groundfish) ,0,38135,17.29773092
2021,"grenadier, giant",TRW,Federally managed (Groundfish) ,0,12214,5.540172688
2021,"grenadier, giant",TRW,Rockfish Pilot Program,0,168661,76.50328031
2022,"grenadier, giant",HAL,Federally managed (Groundfish) ,0,4627,2.098770184
2022,"grenadier, giant",POT,Federally managed (Groundfish) ,0,46275,20.9899698
2022,"grenadier, giant",TRW,Federally managed (Groundfish) ,0,9897,4.489200024
2022,"grenadier, giant",TRW,Rockfish Pilot Program,0,116185,52.70058652
2023,"grenadier, giant",HAL,Federally managed (Groundfish) ,0,493,0.223620856
2023,"grenadier, giant",POT,Federally managed (Groundfish) ,0,75017,34.02711106
2023,"grenadier, giant",TRW,Federally managed (Groundfish) ,0,1470,0.66678024
2023,"grenadier, giant",TRW,Rockfish Pilot Program,0,254923,115.6310334
1991,"groundfish, general",HAL,Federally managed (Groundfish) ,1,NA,NA
1991,"groundfish, general",JIG,State managed fishery,1,NA,NA
1991,"groundfish, general",TRW,Federally managed (Groundfish) ,1,NA,NA
1991,"groundfish, general",TRW,State managed fishery,0,131725,59.7494062
1992,"groundfish, general",HAL,Federally managed (Groundfish) ,1,NA,NA
1992,"groundfish, general",HAL,State managed fishery,1,NA,NA
1992,"groundfish, general",POT,State managed fishery,0,28974,13.14237461
1992,"groundfish, general",TRW,Federally managed (Groundfish) ,0,27161,12.32001231
1992,"groundfish, general",TRW,State managed fishery,0,158121,71.72242063
1993,"groundfish, general",HAL,Federally managed (Groundfish) ,1,NA,NA
1993,"groundfish, general",HAL,State managed fishery,1,NA,NA
1993,"groundfish, general",POT,State managed fishery,1,NA,NA
1993,"groundfish, general",TRW,State managed fishery,0,69041,31.31644527
1994,"groundfish, general",TRW,State managed fishery,0,1777,0.806032984
1995,"groundfish, general",HAL,Federally managed (Groundfish) ,1,NA,NA
1995,"groundfish, general",HAL,State managed fishery,1,NA,NA
1995,"groundfish, general",JIG,State managed fishery,1,NA,NA
1995,"groundfish, general",POT,State managed fishery,1,NA,NA
1995,"groundfish, general",TRW,State managed fishery,0,33283,15.09690254
1995,"groundfish, general",TRW,Test fishery - special study,1,NA,NA
1996,"groundfish, general",HAL,State managed fishery,1,NA,NA
1996,"groundfish, general",POT,State managed fishery,1,NA,NA
1996,"groundfish, general",TRW,State managed fishery,0,123450,55.9959324
1997,"groundfish, general",HAL,State managed fishery,1,NA,NA
1997,"groundfish, general",TRW,Federally managed (Groundfish) ,0,37465,16.99382428
1997,"groundfish, general",TRW,State managed fishery,0,3194,1.448772848
1998,"groundfish, general",TRW,Federally managed (Groundfish) ,0,90440,41.02286048
1998,"groundfish, general",TRW,State managed fishery,1,NA,NA
1999,"groundfish, general",POT,Federally managed (Groundfish) ,1,NA,NA
1999,"groundfish, general",TRW,Federally managed (Groundfish) ,0,3086,1.399784912
2000,"groundfish, general",HAL,Test fishery - long term stock assessment,0,979,0.444066568
2000,"groundfish, general",TRW,Federally managed (Groundfish) ,0,12476,5.659013792
2001,"groundfish, general",HAL,Test fishery - long term stock assessment,1,NA,NA
2001,"groundfish, general",TRW,Federally managed (Groundfish) ,0,30827,13.98288058
2001,"groundfish, general",TRW,State managed fishery,1,NA,NA
2002,"groundfish, general",TRW,Federally managed (Groundfish) ,0,15,0.00680388
2003,"groundfish, general",HAL,Federally managed (Groundfish) ,1,NA,NA
2003,"groundfish, general",HAL,Test fishery - long term stock assessment,1,NA,NA
2003,"groundfish, general",TRW,Federally managed (Groundfish) ,1,NA,NA
2004,"groundfish, general",HAL,Test fishery - long term stock assessment,1,NA,NA
2004,"groundfish, general",POT,Federally managed (Groundfish) ,1,NA,NA
2004,"groundfish, general",TRW,Federally managed (Groundfish) ,0,800,0.3628736
2005,"groundfish, general",HAL,Test fishery - long term stock assessment,1,NA,NA
2005,"groundfish, general",TRW,Federally managed (Groundfish) ,0,106,0.048080752
2001,gunnels,TRW,Federally managed (Groundfish) ,1,NA,NA
2015,gunnels,TRW,Rockfish Pilot Program,1,NA,NA
2021,gunnels,TRW,Federally managed (Groundfish) ,1,NA,NA
1993,"hagfish, Pacific",TRW,State managed fishery,1,NA,NA
1996,"hagfish, Pacific",TRW,State managed fishery,1,NA,NA
1998,"hagfish, Pacific",TRW,Federally managed (Groundfish) ,1,NA,NA
2000,"hagfish, Pacific",TRW,Federally managed (Groundfish) ,1,NA,NA
2006,"hagfish, Pacific",TRW,Federally managed (Groundfish) ,1,NA,NA
2012,"hagfish, Pacific",TRW,Federally managed (Groundfish) ,1,NA,NA
2012,"hagfish, Pacific",TRW,Rockfish Pilot Program,1,NA,NA
2013,"hagfish, Pacific",TRW,Rockfish Pilot Program,1,NA,NA
2017,"hagfish, Pacific",HAL,Federally managed (Groundfish) ,1,NA,NA
2017,"hagfish, Pacific",TRW,Rockfish Pilot Program,1,NA,NA
2018,"hagfish, Pacific",HAL,Federally managed (Groundfish) ,1,NA,NA
2022,"hagfish, Pacific",POT,Federally managed (Groundfish) ,1,NA,NA
1991,"halibut, Pacific",HAL,State managed fishery,0,2834785,1285.835798
1991,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
1991,"halibut, Pacific",HAL,Test fishery - special study,1,NA,NA
1991,"halibut, Pacific",JIG,State managed fishery,0,57500,26.08154
1991,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1991,"halibut, Pacific",POT,State managed fishery,1,NA,NA
1991,"halibut, Pacific",TRW,State managed fishery,0,373760,169.5345459
1991,"halibut, Pacific",TRW,NA,1,NA,NA
1992,"halibut, Pacific",HAL,State managed fishery,0,2068961,938.4641579
1992,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
1992,"halibut, Pacific",JIG,State managed fishery,1,NA,NA
1992,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1992,"halibut, Pacific",POT,State managed fishery,0,618,0.280319856
1992,"halibut, Pacific",TRW,State managed fishery,0,42574,19.31122581
1993,"halibut, Pacific",HAL,State managed fishery,0,2673300,1212.587494
1993,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
1993,"halibut, Pacific",JIG,State managed fishery,1,NA,NA
1993,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1993,"halibut, Pacific",POT,State managed fishery,1,NA,NA
1993,"halibut, Pacific",TRW,State managed fishery,0,38097,17.28049442
1994,"halibut, Pacific",HAL,Federally managed (Groundfish) ,1,NA,NA
1994,"halibut, Pacific",HAL,State managed fishery,0,2765250,1254.295278
1994,"halibut, Pacific",HAL,Test fishery - special study,1,NA,NA
1994,"halibut, Pacific",JIG,State managed fishery,0,29940,13.58054448
1994,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1994,"halibut, Pacific",POT,State managed fishery,1,NA,NA
1994,"halibut, Pacific",TRW,State managed fishery,0,34400,15.6035648
1995,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,144870,65.71187304
1995,"halibut, Pacific",HAL,State managed fishery,0,6103877,2768.669776
1995,"halibut, Pacific",HAL,Test fishery - special study,1,NA,NA
1995,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
1995,"halibut, Pacific",JIG,State managed fishery,0,63989,29.02489849
1995,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1995,"halibut, Pacific",POT,Federally managed (Groundfish) ,1,NA,NA
1995,"halibut, Pacific",POT,State managed fishery,0,3603,1.634291976
1995,"halibut, Pacific",TRW,Federally managed (Groundfish) ,1,NA,NA
1995,"halibut, Pacific",TRW,State managed fishery,0,64927,29.45036778
1995,"halibut, Pacific",TRW,Test fishery - special study,1,NA,NA
1996,"halibut, Pacific",HAL,Federally managed (Groundfish) ,1,NA,NA
1996,"halibut, Pacific",HAL,State managed fishery,0,14444795,6552.043454
1996,"halibut, Pacific",HAL,Test fishery - special study,0,276525,125.4295278
1996,"halibut, Pacific",JIG,State managed fishery,0,85344,38.71135565
1996,"halibut, Pacific",OTH,Confiscated ,1,NA,NA
1996,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1996,"halibut, Pacific",POT,Federally managed (Groundfish) ,1,NA,NA
1996,"halibut, Pacific",POT,State managed fishery,0,574,0.260361808
1996,"halibut, Pacific",TRW,Federally managed (Groundfish) ,1,NA,NA
1996,"halibut, Pacific",TRW,State managed fishery,0,62793,28.48240246
1997,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,6601,2.994160792
1997,"halibut, Pacific",HAL,State managed fishery,0,25691751,11653.57272
1997,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
1997,"halibut, Pacific",HAL,Test fishery - special study,0,592393,268.7047257
1997,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
1997,"halibut, Pacific",JIG,State managed fishery,0,293881,133.3020706
1997,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1997,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,2554,1.158473968
1997,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,98051,44.47514919
1997,"halibut, Pacific",TRW,State managed fishery,0,3799,1.723196008
1998,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,40327,18.29200458
1998,"halibut, Pacific",HAL,State managed fishery,0,28751183,13041.3066
1998,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
1998,"halibut, Pacific",HAL,Test fishery - special study,0,1413731,641.2570718
1998,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
1998,"halibut, Pacific",JIG,State managed fishery,0,243176,110.3026882
1998,"halibut, Pacific",OTH,Confiscated ,1,NA,NA
1998,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
1998,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,3520,1.59664384
1998,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,155522,70.54353502
1998,"halibut, Pacific",TRW,State managed fishery,0,4512,2.046607104
1999,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,49725,22.5548622
1999,"halibut, Pacific",HAL,State managed fishery,0,32279343,14641.65175
1999,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
1999,"halibut, Pacific",HAL,Test fishery - special study,0,747341,338.9878989
1999,"halibut, Pacific",JIG,State managed fishery,0,201303,91.30943038
1999,"halibut, Pacific",OTH,Confiscated ,1,NA,NA
1999,"halibut, Pacific",OTH,State managed fishery,0,491105,222.7612992
1999,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,14066,6.380225072
1999,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,134325,60.9287454
1999,"halibut, Pacific",TRW,State managed fishery,0,5696,2.583660032
2000,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,62187,28.2075257
2000,"halibut, Pacific",HAL,Forfeited catch - trip limit overage,1,NA,NA
2000,"halibut, Pacific",HAL,State managed fishery,0,30618312,13888.22138
2000,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
2000,"halibut, Pacific",HAL,Test fishery - special study,0,1603075,727.1419954
2000,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
2000,"halibut, Pacific",JIG,State managed fishery,0,158376,71.83808659
2000,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2000,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,2012,0.912627104
2000,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,223566,101.4077491
2000,"halibut, Pacific",TRW,Test fishery - long term stock assessment,1,NA,NA
2001,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2001,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,10986,4.983161712
2001,"halibut, Pacific",HAL,State managed fishery,0,33764665,15315.38193
2001,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
2001,"halibut, Pacific",HAL,Test fishery - special study,0,757093,343.4113281
2001,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
2001,"halibut, Pacific",JIG,State managed fishery,0,83588,37.9148481
2001,"halibut, Pacific",OTH,Confiscated ,1,NA,NA
2001,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2001,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,423,0.191869416
2001,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,257272,116.696521
2002,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,16782,7.612180944
2002,"halibut, Pacific",HAL,State managed fishery,0,36008216,16333.03871
2002,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
2002,"halibut, Pacific",HAL,Test fishery - special study,0,728884,330.6159513
2002,"halibut, Pacific",JIG,State managed fishery,0,119707,54.29813754
2002,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2002,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,412,0.186879904
2002,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,194941,88.42367807
2003,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2003,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,32976,14.95764979
2003,"halibut, Pacific",HAL,State managed fishery,0,35223179,15976.95221
2003,"halibut, Pacific",HAL,Test fishery - special study,0,632965,287.1078603
2003,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
2003,"halibut, Pacific",JIG,State managed fishery,0,162996,73.93368163
2003,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2003,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,944,0.428190848
2003,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,353265,160.2381779
2004,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,18963,8.601465096
2004,"halibut, Pacific",HAL,State managed fishery,0,33797042,15330.06787
2004,"halibut, Pacific",HAL,Test fishery - special study,0,655615,297.3817191
2004,"halibut, Pacific",JIG,State managed fishery,0,78094,35.42281365
2004,"halibut, Pacific",OTH,Federally managed (Groundfish) ,1,NA,NA
2004,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2004,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,1522,0.690367024
2004,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,317775,144.1401978
2005,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,13018,5.904860656
2005,"halibut, Pacific",HAL,State managed fishery,0,31249693,14174.61075
2005,"halibut, Pacific",HAL,Test fishery - special study,0,995150,451.3920788
2005,"halibut, Pacific",JIG,State managed fishery,0,147438,66.8766973
2005,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2005,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,767,0.347905064
2005,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,317911,144.2018863
2006,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,3499,1.587118408
2006,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,30958,14.04230114
2006,"halibut, Pacific",HAL,State managed fishery,0,29140759,13218.01516
2006,"halibut, Pacific",HAL,Test fishery - special study,0,624656,283.3389644
2006,"halibut, Pacific",JIG,State managed fishery,0,6731,3.053127752
2006,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2006,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,686,0.311164112
2006,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,201304,91.30988397
2006,"halibut, Pacific",TRW,Test fishery - special study,1,NA,NA
2007,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,1105,0.50121916
2007,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,74709,33.88740473
2007,"halibut, Pacific",HAL,State managed fishery,0,27852023,12633.45482
2007,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
2007,"halibut, Pacific",HAL,Test fishery - special study,0,502267,227.8242931
2007,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",1,NA,NA
2007,"halibut, Pacific",JIG,State managed fishery,0,15252,6.918185184
2007,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,561,0.254465112
2007,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,199806,90.63040315
2007,"halibut, Pacific",TRW,Rockfish Pilot Program,0,8718,3.954415056
2007,"halibut, Pacific",TRW,Test fishery - special study,0,2053,0.931224376
2008,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,2385,1.08181692
2008,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,36145,16.39508284
2008,"halibut, Pacific",HAL,State managed fishery,0,28780962,13054.81412
2008,"halibut, Pacific",HAL,Test fishery - special study,1,NA,NA
2008,"halibut, Pacific",JIG,State managed fishery,0,11032,5.004026944
2008,"halibut, Pacific",OTH,State managed fishery,1,NA,NA
2008,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,360,0.16329312
2008,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,286915,130.1423487
2008,"halibut, Pacific",TRW,Rockfish Pilot Program,0,10435,4.73323252
2008,"halibut, Pacific",TRW,Test fishery - special study,1,NA,NA
2009,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,9389,4.258775288
2009,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,34090808,15463.31778
2009,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,591038,268.0901085
2009,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
2009,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,11847,5.373704424
2009,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,22,0.009979024
2009,"halibut, Pacific",TRW,Amendment 80,1,NA,NA
2009,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,168830,76.57993736
2009,"halibut, Pacific",TRW,Rockfish Pilot Program,0,13921,6.314454232
2010,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2010,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,85859,38.94495553
2010,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,1,NA,NA
2010,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,32848051,14899.61315
2010,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,538229,244.1363686
2010,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
2010,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,13414,6.084483088
2010,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,67,0.030390664
2010,"halibut, Pacific",TRW,Amendment 80,1,NA,NA
2010,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,147481,66.89620175
2010,"halibut, Pacific",TRW,Rockfish Pilot Program,0,20831,9.448774952
2011,"halibut, Pacific",HAL,Confiscated ,0,1297,0.588308824
2011,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,227232,103.0706173
2011,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,1,NA,NA
2011,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,23528883,10672.5131
2011,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
2011,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,6652,3.017293984
2011,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,2192,0.994273664
2011,"halibut, Pacific",TRW,Amendment 80,1,NA,NA
2011,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,173277,78.59706098
2011,"halibut, Pacific",TRW,Rockfish Pilot Program,0,39852,18.07654838
2011,"halibut, Pacific",TRW,Test fishery - special study,0,679,0.307988968
2012,"halibut, Pacific",HAL,Confiscated ,0,184,0.083460928
2012,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,151177,68.57267778
2012,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,1,NA,NA
2012,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,17464857,7921.919416
2012,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
2012,"halibut, Pacific",JIG,Federally managed (Groundfish) ,1,NA,NA
2012,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,11829,5.365539768
2012,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,2662,1.207461904
2012,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,161398,73.20884162
2012,"halibut, Pacific",TRW,Rockfish Pilot Program,0,53526,24.27896539
2013,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2013,"halibut, Pacific",HAL,Exploratory (Shellfish),1,NA,NA
2013,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,52306,23.72558315
2013,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,1,NA,NA
2013,"halibut, Pacific",HAL,Forfeited catch - trip limit overage,1,NA,NA
2013,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,15062873,6832.39869
2013,"halibut, Pacific",HAL,Test fishery - long term stock assessment,1,NA,NA
2013,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",1,NA,NA
2013,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,247,0.112037224
2013,"halibut, Pacific",TRW,Exploratory (Shellfish),1,NA,NA
2013,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,135215,61.33244228
2013,"halibut, Pacific",TRW,Rockfish Pilot Program,0,61537,27.9126909
2014,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2014,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,295727,134.1394014
2014,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,0,5154,2.337813168
2014,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,9870572,4477.212495
2014,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,368391,167.0992105
2014,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,9155,4.15263476
2014,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,265,0.12020188
2014,"halibut, Pacific",TRW,Exploratory (Shellfish),1,NA,NA
2014,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,134116,60.83394467
2014,"halibut, Pacific",TRW,Rockfish Pilot Program,0,40664,18.44486509
2015,"halibut, Pacific",HAL,Exploratory (Shellfish),1,NA,NA
2015,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,386798,175.4484784
2015,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,0,9232,4.187561344
2015,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,9781114,4436.635061
2015,"halibut, Pacific",HAL,State managed groundfish,1,NA,NA
2015,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,348935,158.2741245
2015,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,17847,8.095256424
2015,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,248,0.112490816
2015,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,122861,55.72876671
2015,"halibut, Pacific",TRW,Rockfish Pilot Program,0,58591,26.57640887
2015,"halibut, Pacific",TRW,Test fishery - special study,1,NA,NA
2016,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2016,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,0,0
2016,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,0,5171,2.345524232
2016,"halibut, Pacific",HAL,Forfeited catch - trip/season limit overage -stat ,1,NA,NA
2016,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,9771830,4432.423913
2016,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,356631,161.7649686
2016,"halibut, Pacific",HAL,Test fishery - special study,1,NA,NA
2016,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,6790,3.07988968
2016,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,1192,0.540681664
2016,"halibut, Pacific",POT,"IFQ Fisheries (groundfish, crab)",1,NA,NA
2016,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,170141,77.17459647
2016,"halibut, Pacific",TRW,Rockfish Pilot Program,0,79491,36.05648167
2016,"halibut, Pacific",TRW,Test fishery - special study,1,NA,NA
2017,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2017,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,6980,3.16607216
2017,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,1,NA,NA
2017,"halibut, Pacific",HAL,Forfeited catch - trip limit overage,1,NA,NA
2017,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,9668754,4385.669464
2017,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,312524,141.7583862
2017,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,7805,3.54028556
2017,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,223,0.101151016
2017,"halibut, Pacific",POT,"IFQ Fisheries (groundfish, crab)",0,29509,13.38504633
2017,"halibut, Pacific",POT,State managed groundfish,1,NA,NA
2017,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,265664,120.5030651
2017,"halibut, Pacific",TRW,Rockfish Pilot Program,0,88763,40.2621867
2018,"halibut, Pacific",HAL,Confiscated ,1,NA,NA
2018,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,13671,6.201056232
2018,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,1,NA,NA
2018,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,8609064,3905.002558
2018,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,314780,142.7816898
2018,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",1,NA,NA
2018,"halibut, Pacific",JIG,Interim Value - Yet to be determined overage,1,NA,NA
2018,"halibut, Pacific",POT,Commissioners Permit Fishery,1,NA,NA
2018,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,24,0.010886208
2018,"halibut, Pacific",POT,"IFQ Fisheries (groundfish, crab)",0,68578,31.10643218
2018,"halibut, Pacific",TRW,Exploratory (Shellfish),0,124977,56.68856738
2018,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,136888,62.0913017
2018,"halibut, Pacific",TRW,Rockfish Pilot Program,0,57289,25.98583209
2019,"halibut, Pacific",HAL,Exploratory (Shellfish),1,NA,NA
2019,"halibut, Pacific",HAL,Federally managed (Groundfish) ,0,122573,55.59813222
2019,"halibut, Pacific",HAL,Forfeited catch - IFQ beyond allowable overage,1,NA,NA
2019,"halibut, Pacific",HAL,"IFQ Fisheries (groundfish, crab)",0,8230139,3733.125209
2019,"halibut, Pacific",HAL,Test fishery - long term stock assessment,0,415836,188.6198829
2019,"halibut, Pacific",JIG,"IFQ Fisheries (groundfish, crab)",0,8918,4.045133456
2019,"halibut, Pacific",POT,Federally managed (Groundfish) ,0,2615,1.18614308
2019,"halibut, Pacific",POT,"IFQ Fisheries (groundfish, crab)",0,68614,31.12276149
2019,"halibut, Pacific",TRW,Exploratory (Shellfish),0,23547,10.68073082
2019,"halibut, Pacific",TRW,Federally managed (Groundfish) ,0,190029,86.19563417
2019,"halibut, Pacific",TRW,Rockfish Pilot Program,0,69347,31.45524442
