"year","species_group_code","species_group_name","species_name","retained_or_discarded","conf_flag","catch_mt"
"1992","SRSN","Shortraker/Rougheye/Sharpchin/Northern Rockfish","rockfish, dark","D",1,NA
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D",0,310.7
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R",0,953.7
"1992","USKT","Skate","skate, other","D",1,NA
"1992","USMN","Unspecified Salmon",NA,"D",1,NA
"1992","YSOL","Yellowfin Sole","sole, yellowfin","D",1,NA
"1992","YSOL","Yellowfin Sole","sole, yellowfin","R",1,NA
"1992",NA,NA,NA,"0",1,NA
"1992",NA,NA,NA,"9",1,NA
"1993","AMCK","Atka Mackerel","greenling, atka mackerel","D",0,148.98
"1993","AMCK","Atka Mackerel","greenling, atka mackerel","R",0,2007.48
"1993","ARTH","Arrowtooth Flounder","flounder, arrowtooth","D",0,16768.77
"1993","ARTH","Arrowtooth Flounder","flounder, arrowtooth","R",0,1528.39
"1993","DEM1","Demersal Shelf Rockfish","rockfish, bocaccio","D",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, bocaccio","R",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, canary","D",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, canary","R",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, china","R",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, quillback","D",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, quillback","R",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, redbanded","D",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, redbanded","R",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, rosethorn","R",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, tiger","D",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, tiger","R",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D",0,30.91
"1993","DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R",0,55.25
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","D",1,NA
"1993","DEM1","Demersal Shelf Rockfish","rockfish, yelloweye (red snapper)","R",1,NA
"1993","DFL1","Deep Water Flatfish","flatfish, deep water","D",0,320.59
"1993","DFL1","Deep Water Flatfish","flatfish, deep water","R",0,1570.35
"1993","DFL1","Deep Water Flatfish","sole, dover","D",0,448.62
"1993","DFL1","Deep Water Flatfish","sole, dover","R",0,1403.04
"1993","DFL1","Deep Water Flatfish","sole, rex","D",0,273.34
"1993","DFL1","Deep Water Flatfish","sole, rex","R",0,2557.68
"1993","DFL1","Deep Water Flatfish","turbot, Greenland","D",1,NA
"1993","DFL1","Deep Water Flatfish","turbot, Greenland","R",0,15.55
"1993","FLOU","Flounder","flounder, general","D",1,NA
"1993","FSOL","Flathead Sole","sole, flathead","D",0,920.85
"1993","FSOL","Flathead Sole","sole, flathead","R",0,1902.57
"1993","GTRB","Greenland Turbot","turbot, Greenland","D",1,NA
"1993","NORK","Northern Rockfish","rockfish, northern","D",0,1146.99
"1993","NORK","Northern Rockfish","rockfish, northern","R",0,3532.54
"1993","OTHR","Other","greenling, atka mackerel","D",0,259.36
"1993","OTHR","Other","greenling, atka mackerel","R",0,2729.87
"1993","OTHR","Other","groundfish, general","D",0,4324.73
"1993","OTHR","Other","groundfish, general","R",0,1834.83
"1993","OTHR","Other","squid, majestic","D",0,20.13
"1993","OTHR","Other","squid, majestic","R",1,NA
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","D",0,5637.57
"1993","PCOD","Pacific Cod","cod, Pacific (gray)","R",0,49140.3
"1993","PELS","Pelagic Shelf Rockfish","rockfish, black","D",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, black","R",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, blue","R",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, dusky","D",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, dusky","R",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D",0,413.78
"1993","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R",0,1699.57
"1993","PELS","Pelagic Shelf Rockfish","rockfish, widow","R",1,NA
"1993","PELS","Pelagic Shelf Rockfish","rockfish, yellowtail","R",1,NA
"1993","PLCK","Pollock","pollock, walleye","D",0,8185.7
"1993","PLCK","Pollock","pollock, walleye","R",0,100059.55
"1993","POPA","Pacific Ocean Perch","perch, Pacific ocean","D",0,1251.19
"1993","POPA","Pacific Ocean Perch","perch, Pacific ocean","R",0,365.85
"1993","ROCK","Other Rockfish","rockfish, other","D",1,NA
"1993","RSOL","Rock Sole","sole, rock","D",1,NA
"1993","SABL","Sablefish","sablefish (blackcod)","D",0,656.93
"1993","SABL","Sablefish","sablefish (blackcod)","R",0,12037.5
"1993","SCNO","Sharpchin/Northern Rockfish","rockfish, dusky","D",1,NA
"1993","SFL1","Shallow Water Flatfish","flatfish, shallow water","D",0,907.07
"1993","SFL1","Shallow Water Flatfish","flatfish, shallow water","R",0,213.35
"1993","SFL1","Shallow Water Flatfish","flounder, Alaska plaice","D",1,NA
"1993","SFL1","Shallow Water Flatfish","flounder, Alaska plaice","R",1,NA
"1993","SFL1","Shallow Water Flatfish","flounder, general","D",0,34.15
"1993","SFL1","Shallow Water Flatfish","flounder, general","R",1,NA
"1993","SFL1","Shallow Water Flatfish","flounder, starry","D",1,NA
"1993","SFL1","Shallow Water Flatfish","flounder, starry","R",1,NA
"1993","SFL1","Shallow Water Flatfish","sole, English","D",1,NA
"1993","SFL1","Shallow Water Flatfish","sole, English","R",1,NA
"1993","SFL1","Shallow Water Flatfish","sole, butter","D",0,76.62
"1993","SFL1","Shallow Water Flatfish","sole, butter","R",0,173.85
"1993","SFL1","Shallow Water Flatfish","sole, petrale","D",1,NA
