"year","model","race_group","tot_bio_tons","tot_bio_tkm2"
1990,"WGOA","Arrowtooth_flounder",1904324.78102564,8.11147441499553
1990,"WGOA","Atka_mackerel",43518.5352834349,0.185367269830697
1990,"WGOA","Big_skate",8816.40976089658,0.0375535113128724
1990,"WGOA","Black_rockfish",734.481447101778,0.00312852488494438
1990,"WGOA","Chinook_salmon",601.167510805092,0.00256067396255576
1990,"WGOA","Chum_salmon",710.370566620556,0.00302582455142191
1990,"WGOA","Deep_water_flatfish",90207.9084779636,0.384240728755926
1990,"WGOA","Demersal_shelf_rockfish",796.97006949706,0.00339469527081451
1990,"WGOA","Eulachon",23060.2249328089,0.0982250645532103
1990,"WGOA","Flathead_sole",223486.905514173,0.951942827309316
1990,"WGOA","Gelatinous_carnivores",44152.8813702259,0.188069267990111
1990,"WGOA","Gelatinous_filter_feeders",340.699643639575,0.00145121067063576
1990,"WGOA","Infauna",572.159957556262,0.00243711624363936
1990,"WGOA","King_crab",783.062270588811,0.0033354549793804
1990,"WGOA","Large_sculpins",25356.1499722841,0.108004560888085
1990,"WGOA","Lingcod",1033.27555920767,0.00440123887777122
1990,"WGOA","Longnose_skate",9773.12287492844,0.0416286323343929
1990,"WGOA","MISC_NA",205.679426700094,0.000876091843151988
1990,"WGOA","MISC_SHELLS",1542.42533878327,0.0065699631687001
1990,"WGOA","Miscellaneous_deep_sea_fish",162.079872771066,0.000690379474272321
1990,"WGOA","Motile_epifauna",13624.2241707833,0.058032404391625
1990,"WGOA","Octopus",957.605174466411,0.00407892075435164
1990,"WGOA","Other_skates",11016.6641506406,0.0469254983639876
1990,"WGOA","POP",88737.0282331401,0.37797551202804
1990,"WGOA","Pacific_capelin",128.207543332478,0.000546100233485765
1990,"WGOA","Pacific_cod",401414.886675911,1.70982734432323
1990,"WGOA","Pacific_dogfish",13093.7345459116,0.0557727829959247
1990,"WGOA","Pacific_halibut",283787.482759242,1.20879323140341
1990,"WGOA","Pacific_herring",6976.48085820788,0.0297163312434453
1990,"WGOA","Pacific_sandlance",23.3387533942071,9.94114569748133e-05
1990,"WGOA","Pandalid_shrimp",7470.58101429725,0.0318209516393452
1990,"WGOA","Pelagic_shelf_rockfish",28966.8401628653,0.123384301462379
1990,"WGOA","Pink_salmon",0.792306156476015,3.374829325929e-06
1990,"WGOA","Rex_sole",107267.931229138,0.456907922631785
1990,"WGOA","Sablefish",214550.161014129,0.913876749984826
1990,"WGOA","Salmon_shark",13091.1464560131,0.055761759022911
1990,"WGOA","Sessile_epifauna",62768.7509568247,0.267363593920829
1990,"WGOA","Shallow_water_flatfish",204774.772335413,0.872238466455621
1990,"WGOA","Sharks_demersal",974.398091054016,0.00415045020910156
1990,"WGOA","Shelf_demersals",14429.7536487583,0.0614635584763813
1990,"WGOA","Shelf_forage_fish",314.940860060564,0.00134149109126337
1990,"WGOA","Slope_demersals",42076.9031874937,0.179226635639209
1990,"WGOA","Slope_forage_fish",25.3891909936388,0.000108145299170774
1990,"WGOA","Slope_rockfish",218257.591614674,0.929668556488285
1990,"WGOA","Sockeye_salmon",20.0505122615337,8.54051886723808e-05
1990,"WGOA","Squid",3085.15738034634,0.0131412327383755
1990,"WGOA","Tanner_crab",1072.1438832307,0.00456679856538753
1990,"WGOA","Thornyheads",13349.8819496794,0.0568638432671729
1990,"WGOA","Walleye_pollock",862086.151976055,3.67205732706451
1993,"WGOA","Arrowtooth_flounder",1552989.07933241,6.61495943826752
1993,"WGOA","Atka_mackerel",22770.7340381515,0.0969919776298113
1993,"WGOA","Big_skate",24246.984232067,0.103280067664342
1993,"WGOA","Black_rockfish",117.980883555394,0.000502539759999721
1993,"WGOA","Chinook_salmon",2157.36550550966,0.00918930178092342
1993,"WGOA","Chum_salmon",3365.81826451732,0.01433670821815
1993,"WGOA","Coho_salmon",164.294137065473,0.000699811136534492
1993,"WGOA","Deep_water_flatfish",60330.7863891025,0.256979079990861
1993,"WGOA","Demersal_shelf_rockfish",1145.53223752677,0.00487939637651854
1993,"WGOA","Eulachon",24416.4150858914,0.104001758654031
1993,"WGOA","Flathead_sole",166953.888860979,0.711140353511793
1993,"WGOA","Gelatinous_carnivores",7297.42130944311,0.0310833776028008
1993,"WGOA","Gelatinous_filter_feeders",25.3447808873355,0.000107956134252775
1993,"WGOA","Infauna",2409.10031697133,0.0102615666082683
1993,"WGOA","King_crab",892.306551624045,0.00380078116713531
1993,"WGOA","Large_sculpins",23568.1501262901,0.100388572717734
1993,"WGOA","Lingcod",2889.0174028788,0.0123057741943089
1993,"WGOA","Longnose_skate",14612.2166055611,0.0622407597293069
1993,"WGOA","MISC_NA",78.1860445978429,0.000333033580555272
1993,"WGOA","MISC_SHELLS",1919.02593691723,0.00817409401175429
1993,"WGOA","Miscellaneous_deep_sea_fish",22.8700176783087,9.7414876452001e-05
1993,"WGOA","Motile_epifauna",17059.2346731911,0.0726638370564433
1993,"WGOA","Octopus",1180.67294617114,0.00502907828053708
1993,"WGOA","Other_skates",5153.56263331097,0.0219516081829616
1993,"WGOA","POP",465006.400290334,1.98069549708466
1993,"WGOA","Pacific_capelin",39.5095803282064,0.000168291119861839
1993,"WGOA","Pacific_cod",395693.372785371,1.68545654686232
1993,"WGOA","Pacific_dogfish",8452.92008429137,0.0360052264607947
1993,"WGOA","Pacific_halibut",502807.923909522,2.14171114669447
1993,"WGOA","Pacific_herring",3338.86404569473,0.0142218966804679
1993,"WGOA","Pacific_sandlance",2.02864962750258,8.64103629508764e-06
1993,"WGOA","Pandalid_shrimp",5416.15631775738,0.0230701263969499
