"year","model","race_group","bio_tons","bio_tkm2","var_bio_tons"
1990,"WGOA","Arrowtooth flounder",1726495.43346808,7.35401002797452,771924652956.903
1990,"WGOA","Atka mackerel",30255.6385024149,0.128873940026929,20383985270.006
1990,"WGOA","Big skate",10815.2983507195,0.0460677804209195,105797512.629389
1990,"WGOA","Deep-water flatfish",72757.8146320493,0.309912026435427,2041544109.17763
1990,"WGOA","Demersal shelf rockfish",758.937375420729,0.00323269495027709,1908485.48411514
1990,"WGOA","Flathead sole",219996.370083711,0.937074886125681,10471534827.5
1990,"WGOA","Gelatinous carnivores",49177.7236027152,0.209472591422301,457433692.14443
1990,"WGOA","Infauna",604.736957717165,0.00257587802732005,890593.717019674
1990,"WGOA","King crab",686.797069563571,0.00292541320344442,3322762.63843699
1990,"WGOA","Large sculpins",25470.0919642395,0.10848989698293,415683115.931292
1990,"WGOA","Lingcod",843.486657385587,0.0035928327504557,3593424.98204065
1990,"WGOA","Longnose skate",9752.92321519591,0.0415425918518321,75039999.0958113
1990,"WGOA","MISC_NA",1547.74927285494,0.00659264047429406,15777617.2347825
1990,"WGOA","MISC_SHELLS",1262.30177867985,0.00537677642164081,2334975.84882213
1990,"WGOA","Miscellaneous deep-sea fish",126.465946994109,0.000538681901129492,131867.830865823
1990,"WGOA","Motile epifauna",15149.4386465675,0.0645290578621747,428188489.91453
1990,"WGOA","Nonpandalid shrimp",246.869347341956,0.001051540375236,139620.316578048
1990,"WGOA","Octopus",976.780220464715,0.00416059689309192,3067496.76608793
1990,"WGOA","Other gelatinous zooplankton",541.549235780745,0.00230672982584936,1319731.34043802
1990,"WGOA","Other skates",13311.8592715181,0.0567018856094414,133857286.263493
1990,"WGOA","Pacific capelin",136.127265585259,0.000579834302940401,58158.1005828354
1990,"WGOA","Pacific cod",391063.504364483,1.665735615005,23872135105.143
1990,"WGOA","Pacific dogfish",15696.2471651609,0.0668581896114784,302934803.045211
1990,"WGOA","Pacific halibut",299520.903757133,1.27580976301417,7424223300.43399
1990,"WGOA","Pacific herring",9529.910415876,0.0405926684806066,397586157.767765
1990,"WGOA","Pacific ocean perch",55616.8203491859,0.236899934192344,5378642310.31159
1990,"WGOA","Pacific sandlance",62.4722467838818,0.000266100633927486,6752.88038069646
1990,"WGOA","Pacific sleeper shark",1478.47595817656,0.00629757068091933,13349675.4206572
1990,"WGOA","Pandalid shrimp",7657.53435584661,0.0326172796931968,20849972.0746001
1990,"WGOA","Pelagic shelf rockfish",20195.9932249412,0.0860248650659807,815176199.124928
1990,"WGOA","Rex sole",81911.1667261593,0.348900744149235,1648167029.08129
1990,"WGOA","Sablefish",190565.882281203,0.811715676809342,23771077193.6824
1990,"WGOA","Salmon returning",1400.50131257153,0.0059654375547081,2490141.28860386
1990,"WGOA","Salmon shark",9811.93731780798,0.0417939625151934,250703279.199102
1990,"WGOA","Sessile epifauna",50040.0036560006,0.213145474672299,17977761451.9791
1990,"WGOA","Shallow-water flatfish",240893.0496884,1.02608432593379,14977476127.9549
1990,"WGOA","Shelf demersal fish",13288.3171328223,0.0566016078324529,33204607.9046415
1990,"WGOA","Shelf forage fish",20022.5491942389,0.0852860799430366,266011400.136252
1990,"WGOA","Slope demersal fish",21005.5206912531,0.0894730485883777,486686059.781734
1990,"WGOA","Slope forage fish",17.2943474197662,7.36653001721291e-05,300.943775612078
1990,"WGOA","Slope rockfish",166165.809541489,0.707783528404685,31413604748.1996
1990,"WGOA","Squid",3084.12396295681,0.0131368308953713,6616256.45532798
1990,"WGOA","Tanner crab",1486.74598478889,0.0063327968723472,589500.710194157
1990,"WGOA","Thornyheads",7619.87798722405,0.0324568823315246,18327603.8218557
1990,"WGOA","Walleye pollock",783207.648739109,3.33607421784139,189841950688.203
1993,"WGOA","Arrowtooth flounder",1331600.77454685,5.67195560407906,257534238484.923
1993,"WGOA","Atka mackerel",21751.8689491406,0.0926521201726221,3910749291.33258
1993,"WGOA","Big skate",23896.9862564368,0.101789250733894,349866446.604302
1993,"WGOA","Deep-water flatfish",45893.7924775414,0.195484681603626,250977251.551513
1993,"WGOA","Demersal shelf rockfish",1750.72265763021,0.00745720592758973,3024348.81215533
1993,"WGOA","Flathead sole",171735.888724486,0.731509289489435,8157927991.69829
1993,"WGOA","Gelatinous carnivores",6464.08448070395,0.0275337780635087,11712318.1898605
1993,"WGOA","Infauna",2875.55661810737,0.0122484379602972,52170673.7693943
1993,"WGOA","King crab",505.451986529539,0.00215297353560397,929788.918363916
1993,"WGOA","Large sculpins",23477.86681059,0.100004010791797,240501327.129532
1993,"WGOA","Lingcod",2763.01555140091,0.0117690691087643,15652989.43193
1993,"WGOA","Longnose skate",14263.5745131689,0.0607557181856546,93021990.8619897
1993,"WGOA","MISC_NA",209.682531563021,0.000893143074643442,198821.318435389
1993,"WGOA","MISC_SHELLS",2095.96594143752,0.00892777024070223,11386024.2469758
1993,"WGOA","Miscellaneous deep-sea fish",14.5832371886008,6.21173218569561e-05,890.52808662834
1993,"WGOA","Motile epifauna",16748.1330330908,0.0713386991286696,139072346.663943
1993,"WGOA","Nonpandalid shrimp",18.1494896234263,7.73077797403651e-05,247.510297913107
1993,"WGOA","Octopus",1154.39541353048,0.00491714908871661,2622075.57523195
1993,"WGOA","Other gelatinous zooplankton",19.3592508384183,8.24607595479252e-05,1714.70834276179
1993,"WGOA","Other skates",4724.5116458209,0.0201240648235353,15781524.3435929
1993,"WGOA","Pacific capelin",46.596891475532,0.000198479532896974,2229.66420429286
1993,"WGOA","Pacific cod",385313.771888424,1.64124462043447,64596054566.0352
1993,"WGOA","Pacific dogfish",7732.22573650115,0.0329354277471615,117363215.161573
1993,"WGOA","Pacific halibut",530410.956905419,2.25928630937334,64714524769.1829
1993,"WGOA","Pacific herring",3579.35028932829,0.0152462482153681,112219933.427354
1993,"WGOA","Pacific ocean perch",332041.692986586,1.4143321161435,108869120971.899
1993,"WGOA","Pacific sandlance",2.35732159370471,1.00410150546662e-05,21.3686769578604
1993,"WGOA","Pacific sleeper shark",7501.55886367592,0.0319529018377412,458820057.571325
1993,"WGOA","Pandalid shrimp",5031.77695108996,0.0214328618770313,6824519.05778352
1993,"WGOA","Pelagic shelf rockfish",48638.124756399,0.207174169283459,6054424622.64314
1993,"WGOA","Rex sole",66070.3655974011,0.281426826701314,767349306.764132
1993,"WGOA","Sablefish",208738.225648444,0.889120802107612,40378837313.3614
1993,"WGOA","Salmon returning",8179.36821929723,0.0348400318594414,25315854.6181881
1993,"WGOA","Salmon shark",5903.42636628263,0.0251456539388839,156281204.720495
1993,"WGOA","Sessile epifauna",48461.7051644291,0.206422709752592,4054684025.35012
1993,"WGOA","Shallow-water flatfish",318662.245327932,1.35734233769221,15658681453.6403
1993,"WGOA","Shelf demersal fish",15680.4463766229,0.0667908861277238,136751134.048525
1993,"WGOA","Shelf forage fish",27276.4622365229,0.116184134013099,325947881.958591
1993,"WGOA","Slope demersal fish",51167.6089144766,0.217948511053213,838305603.873193
1993,"WGOA","Slope forage fish",40.4208909054668,0.000172172848706213,1005.77931980372
1993,"WGOA","Slope rockfish",184154.48545386,0.78440632188861,38220726411.3994
1993,"WGOA","Squid",7190.68076289709,0.0306287160760604,12965560.2909029
1993,"WGOA","Tanner crab",5196.78094961965,0.0221356966695947,179517983.152898
1993,"WGOA","Thornyheads",16214.427356094,0.0690653789538591,32730940.4640737
1993,"WGOA","Walleye pollock",727966.932847418,3.10077630118027,336095736431.417
1996,"WGOA","Arrowtooth flounder",1379505.00566825,5.87600375226418,254255864977.919
1996,"WGOA","Atka mackerel",345946.920481071,1.47356145463662,2814768166980.33
1996,"WGOA","Big skate",39673.0996941558,0.16898763085958,1133624062.91179
1996,"WGOA","Deep-water flatfish",38602.2738306765,0.164426446401408,146416655.801523
1996,"WGOA","Demersal shelf rockfish",522.889852409573,0.00222725015288447,1059435.70848905
1996,"WGOA","Euphausiids",0.0108015523719585,4.60092294026583e-08,0.00291683834110405
1996,"WGOA","Flathead sole",189461.969090215,0.807013556827345,6762011068.20631
1996,"WGOA","Gelatinous carnivores",10033.9062408732,0.0427394394938618,75426736.8752387
1996,"WGOA","Infauna",1126.61792881668,0.00479883084866957,1106119.84691965
1996,"WGOA","King crab",282.652331166152,0.00120395805139828,181330.16468621
1996,"WGOA","Large sculpins",30645.7083824179,0.130535443297395,1627066663.89974
1996,"WGOA","Lingcod",12834.0633489656,0.0546667131220641,385566595.373301
1996,"WGOA","Longnose skate",20605.8158150624,0.0877705050364194,186893421.805752
1996,"WGOA","MISC_NA",43.2546906370034,0.000184243423142156,12633.6361299824
1996,"WGOA","MISC_SHELLS",499.997557082763,0.00212974038475346,642845.988973859
1996,"WGOA","Miscellaneous deep-sea fish",0.212955369490615,9.07083732969492e-07,0.167260226789321
1996,"WGOA","Motile epifauna",23841.2387488683,0.101551794137284,1042127138.1302
1996,"WGOA","Nonpandalid shrimp",49.2706060334291,0.000209868224282748,4979.62384976925
1996,"WGOA","Octopus",1943.7326172246,0.00827933215557801,15565407.5262611
1996,"WGOA","Other gelatinous zooplankton",42.0489667460613,0.000179107640322768,9541.58660052854
1996,"WGOA","Other skates",10435.6829534195,0.0444508080360521,62211625.5416864
1996,"WGOA","Pacific capelin",723.405047455527,0.00308134494314241,4452427.01406811
1996,"WGOA","Pacific cod",525515.039127757,2.23843213986028,224361565134.439
1996,"WGOA","Pacific dogfish",3437.00412136518,0.0146399244879188,10152292.9864167
1996,"WGOA","Pacific halibut",521546.534145026,2.22152828661322,116494012998.855
1996,"WGOA","Pacific herring",38.4237993681079,0.000163666234145977,3519.63551388899
1996,"WGOA","Pacific ocean perch",559377.026480831,2.38266732851724,665355612714.295
1996,"WGOA","Pacific sandlance",5.0601974024135,2.15539188343689e-05,124.431134177028
1996,"WGOA","Pacific sleeper shark",18097.8470281042,0.0770878080239581,965766371.040832
1996,"WGOA","Pandalid shrimp",6068.52277443479,0.0258488823503803,9129798.00811602
1996,"WGOA","Pelagic shelf rockfish",59185.6754597877,0.252101478177337,29815582409.4019
1996,"WGOA","Rex sole",53196.5472196923,0.226590776971476,481022581.270181
1996,"WGOA","Sablefish",110770.38083485,0.471826612263729,9255745772.9112
1996,"WGOA","Salmon returning",4493.44105056952,0.0191398192578027,16450885.282983
1996,"WGOA","Sessile epifauna",76419.2833193008,0.325508058096555,6998760197.56577
1996,"WGOA","Shallow-water flatfish",305092.601570596,1.29954241865794,16895801644.4295
1996,"WGOA","Shelf demersal fish",11571.4294611909,0.0492885220812089,40142223.2621153
1996,"WGOA","Shelf forage fish",28172.2591959045,0.119999782577594,414185098.248068
1996,"WGOA","Slope demersal fish",51202.2686256061,0.218096144147557,1401576951.20908
1996,"WGOA","Slope forage fish",52.5209348846007,0.000223713005162195,3613.12808170224
1996,"WGOA","Slope rockfish",150404.132820472,0.640646641496613,21189142089.7164
1996,"WGOA","Squid",4190.55599594442,0.0178496798888486,3800995.07205953
1996,"WGOA","Tanner crab",1452.76502731918,0.00618805493029036,1621303.59725991
1996,"WGOA","Thornyheads",27073.1907122375,0.115318298634088,66266945.7119531
1996,"WGOA","Walleye pollock",647552.607790975,2.75825135648928,276470218488.815
1999,"WGOA","Arrowtooth flounder",988639.718425893,4.21111244340418,144110265423.785
1999,"WGOA","Atka mackerel",4799.3500809141,0.0204428392561139,99217839.9458078
1999,"WGOA","Big skate",45044.7964358407,0.191868381621971,1062373867.41589
1999,"WGOA","Deep-water flatfish",35693.8130535835,0.152037853123899,188244169.531508
1999,"WGOA","Demersal shelf rockfish",2323.33080254479,0.0098962312259903,25953310.4625772
1999,"WGOA","Euphausiids",6.58271068837857,2.80390665826144e-05,213.987766568199
1999,"WGOA","Flathead sole",188992.694926918,0.805014682786985,7534016986.69142
1999,"WGOA","Gelatinous carnivores",2248.81925946186,0.0095788491904462,5229196.97227533
1999,"WGOA","Infauna",1285.28052008078,0.00547465440696117,3594440.33263001
1999,"WGOA","King crab",172.745277471336,0.00073580878245221,80906.1020717314
1999,"WGOA","Large sculpins",29778.7075154331,0.126842451733982,236046733.112486
1999,"WGOA","Lingcod",6192.34057321123,0.0263762844599907,210817586.371331
1999,"WGOA","Longnose skate",31619.7246577937,0.134684267162012,549989142.912933
1999,"WGOA","MISC_NA",123.37310728632,0.000525507945505234,86989.4325518449
1999,"WGOA","MISC_SHELLS",7992.43589551427,0.034043793330799,1443642701.1125
1999,"WGOA","Miscellaneous deep-sea fish",23.8354752358983,0.000101527244444678,1525.31740694999
1999,"WGOA","Motile epifauna",34811.0574213842,0.14827775411315,473002494.38161
1999,"WGOA","Nonpandalid shrimp",46.6738707492525,0.00019880742623507,4914.6307186888
1999,"WGOA","Octopus",908.050863532103,0.00386784408859514,1153752.92528116
1999,"WGOA","Other gelatinous zooplankton",53.9058808405019,0.000229612184650577,1468.37694269159
1999,"WGOA","Other skates",17225.0954575929,0.0733703213297836,83572158.59338
1999,"WGOA","Pacific capelin",135.349502439575,0.000576521419591927,25722.8051406879
1999,"WGOA","Pacific cod",284695.104813962,1.21265924898019,37862666831.8622
1999,"WGOA","Pacific dogfish",16397.9496429208,0.0698470924246961,95412658.7317931
1999,"WGOA","Pacific halibut",529175.206938335,2.25402263043516,116852602662.819
