"year","Arrowtooth_flounder_35_D_HAL","Arrowtooth_flounder_35_D_POT","Arrowtooth_flounder_35_D_TRW","Arrowtooth_flounder_35_R_HAL","Arrowtooth_flounder_35_R_POT","Arrowtooth_flounder_35_R_TRW","Atka_mackerel_57_D_HAL","Atka_mackerel_57_D_POT","Atka_mackerel_57_D_TRW","Atka_mackerel_57_fed_ft_HAL","Atka_mackerel_57_fed_ft_POT","Atka_mackerel_57_fed_ft_TRW","Atka_mackerel_57_R_POT","Atka_mackerel_57_R_TRW","Atka_mackerel_57_state_ft_POT","Atka_mackerel_57_state_ft_TRW","Big_skate_30_D_HAL","Big_skate_30_D_POT","Big_skate_30_D_TRW","Big_skate_30_R_HAL","Big_skate_30_R_JIG","Big_skate_30_R_TRW","Deep-water_flatfish_42_D_HAL","Deep-water_flatfish_42_D_POT","Deep-water_flatfish_42_D_TRW","Deep-water_flatfish_42_R_HAL","Deep-water_flatfish_42_R_TRW","Demersal_shelf rockfish_46_D_HAL","Demersal_shelf rockfish_46_D_POT","Demersal_shelf rockfish_46_D_TRW","Demersal_shelf rockfish_46_R_HAL","Demersal_shelf rockfish_46_R_JIG","Demersal_shelf rockfish_46_R_POT","Demersal_shelf rockfish_46_R_TRW","Flathead_sole_39_D_HAL","Flathead_sole_39_D_POT","Flathead_sole_39_D_TRW","Flathead_sole_39_R_HAL","Flathead_sole_39_R_POT","Flathead_sole_39_R_TRW","Gelatinous_carnivores_71_fed_ft_POT","Gelatinous_carnivores_71_fed_ft_TRW","Gelatinous_carnivores_71_state_ft_OTH","Infauna_70_fed_ft_TRW","Infauna_70_state_ft_OTH","King_crab_64_fed_ft_TRW","King_crab_64_state_ft_POT","Large_sculpins_55_D_HAL","Large_sculpins_55_D_POT","Large_sculpins_55_D_TRW","Lingcod_56_fed_ft_HAL","Lingcod_56_fed_ft_JIG","Lingcod_56_state_ft_HAL","Lingcod_56_state_ft_JIG","Lingcod_56_state_ft_POT","Lingcod_56_state_ft_TRW","Longnose_skate_31_D_HAL","Longnose_skate_31_D_POT","Longnose_skate_31_D_TRW","Longnose_skate_31_R_HAL","Longnose_skate_31_R_JIG","Longnose_skate_31_R_TRW","Motile_epifauna_67_fed_ft_TRW","Motile_epifauna_67_state_ft_OTH","Motile_epifauna_67_state_ft_POT","Motile_epifauna_67_state_ft_TRW","Octopus_62_D_HAL","Octopus_62_D_POT","Octopus_62_D_TRW","Octopus_62_fed_ft_HAL","Octopus_62_fed_ft_JIG","Octopus_62_fed_ft_POT","Octopus_62_fed_ft_TRW","Octopus_62_R_HAL","Octopus_62_R_JIG","Octopus_62_R_POT","Octopus_62_R_TRW","Octopus_62_state_ft_HAL","Octopus_62_state_ft_POT","Octopus_62_state_ft_TRW","Other_skates_32_D_HAL","Other_skates_32_D_POT","Other_skates_32_D_TRW","Other_skates_32_R_HAL","Other_skates_32_R_TRW","Pacific_cod_51_D_HAL","Pacific_cod_51_D_POT","Pacific_cod_51_D_TRW","Pacific_cod_51_R_HAL","Pacific_cod_51_R_JIG","Pacific_cod_51_R_POT","Pacific_cod_51_R_TRW","Pacific_dogfish_27_D_HAL","Pacific_dogfish_27_D_POT","Pacific_dogfish_27_D_TRW","Pacific_dogfish_27_fed_ft_HAL","Pacific_dogfish_27_fed_ft_POT","Pacific_dogfish_27_fed_ft_TRW","Pacific_dogfish_27_R_HAL","Pacific_dogfish_27_R_TRW","Pacific_dogfish_27_state_ft_HAL","Pacific_halibut_33_D_HAL","Pacific_halibut_33_D_POT","Pacific_halibut_33_fed_ft_HAL","Pacific_halibut_33_fed_ft_POT","Pacific_halibut_33_fed_ft_TRW","Pacific_halibut_33_R_HAL","Pacific_halibut_33_R_JIG","Pacific_halibut_33_R_POT","Pacific_halibut_33_state_ft_HAL","Pacific_halibut_33_state_ft_JIG","Pacific_halibut_33_state_ft_OTH","Pacific_halibut_33_state_ft_POT","Pacific_halibut_33_state_ft_TRW","Pacific_herring_21_fed_ft_TRW","Pacific_herring_21_state_ft_OTH","Pacific_herring_21_state_ft_TRW","Pacific_ocean perch_43_D_HAL","Pacific_ocean perch_43_D_POT","Pacific_ocean perch_43_D_TRW","Pacific_ocean perch_43_R_HAL","Pacific_ocean perch_43_R_POT","Pacific_ocean perch_43_R_TRW","Pacific_sleeper shark_29_D_HAL","Pacific_sleeper shark_29_D_POT","Pacific_sleeper shark_29_D_TRW","Pacific_sleeper shark_29_R_TRW","Pelagic_shelf rockfish_47_D_HAL","Pelagic_shelf rockfish_47_D_POT","Pelagic_shelf rockfish_47_D_TRW","Pelagic_shelf rockfish_47_R_HAL","Pelagic_shelf rockfish_47_R_JIG","Pelagic_shelf rockfish_47_R_POT","Pelagic_shelf rockfish_47_R_TRW","Rex_sole_37_D_HAL","Rex_sole_37_D_POT","Rex_sole_37_D_TRW","Rex_sole_37_R_TRW","Sablefish_49_D_HAL","Sablefish_49_D_POT","Sablefish_49_D_TRW","Sablefish_49_R_HAL","Sablefish_49_R_POT","Sablefish_49_R_TRW","Salmon_returning_18_fed_ft_HAL","Salmon_returning_18_fed_ft_TRW","Salmon_returning_18_state_ft_OTH","Salmon_returning_18_state_ft_TRW","Salmon_shark_28_D_HAL","Salmon_shark_28_D_TRW","Salmon_shark_28_R_TRW","Shallow-water_flatfish_41_D_HAL","Shallow-water_flatfish_41_D_POT","Shallow-water_flatfish_41_D_TRW","Shallow-water_flatfish_41_R_HAL","Shallow-water_flatfish_41_R_JIG","Shallow-water_flatfish_41_R_POT","Shallow-water_flatfish_41_R_TRW","Shelf_demersal fish_58_D_HAL","Shelf_demersal fish_58_D_POT","Shelf_demersal fish_58_D_TRW","Shelf_demersal fish_58_fed_ft_HAL","Shelf_demersal fish_58_fed_ft_JIG","Shelf_demersal fish_58_fed_ft_POT","Shelf_demersal fish_58_fed_ft_TRW","Shelf_demersal fish_58_R_HAL","Shelf_demersal fish_58_R_POT","Shelf_demersal fish_58_R_TRW","Shelf_demersal fish_58_state_ft_HAL","Shelf_demersal fish_58_state_ft_POT","Shelf_demersal fish_58_state_ft_TRW","Shelf_forage fish_25_fed_ft_TRW","Shelf_forage fish_25_state_ft_OTH","Shelf_forage fish_25_state_ft_TRW","Slope_demersal fish_59_D_HAL","Slope_demersal fish_59_D_TRW","Slope_demersal fish_59_fed_ft_HAL","Slope_demersal fish_59_fed_ft_POT","Slope_demersal fish_59_fed_ft_TRW","Slope_demersal fish_59_state_ft_HAL","Slope_demersal fish_59_state_ft_TRW","Slope_rockfish_45_D_HAL","Slope_rockfish_45_D_POT","Slope_rockfish_45_D_TRW","Slope_rockfish_45_R_HAL","Slope_rockfish_45_R_JIG","Slope_rockfish_45_R_POT","Slope_rockfish_45_R_TRW","Squid_61_D_HAL","Squid_61_D_TRW","Squid_61_fed_ft_POT","Squid_61_fed_ft_TRW","Squid_61_R_TRW","Squid_61_state_ft_TRW","Tanner_crab_63_fed_ft_HAL","Tanner_crab_63_fed_ft_POT","Tanner_crab_63_fed_ft_TRW","Tanner_crab_63_state_ft_HAL","Tanner_crab_63_state_ft_POT","Tanner_crab_63_state_ft_TRW","Thornyheads_48_D_HAL","Thornyheads_48_D_POT","Thornyheads_48_D_TRW","Thornyheads_48_R_HAL","Thornyheads_48_R_POT","Thornyheads_48_R_TRW","Walleye_pollock_53_D_HAL","Walleye_pollock_53_D_POT","Walleye_pollock_53_D_TRW","Walleye_pollock_53_R_HAL","Walleye_pollock_53_R_JIG","Walleye_pollock_53_R_POT","Walleye_pollock_53_R_TRW"
1991,0.000781321213618493,NA,0.0625942096273358,NA,NA,0.00885879311152665,NA,NA,0.000353709390933215,NA,NA,0.00280379669249347,NA,0.00488250152277345,NA,0.00679450555652578,NA,NA,NA,NA,NA,NA,0.000169996890560508,NA,0.00598767298919363,NA,0.0365678603222742,1.5419412273341e-05,NA,0.000153555196810482,0.000401884405522024,NA,NA,0.000239299055667486,8.43382218265614e-06,NA,0.00148524720043958,NA,NA,0.00375407315275867,NA,NA,NA,NA,NA,NA,0.000209497140380544,NA,NA,NA,2.93869050854244e-06,NA,4.40127349011156e-06,0.000135508216629964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00288932012148112,1.08196363233647e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.73552296938693e-06,0.000273707817812403,1.11113800885125e-05,NA,NA,NA,NA,NA,0.00087946023538031,NA,0.00499870085062338,0.0284770135750461,NA,NA,0.240241684379113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00547702549314432,0.000111094480105977,NA,NA,0.000722133441382806,NA,0.0101104767835617,2.76673557411754e-06,1.02228147668559e-05,NA,0.00448589890488097,NA,NA,0.0141889687309653,NA,NA,NA,NA,3.23722467617104e-06,NA,0.00113004698235287,NA,NA,NA,0.00297066478112528,NA,NA,NA,NA,9.2431283516989e-05,NA,0.000783365776571864,0.0463340560295439,NA,0.00860237084112468,NA,NA,0.358287842033233,1.64207301986208e-05,NA,NA,NA,1.42693456120697e-05,NA,0.00919593302352525,NA,NA,NA,0.0130054223513326,NA,NA,NA,NA,NA,NA,4.69456291929514e-05,NA,NA,NA,NA,NA,0.00255173394357858,NA,NA,NA,NA,NA,0.00053204015947591,NA,NA,3.10716770272055e-05,0.000274897977799454,2.5642227040197e-05,NA,0.00571080508925795,6.67038663537349e-05,NA,NA,0.0296357270338077,NA,1.23525678432842e-05,NA,NA,NA,9.8926253380983e-05,NA,NA,NA,NA,0.00474953439764194,2.56000323722468e-06,0.00015985926591671,NA,0.00022818174460853,0.000596416051522987,NA,0.00446532549016267,6.98984959683774e-05,NA,0.0366802260945866,NA,NA,NA,0.337353824397599
1992,0.00409606890177153,NA,0.0812406663571426,3.13073702234963e-05,NA,0.00187592910477959,NA,NA,0.000354007556363915,NA,NA,0.0195809025254612,NA,0.0268220676494767,NA,0.026058686415157,NA,NA,NA,NA,NA,NA,0.000138732115398541,NA,0.00630325980005878,9.67333847313743e-05,0.0291952515025408,2.39810196405829e-05,NA,0.000140904463536498,0.000521917288909524,NA,NA,0.000217234813795689,2.38958295175257e-05,NA,0.00253994351894841,NA,NA,0.0072380510203647,NA,NA,NA,NA,NA,NA,0.000116144931784009,NA,NA,NA,2.58724553582458e-05,NA,5.90056595206352e-05,1.79683246084449e-05,6.37972127495538e-06,2.11755739471566e-05,NA,NA,NA,NA,NA,NA,NA,NA,0.00335684433549574,NA,NA,NA,NA,NA,NA,8.98416230422245e-07,NA,NA,NA,NA,NA,9.28556645894475e-06,0.000400979586316762,1.9038695773292e-05,NA,NA,NA,NA,NA,0.00223287572038898,NA,0.0129827617785994,0.0603169498528341,NA,0.041512039494141,0.21931366577359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00399739385481047,NA,NA,1.19402415139989e-06,8.22562851568989e-05,NA,0.013158318104179,1.32482582623771e-05,1.49082715349982e-06,NA,0.00707759542358659,NA,NA,0.0112670752952903,NA,NA,NA,NA,2.16382912565117e-05,NA,0.00126260281382976,0.000461261921292845,NA,NA,0.00834978212626028,NA,NA,NA,NA,0.00105657050121609,NA,0.00195081122294681,0.0425026302450494,NA,0.00805642993751304,NA,NA,0.350199692462378,1.04332207403874e-07,NA,NA,NA,4.68971627429516e-05,NA,0.010922310867278,2.56848221017255e-05,NA,NA,0.024503064714677,NA,NA,NA,NA,NA,NA,7.2785239192568e-05,NA,NA,NA,1.8528627203762e-05,1.88551483713778e-05,0.0017522401026115,NA,NA,0.000677212629733909,NA,NA,NA,NA,NA,0.000116738079686841,0.00149440430465692,0.000586619187371416,NA,0.0107719928951437,0.000320016697264119,NA,NA,0.0304632212941232,NA,4.86009652040942e-05,NA,9.02666801834995e-06,3.64613726684528e-05,5.70252796578765e-05,NA,NA,NA,NA,0.00544543215334222,1.62874168224936e-06,0.000809135788796647,NA,0.00051429277289591,0.00145044703517074,NA,0.0026106087260243,0.000287346285071709,NA,0.0548719379475144,NA,NA,NA,0.330688889930101
1993,0.00554911423569551,NA,0.065866021493468,0.000173873041159608,NA,0.00633631356780495,NA,NA,0.00173792110542704,NA,NA,NA,NA,0.0201787714732354,NA,0.00685896547244313,NA,NA,NA,NA,NA,NA,0.000167952327607137,NA,0.00427279581205355,6.81520984457062e-05,0.023557709919112,3.78244146373669e-05,NA,9.38369205474317e-05,0.000127870374708756,NA,NA,0.000106743224190587,3.06684443005678e-06,NA,0.00391900123099728,NA,NA,0.00810375305087128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000151030530606681,3.47387609096601e-06,1.79683246084449e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00320048899812156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53213778650503e-06,0.00027521677065541,1.21740229417001e-05,NA,NA,NA,NA,NA,0.00225310837461505,NA,0.0214166265563171,0.0323506084704539,NA,NA,0.139274478316984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00516502389157001,NA,NA,NA,7.36063723063948e-05,NA,0.0198422044733334,1.99274516141399e-05,NA,NA,0.00532928112314658,9.626483905456e-06,NA,0.00154871384211714,NA,NA,NA,NA,2.81127406088538e-06,NA,0.00175968718186813,1.03080048899131e-05,NA,NA,0.00722608180807517,NA,NA,NA,NA,0.0011169702984636,NA,0.00168122707853251,0.0443556006116651,NA,0.00691816210828517,NA,NA,0.461442710724585,3.85179053111782e-05,NA,NA,NA,4.13172096827094e-06,NA,0.0117921872138144,NA,NA,NA,0.026328263101176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76502113992904e-06,6.52655919648676e-06,0.00109984501325132,NA,NA,0.000102809729989905,NA,NA,NA,NA,NA,0.000544333971265371,0.000553092080726161,0.000664695935153278,NA,0.01185782620363,0.000531458582691923,NA,NA,0.0215867086370006,NA,8.57438588570041e-05,NA,NA,NA,7.34711268523527e-05,NA,NA,NA,8.69435061698947e-08,0.00365656758217652,9.60242723698614e-07,0.000725905038569828,NA,0.000510544407481397,0.000966098590529414,NA,0.00188244614919346,0.000105933918021545,NA,0.0347037726445996,NA,NA,NA,0.42619741107216
