"year","model","race_group","bio_tkm2","cv_tkm2"
1990,"WGOA","Arrowtooth flounder adult",7.35137813727573,0.508887779294508
1990,"WGOA","Arrowtooth flounder juvenile",0.00263189069878656,0.508887779294508
1990,"WGOA","Atka mackerel",0.128873940026929,4.71887231147563
1990,"WGOA","Big skate",0.0460677804209195,0.951040965373581
1990,"WGOA","Deep-water flatfish",0.309912026435427,0.621011636118763
1990,"WGOA","Demersal shelf rockfish",0.00323269495027709,1.82028122420949
1990,"WGOA","Flathead sole adult",0.93299881501314,0.465146390995848
1990,"WGOA","Flathead sole juvenile",0.00407607111254064,0.465146390995848
1990,"WGOA","Gelatinous carnivores",0.209472591422301,0.43490625400228
1990,"WGOA","Infauna",0.00257587802732005,1.56053424235535
1990,"WGOA","King crab",0.00292541320344442,2.65412410212366
1990,"WGOA","Large sculpins",0.10848989698293,0.800480357245203
1990,"WGOA","Lingcod",0.0035928327504557,2.24737773653918
1990,"WGOA","Longnose skate",0.0415425918518321,0.888201710169994
1990,"WGOA","Miscellaneous deep-sea fish",0.000538681901129492,2.87141411411009
1990,"WGOA","Motile epifauna",0.0645290578621747,1.36590644371985
1990,"WGOA","Nonpandalid shrimp",0.001051540375236,1.51358613338059
1990,"WGOA","Octopus",0.00416059689309192,1.79306155970138
1990,"WGOA","Other gelatinous zooplankton",0.00230672982584936,2.12131331444806
1990,"WGOA","Other skates",0.0567018856094414,0.869125095909052
1990,"WGOA","Pacific capelin",0.000579834302940401,1.77157680813251
1990,"WGOA","Pacific cod adult",1.65420292939831,0.39509209839087
1990,"WGOA","Pacific cod juvenile",0.0115326856066855,0.39509209839087
1990,"WGOA","Pacific dogfish",0.0668581896114784,1.10886520631605
1990,"WGOA","Pacific halibut adult",1.2734810964156,0.287672518449913
1990,"WGOA","Pacific halibut juvenile",0.002328666598567,0.287672518449913
1990,"WGOA","Pacific herring",0.0405926684806066,2.09231375292637
1990,"WGOA","Pacific ocean perch adult",0.235487478267877,1.31865193256283
1990,"WGOA","Pacific ocean perch juvenile",0.00141245592446681,1.31865193256283
1990,"WGOA","Pacific sandlance",0.000266100633927486,1.31539868382014
1990,"WGOA","Pacific sleeper shark",0.00629757068091933,2.47127506112466
1990,"WGOA","Pandalid shrimp",0.0326172796931968,0.596298593344684
1990,"WGOA","Pelagic shelf rockfish",0.0860248650659807,1.41371064822301
1990,"WGOA","Rex sole adult",0.348847758656304,0.495629900829272
1990,"WGOA","Rex sole juvenile",5.29854929305012e-05,0.495629900829272
1990,"WGOA","Sablefish adult",0.811694919163992,0.809057300864533
1990,"WGOA","Sablefish juvenile",2.07576453504625e-05,0.809057300864533
1990,"WGOA","Salmon returning",0.0059654375547081,1.12675235504115
1990,"WGOA","Salmon shark",0.0417939625151934,1.61370907806258
1990,"WGOA","Sessile epifauna",0.213145474672299,2.67947971751293
1990,"WGOA","Shallow-water flatfish",1.02608432593379,0.508036655394875
1990,"WGOA","Shelf demersal fish",0.0566016078324529,0.433639858354331
1990,"WGOA","Shelf forage fish",0.0852860799430366,0.814574396193715
1990,"WGOA","Slope demersal fish",0.0894730485883777,1.05024591742629
1990,"WGOA","Slope forage fish",7.36653001721291e-05,1.00308677258754
1990,"WGOA","Slope rockfish",0.707783528404685,1.06663841265798
1990,"WGOA","Squid",0.0131368308953713,0.834015918003099
1990,"WGOA","Tanner crab",0.0063327968723472,0.516422780940685
1990,"WGOA","Thornyheads",0.0324568823315246,0.561829872471587
1990,"WGOA","Walleye pollock adult",3.21592388934161,0.556312955246953
1990,"WGOA","Walleye pollock juvenile",0.120150328499788,0.556312955246953
1993,"WGOA","Arrowtooth flounder adult",5.66630599990541,0.38110394873237
1993,"WGOA","Arrowtooth flounder juvenile",0.0056496041736535,0.38110394873237
1993,"WGOA","Atka mackerel",0.0926521201726221,2.87497061140402
1993,"WGOA","Big skate",0.101789250733894,0.782722851657762
1993,"WGOA","Deep-water flatfish",0.195484681603626,0.345193994908389
1993,"WGOA","Demersal shelf rockfish",0.00745720592758973,0.993341516484234
1993,"WGOA","Flathead sole adult",0.725801418435882,0.525931123127885
1993,"WGOA","Flathead sole juvenile",0.00570787105355295,0.525931123127885
1993,"WGOA","Gelatinous carnivores",0.0275337780635087,0.5294371445311
1993,"WGOA","Infauna",0.0122484379602972,2.51183611116814
1993,"WGOA","King crab",0.00215297353560397,1.90770964375699
1993,"WGOA","Large sculpins",0.100004010791797,0.660541493513801
1993,"WGOA","Lingcod",0.0117690691087643,1.43190866346322
1993,"WGOA","Longnose skate",0.0607557181856546,0.676183298777959
1993,"WGOA","Miscellaneous deep-sea fish",6.21173218569561e-05,2.04630267161511
1993,"WGOA","Motile epifauna",0.0713386991286696,0.704131850523065
1993,"WGOA","Nonpandalid shrimp",7.73077797403651e-05,0.866826579409955
1993,"WGOA","Octopus",0.00491714908871661,1.40271037726346
1993,"WGOA","Other gelatinous zooplankton",8.24607595479252e-05,2.1389793084126
1993,"WGOA","Other skates",0.0201240648235353,0.840848107271922
1993,"WGOA","Pacific capelin",0.000198479532896974,1.01335773157018
1993,"WGOA","Pacific cod adult",1.62436255161809,0.659611873272737
1993,"WGOA","Pacific cod juvenile",0.0168820688163743,0.659611873272737
1993,"WGOA","Pacific dogfish",0.0329354277471615,1.40107529346674
1993,"WGOA","Pacific halibut adult",2.25497828059221,0.479610183962763
1993,"WGOA","Pacific halibut juvenile",0.00430802878112521,0.479610183962763
1993,"WGOA","Pacific herring",0.0152462482153681,2.95958488820481
1993,"WGOA","Pacific ocean perch adult",1.41253240111041,0.993710179311811
