"year","model","race_group","bio_mt","bio_mt_km2","var_mt_km2","sd","se","cv"
1990,"WGOA","Arrowtooth flounder adult",1725877.54645738,7.35137813727573,48.6294688124047,6.97348326250266,1.13124836507477,0.948595369777412
1990,"WGOA","Arrowtooth flounder juvenile",617.887010699877,0.00263189069878656,6.233008217698e-06,0.00249659933062917,0.000405001891408774,0.948595369777412
1990,"WGOA","Atka mackerel",30255.6385024149,0.128873940026929,0.346118610135419,0.58831845979488,0.0954378566253867,4.56506924264089
1990,"WGOA","Big skate",10815.2983507195,0.0460677804209195,0.00573595125192031,0.075736063087015,0.0122860117848247,1.64401372054433
1990,"WGOA","Deep-water flatfish",72757.8146320493,0.309912026435427,0.178531927722114,0.422530386744095,0.0685434798085578,1.3633881576136
1990,"WGOA","Demersal shelf rockfish",758.937375420729,0.00323269495027709,0.000110552878724306,0.0105144129044044,0.00170566300370811,3.25252245143117
1990,"WGOA","Flathead sole adult",219039.433917521,0.93299881501314,2.8389595639843,1.68492123376267,0.273330317034377,1.80592001474186
1990,"WGOA","Flathead sole juvenile",956.936166189974,0.00407607111254064,5.41851808219205e-05,0.00736105840364825,0.00119412135526636,1.80592001474186
1990,"WGOA","Gelatinous carnivores",49177.7236027152,0.209472591422301,0.0845010768948515,0.290690689384527,0.047156256741439,1.38772661096501
1990,"WGOA","Infauna",604.736957717165,0.00257587802732005,1.74405663385772e-05,0.00417619040976069,0.000677467543184041,1.62126869574861
1990,"WGOA","King crab",686.797069563571,0.00292541320344442,0.000185253122988034,0.0136107723141648,0.00220795882749105,4.65259823745215
1990,"WGOA","Large sculpins",25470.0919642395,0.10848989698293,0.0191514497444752,0.138388763071556,0.0224496218139962,1.27559124784984
1990,"WGOA","Lingcod",843.486657385587,0.0035928327504557,7.37020861839692e-05,0.00858499191519533,0.00139266958887909,2.38947719292151
1990,"WGOA","Longnose skate",9752.92321519591,0.0415425918518321,0.00321401707174267,0.056692301697344,0.00919670574851709,1.36467897572558
1990,"WGOA","Miscellaneous deep-sea fish",126.465946994109,0.000538681901129492,1.32595236924055e-06,0.00115150005177618,0.000186797974831279,2.13762528379319
1990,"WGOA","Motile epifauna",15149.4386465675,0.0645290578621747,0.00398356967855451,0.0631155264459903,0.0102386903954848,0.978094652812018
1990,"WGOA","Nonpandalid shrimp",246.869347341956,0.001051540375236,7.87026995163087e-06,0.00280540014109055,0.000455095997728151,2.66789579093519
1990,"WGOA","Octopus",976.780220464715,0.00416059689309192,6.10541089090593e-05,0.00781371287603142,0.00126755160705756,1.87802689777637
1990,"WGOA","Other gelatinous zooplankton",541.549235780745,0.00230672982584936,0.000247522646963931,0.0157328524738501,0.00255220568674859,6.8204140326911
1990,"WGOA","Other skates",13311.8592715181,0.0567018856094414,0.00832436576099192,0.091237962279919,0.0148007519021234,1.60908162575685
1990,"WGOA","Pacific capelin",136.127265585259,0.000579834302940401,8.21027115979715e-07,0.000906105466256393,0.000146989716430464,1.56269724240432
1990,"WGOA","Pacific cod adult",388355.98439105,1.65420292939831,2.6110753196634,1.61588221094961,0.262130708640164,0.97683433043935
1990,"WGOA","Pacific cod juvenile",2707.51997343272,0.0115326856066855,0.000126912013482864,0.0112655232227742,0.00182750918698003,0.97683433043935
1990,"WGOA","Pacific dogfish",15696.2471651609,0.0668581896114784,0.0469590017784193,0.216700257910366,0.0351534237976224,3.24119242787817
1990,"WGOA","Pacific halibut adult",298974.20444163,1.2734810964156,1.20079225182585,1.09580666717531,0.177763314833743,0.860481298277309
1990,"WGOA","Pacific halibut juvenile",546.699315502958,0.002328666598567,4.01511047547346e-06,0.00200377405798994,0.000325055075312083,0.860481298277309
1990,"WGOA","Pacific herring",9529.910415876,0.0405926684806066,0.0180763235780006,0.134448218946926,0.0218103811460703,3.31213058858546
1990,"WGOA","Pacific ocean perch adult",55285.2191283159,0.235487478267877,0.306229401237844,0.553379979072105,0.0897700866303886,2.34993377627753
1990,"WGOA","Pacific ocean perch juvenile",331.601220870041,0.00141245592446681,1.10169418283422e-05,0.00331917788440785,0.00053844175339444,2.34993377627753
1990,"WGOA","Pacific sandlance",62.4722467838818,0.000266100633927486,8.62987221744082e-07,0.000928971055385518,0.000150699004793983,3.49105164341197
1990,"WGOA","Pacific sleeper shark",1478.47595817656,0.00629757068091933,0.000457236917194027,0.0213830988678916,0.00346879668652897,3.39545198479139
1990,"WGOA","Pandalid shrimp",7657.53435584661,0.0326172796931968,0.00382948339453813,0.0618828198657603,0.0100387189822026,1.89724037221496
1990,"WGOA","Pelagic shelf rockfish",20195.9932249412,0.0860248650659807,0.104698302927214,0.323571171347531,0.052490175252942,3.7613679614534
1990,"WGOA","Rex sole adult",81898.7273616171,0.348847758656304,0.195463678050373,0.442112743596442,0.0717201575662352,1.26735153838848
1990,"WGOA","Rex sole juvenile",12.439364542145,5.29854929305012e-05,4.50928983636331e-09,6.71512459777428e-05,1.08933705532108e-05,1.26735153838848
1990,"WGOA","Sablefish adult",190561.009024331,0.811694919163992,2.8040636304485,1.67453385467374,0.271645261636748,2.06300891521957
1990,"WGOA","Sablefish juvenile",4.87325687220936,2.07576453504625e-05,1.83382709347685e-09,4.28232074169702e-05,6.94684156455831e-06,2.06300891521957
1990,"WGOA","Salmon returning",1400.50131257153,0.0059654375547081,6.7725591422261e-05,0.0082295559675028,0.00133501026432345,1.37953937025253
1990,"WGOA","Salmon shark",9811.93731780798,0.0417939625151934,0.00680400369987348,0.082486384936385,0.0133810585883195,1.9736435593155
1990,"WGOA","Sessile epifauna",50040.0036560006,0.213145474672299,0.309191053465795,0.556049506308382,0.0902031411324046,2.60877931921042
1990,"WGOA","Shallow-water flatfish",240893.0496884,1.02608432593379,2.19819654534283,1.48263162833619,0.240514609762114,1.44494130829542
1990,"WGOA","Shelf demersal fish",13288.3171328223,0.0566016078324529,0.00212937565811892,0.0461451585555725,0.00748573319918933,0.815262327744599
1990,"WGOA","Shelf forage fish",20022.5491942389,0.0852860799430366,0.0132796378992655,0.115237311228896,0.0186939603948395,1.35118546081452
1990,"WGOA","Slope demersal fish",21005.5206912531,0.0894730485883777,1.71571967174669,1.30985482850073,0.21248651175438,14.639657965906
1990,"WGOA","Slope forage fish",17.2943474197662,7.36653001721291e-05,3.58417905085508e-07,0.000598680135870156,9.71187424436147e-05,8.12703042641865
1990,"WGOA","Slope rockfish",166165.809541489,0.707783528404685,5.49355431653553,2.34383325271563,0.380219961149067,3.31151144192142
1990,"WGOA","Squid",3084.12396295681,0.0131368308953713,0.00117196027453387,0.0342339053357029,0.00555347277441371,2.60594854332524
