Name,Transient killer whales_PWS,Resident killer whales_PWS,Humpback whale ( Mean N*Weight 25.234 t) Cheeseman et al. 2025,Humpback whale ( Mean N*Weight  25.234 t) PWS only,Other baleen whales- EN Gray Whales mt (Numbers*14.409t) = 10% of the time spent/ km2,Steller sea lion ADult N*0.295 tonnes,Harbor seal (N*upper weight 0.064 tonnes),Sea otter,Piscivorous surface birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Piscivorous diving birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Planktivorous diving birds: Chowiet bioamss (t) divided by 650NMFS 300m isobar area,Salmon returning,Salmon outgoing_race,Salmon outgoing_race,Pacific hake,Mature herring Sitka biomass (t) divided by 650NMFS 300m isobar area,Mature herring Craig biomass (t) divided by 650NMFS 300m isobar area,Pacific herring adult _race,Pacific sandlance_race,Pacific capelin_race,Shelf forage fish_race,Slope forage fish_race,Pacific dogfish_race,Salmon shark_race,Big skate_race,Longnose skate_race,Other skates_race,Pacific halibut adult_race,Arrowtooth flounder adult_race,Rex sole adult_race,Flathead sole adult_race,Shallow water flatfish_race,Deep-water flatfish_race,Pacific ocean perch adult_race,Slope rockfish_race,Demersal shelf rockfish_race,Pelagic shelf rockfish_race,Thornyheads adult_race,Sablefish adult_race,Pacific cod adult_race, Walleye pollock adult_race,Large sculpins_race,Lingcod_race,Atka mackerel_race,Shelf demersal fish_race,Slope demersal fish_race,Miscellaneous deep-sea fish_race,Squid_race,Octopus_race,Tanner crab_race,King crab_race,Pandalid shrimp_race,Motile epifauna_race,Sessile epifauna_race,Euphausiids_roms,Large copepods_roms,Small copepods_roms,Large microzooplankton_roms,Small microzooplankton_roms,Large phytoplankton_roms,Small phytoplankton_roms,Salmon_shark_combined_catch_akfin,Pacific halibut_combined_catch_akfin,Arrowtooth flounder_combined_catch_akfin,Rex sole_combined_catch_akfin,Flathead sole_combined_catch_akfin,Shallow water flatfish_combined_catch_akfin,Deep water flatfish__combined_catch_akfin,Pacific ocean perch_combine_catch_akfin,Slope rockfish_45_combined_catch_akfin,Demersal shelf rockfish_combine_catch_akfin,Pelagic shelf rockfish_combined_catch_akfin,Sablefish_49_combined_catch_akfin,Pacific cod_51_combined_catch_akfin,Walleye pollock_53_combined_catch_akfin,Large sculpins_55_combined_catch_akfin,Atka mackerel_57_combined_catch_akfin,Squid_61_combined_catch_akfin,Octopus_62_combined_akfin
Pool Code,1,2,5,5,6,11,12,13,14,16,17,18,19,19,20,21,21,21,23,24,25,26,27,28,30,31,32,33,35,37,39,41,42,43,45,46,47,48,49,51,53,55,56,57,58,59,60,61,62,63,64,65,67,69,75,76,77,78,79,80,81,28,33,35,37,39,42,42,43,45,46,47,49,51,53,55,57,61,62
Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1988,0.006745,0.01734175,,0.24401278,,0.035239605,,,,,,0.624737508,1.360192359,,,1.794664024,0.648575328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.565601314,8.883631687,43.5033295,101.074031,38.48972914,10.17753013,12.80196657,,,,,,,,,,,,,,,,,,
1989,0.006745,0.01773225,,0.23656875,,0.03165469,,,0.000013,0.000075,,0.543802632,0.88028232,,,1.216255724,0.715447747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.217760208,9.330407369,39.75858813,105.323684,39.4293889,10.14603344,12.8839253,,,,,,,,,,,,,,,,,,
1990,0.0045085,0.01751925,,0.26962529,,0.02925326,,,0.000011,0.000079,,0.503111569,0.863857664,0.005675279,,0.735024811,0.67223662,0.029716331,9.94E-05,0.0005461,0.001341491,0.000108145,0.055772783,0.055761759,0.037553511,0.041628632,0.046925498,1.208793231,8.111474415,0.456907923,0.951942827,0.872238466,0.384240729,0.377975512,0.929668556,0.003394695,0.123384301,0.056863843,0.91387675,1.709827344,3.672057327,0.108004561,0.004401239,0.18536727,0.061463558,0.179226636,0.000690379,0.013141233,0.004078921,0.004566799,0.003335455,0.031820952,0.058032404,0.267363594,9.793191299,11.19252288,44.86427499,103.2556141,38.78081739,10.52433966,13.06888628,,,,,,,,,,,,,,,,,,
1991,0.004473,0.01783875,,0.27277954,,0.027366787,,,0.00001,0.000083,,0.547286908,0.980103847,,,0.882574337,0.474777834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18418011,11.00756088,50.08474824,115.2936712,39.69716471,11.88538918,13.39703255,,,0.072234324,,0.005247754,0.022215625,0.04272553,0.01868509,0.009303102,0.000810158,0.004103949,0.055812224,0.274596859,0.374103949,,0.005236211,1.24E-05,
1992,0.0042245,0.0182115,,0.30015843,0.967396283,0.026176099,,,,,,0.505897286,0.996051438,,,1.438655526,0.328317435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.33420976,10.12827632,47.38652128,111.8441772,41.04772,11.67103591,13.4382965,,,0.087243972,,0.00980189,0.035472273,0.035733977,0.018346162,0.035105572,0.000904038,0.010095285,0.053566442,0.336358293,0.385848174,,0.027176075,8.51E-05,
1993,0.0042245,0.0182115,,0.31492032,1.233826131,0.025130227,,0.020034775,0.000013,0.000074,,0.57150646,0.817343857,0.03136933,,0.959902377,0.207723811,0.014221897,8.64E-06,0.000168291,0.002095982,0.000328965,0.036005226,0.030498161,0.103280068,0.06224076,0.021951608,2.141711147,6.614959438,0.351500146,0.711140354,1.235382088,0.25697908,1.980695497,1.066776929,0.004879396,0.220931046,0.135602696,1.132124855,1.685456547,3.183991223,0.100388573,0.012305774,0.096991978,0.078067343,0.423290481,9.74E-05,0.037959795,0.005029078,0.023189578,0.003800781,0.023070126,0.072663837,0.223144551,9.826244775,12.10513723,46.9603675,111.8399039,40.71633466,11.94011709,13.03534798,,,0.077925322,,0.012025821,0.038124582,0.02806661,0.006887621,,0.000366275,0.008998888,0.05407196,0.195294822,0.461007118,,0.009184475,,
1994,0.0042245,0.018815,,0.35050026,,0.02427707,,0.021731976,,,,0.536463502,1.053243827,,,0.619223347,0.169168703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.714551917,10.61260884,47.91821306,109.3179479,41.53538454,12.5472997,13.47750456,,,0.093680341,0.015153364,0.010696642,0.01532089,0.011950896,0.004575093,,0.000145845,0.007118189,0.042213069,0.194278546,0.427707065,,0.015067321,,
1995,0.0042245,0.018886,,0.35214047,1.285442695,0.023572322,,0.021312553,0.000012,0.000092,,0.932674246,1.127065328,,,0.855019415,0.121274329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.718194161,9.255394213,45.95107684,108.2651044,42.63378773,11.45452185,13.68792236,,,0.074181387,0.016386704,0.009160196,0.021960097,0.008447538,0.017114951,,0.00021306,0.008000119,0.0401231,0.289251051,0.294622075,,0.002972752,,
1996,0.0042245,0.01917,,0.38456616,,0.022988093,0.020237357,0.021263783,,,,0.505586342,0.823392356,0.021552237,,1.090162007,0.147740123,0.000134012,1.64E-05,0.004195009,0.00124401,0.000463134,0.01665868,,0.140501149,0.088216201,0.052289699,1.954160349,6.643396891,0.286522401,0.936113147,1.230628119,0.237881906,3.374365303,1.077851139,0.002779398,0.361238368,0.222019139,0.648559387,2.132067909,3.218862222,0.129472766,0.026499969,0.935140082,0.062341823,0.404215083,1.94E-06,0.024865689,0.009233344,0.008164124,0.00236953,0.025696972,0.103655638,0.362728566,9.00154743,9.984192497,43.6117192,106.6987567,40.86469965,10.62941865,13.36295894,,,0.091816253,0.024503704,0.012528272,0.033607972,0.008385136,0.026116523,,0.000191635,0.005452168,0.035355775,0.235941117,0.2122336,,0.005993466,,
1997,0.0042245,0.0196315,,0.38216893,1.297165363,0.022500716,0.021047549,0.022834182,,,,0.597382959,1.066461075,,,1.28092266,0.179624326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.707003584,9.642280307,39.60896233,101.8196942,42.66172992,10.22461011,13.48553273,,,0.062862984,0.01321384,0.009779741,0.028411332,0.011321938,0.034166095,,0.000366573,0.008165218,0.032291018,0.250972573,0.358563737,,0.001381699,,
1998,0.0042245,0.0195605,,0.36261258,1.004651044,0.022126878,0.02125146,0.030422816,0.000008,0.000098,2.85E-06,0.663328634,1.074681921,,,1.52507778,0.196396887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.793640432,7.462879805,38.59305096,98.7629966,39.22932911,9.77673838,12.98993571,,,0.052720717,0.011175155,0.006785606,0.013520993,0.007473346,0.028625798,,0.000115944,0.009747496,0.030846492,0.213907927,0.023122218,,0.001349113,,
1999,0.0042245,0.0201285,,0.36665002,0.984028969,0.021719859,0.021075628,0.024141221,,,,0.647338448,1.113430649,0.010195351,,1.615257523,0.195988464,0.000205365,3.50E-05,0.000553399,0.001046453,0.00073066,0.06928119,,0.191768289,0.136096655,0.074697931,2.257162459,4.150223448,0.236115926,0.804573129,1.191208541,0.160501522,2.710685883,1.328461994,0.009614189,0.200041635,0.22937934,0.487458595,1.205201228,2.510791694,0.127754548,0.026035847,0.019996206,0.047302764,1.535439837,8.70E-05,0.007229955,0.004019605,0.01048045,0.000812073,0.025739026,0.148226866,0.185225899,7.454237177,4.170881335,40.83948838,104.6308023,43.1146916,10.22653487,13.72736272,,,0.062398485,0.012720206,0.003413611,0.009511435,0.008022609,0.038053789,,0.000256039,0.015938305,0.031061639,0.28225477,0.385727673,,0.000610302,,
2000,0.003976,0.0202705,,0.35794429,1.173862537,0.021399666,0.020553855,0.025926209,,,,0.590610345,1.04683327,,,1.487693484,0.222372574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.032656553,10.23793347,42.25719015,103.3301728,42.11904121,10.85089165,13.22185268,,,0.09794202,0.015214147,0.00610613,0.024731161,0.00357347,0.039962261,,3.08E-05,0.013527084,0.032835894,0.227393182,0.023652314,,0.000715853,,
2001,0.0037275,0.0202705,,0.3494909,1.273535901,0.021387968,0.019128113,,0.000007,0.000093,,0.65818741,1.067398166,0.029870211,,1.818869879,0.236504001,0.12825726,6.11E-05,0.001243376,0.010017624,0.000300776,0.075020197,,0.163527444,0.098247948,0.05351422,1.521600179,6.199783986,0.261341116,0.782485459,1.427262536,0.178456734,3.647791339,2.870416938,0.008208971,0.212385047,0.217247068,0.947810082,1.155285836,1.017474622,0.146813394,0.028979391,0.875521718,0.062011395,1.261940651,1.15E-06,0.038974824,0.00615335,0.020918264,0.003765669,0.038285851,0.135072305,0.294203024,9.945445294,11.5488885,43.0442248,113.2252478,38.75300769,10.91400993,13.08446922,,,0.074184411,0.012321686,0.006851416,0.022870907,0.000859526,0.043409011,,9.46E-05,0.010730122,0.030213231,0.172584157,0.014705093,,0.000320698,,
2002,0.003479,0.0202705,0.090666085,0.34810303,1.093706494,0.021481149,0.021605306,0.017947413,0.00001,0.000067,1.46E-06,0.610361675,1.193756416,,,1.871747011,0.238001551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.13624178,10.06447553,43.08718776,102.4027136,40.49742946,10.39344009,12.9129872,,,0.085929403,0.012703083,0.008206833,0.025746074,0.000855011,0.045862614,,5.70E-05,0.012104239,0.03408542,0.177059109,0.007232769,,0.00035388,,
2003,0.0032305,0.0202705,0.102432528,0.32791583,,0.02166392,0.022030847,0.02566285,,,,0.774684903,1.336863044,0.090279597,,2.472836388,0.405699933,0.005113036,4.06E-05,0.06423373,0.001369875,0.000412242,0.211027799,0.019224606,0.157373746,0.119738097,0.082367285,2.300547116,11.46737167,0.338929034,1.269375114,1.515108627,0.240454975,2.184929715,0.758095991,0.006830641,0.298387296,0.411366467,1.018148663,1.321949802,2.022291695,0.116781697,0.020954904,0.275910299,0.04627492,1.916410062,1.92E-05,0.020366956,0.016935939,0.033981747,0.007449441,0.03068614,0.143701624,0.165047479,10.35721279,12.20646308,42.00400915,105.8748045,39.74823643,10.23124261,12.79992716,,,0.128508329,,0.010188321,,,0.043618174,,,,0.038812433,0.223052256,0.206969732,,0.002475408,,
2004,0.0032305,0.0202705,0.103910049,0.31592968,1.301768504,0.021997682,0.022198229,0.026374894,0.00001,0.000094,,0.787092844,1.065562319,,,3.123208776,0.450245241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.372619793,10.477858,37.58048244,98.17176835,39.55906296,10.01263293,12.84161463,,,0.066596987,,0.009963577,,,0.045844272,,,,0.040392007,0.240450153,0.265939881,,0.003494541,,
2005,0.0032305,0.0202705,0.113167392,0.3381356,1.288265955,0.022439914,0.023430146,0.026833333,0.000011,0.000102,1.33E-06,0.912731238,0.963389545,0.04148447,4.61E-05,2.648594311,0.501325313,0.006345632,0.000143114,0.001942223,0.002691784,0.000704189,0.067750371,0.012091446,0.139767446,0.14103437,0.122993707,2.201666092,7.3534374,0.372550444,0.996064193,1.586575722,0.203912787,3.661909139,2.131438701,0.011399579,0.988110801,0.297938949,0.927006017,1.298144587,1.724166501,0.14359711,0.054765803,0.4089806,0.078761664,2.525590313,5.36E-05,0.016054371,0.004389296,0.022926912,0.002244266,0.032251539,0.13641962,0.283432984,8.79714295,12.076242,40.11370302,103.0347999,40.75468368,10.36709878,13.05697988,,,0.084864582,,0.01048126,,,0.04430668,,,,0.036782497,0.202427833,0.333531224,,0.00340916,,
2006,0.0032305,0.020661,0.113339322,0.3065931,,0.022960592,0.023969638,,0.000012,0.000099,2.25E-06,0.667609437,0.862102748,,,2.275731568,0.493374683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.894006177,6.996490631,43.04669502,107.5271622,40.68345763,10.3546316,13.22193487,,,0.117659056,,0.013134554,,,0.052544288,,,,0.034380233,0.203464171,0.293600552,,0.003740477,,
2007,0.0032305,0.020661,0.133863437,0.464158402,,0.023392866,0.024120663,0.023214589,0.000009,0.000113,1.64E-06,0.745081335,0.873300989,0.017974727,0.004111679,2.2424315,0.435433109,0.008301467,1.74E-05,0.003351515,0.010694244,0.000550777,0.074179833,,0.105551493,0.111805474,0.135265881,1.532655274,7.668959584,0.460477348,1.220719147,1.785003927,0.221489196,3.307182851,1.409821925,0.004802343,0.317836404,0.224557511,0.658200002,1.07117552,1.280464886,0.140087472,0.033136324,0.355258959,0.063128924,1.667788633,1.77E-05,0.042369325,0.011364679,0.019631257,0.001383879,0.033447085,0.100308321,0.270046533,8.556640355,6.947949606,42.09959412,104.6348813,45.40833967,11.16658835,13.41057919,,,0.107965647,,0.013055523,,,0.049890816,,,,0.034521163,0.220694291,0.219672559,,0.006227764,,
2008,0.0032305,0.0208385,0.14214293,0.412774167,,0.02399,0.025283065,0.03520229,,,,0.577678484,0.786483735,,,2.730496687,0.585215346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.690395771,7.052811248,44.61476476,109.6871934,42.72985495,10.77220833,13.59874085,,,0.124402881,,0.014077242,,,0.048391227,,,,0.030558941,0.248697162,0.216324157,,0.008994203,,
2009,0.0032305,0.02272,0.142083829,0.483245119,1.766992703,0.024772314,0.026727345,0.038606446,0.000008,0.000113,1.94E-06,0.581707977,0.802627263,0.03046024,5.29E-05,3.199692743,0.493075173,0.044128343,8.87E-06,0.001612737,0.002450939,0.000507337,0.040336207,,0.123075413,0.107138556,0.100834611,1.857814623,6.204336399,0.502057002,0.950654903,1.689125795,0.184233534,3.178324504,0.808318954,0.004417493,0.282871977,0.233477336,0.587896545,3.270338661,3.237670659,0.178066308,0.04253267,0.621516104,0.045827611,1.716925963,2.48E-05,0.033370754,0.016832898,0.092942192,0.001725884,0.021999993,0.129808959,0.272218842,9.859186785,7.616507992,43.42423601,106.1265151,40.77125118,10.79895134,13.1611891,,,0.105770958,,0.015436054,,,0.050424298,,,,0.027217772,0.220595479,0.176980364,,0.009471101,,
2010,0.0032305,0.02272,0.123612125,0.463267978,1.654676043,0.025624859,0.026244283,,0.000009,0.000103,,0.596761072,0.767707832,,,3.115557657,0.502877319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.321993849,8.002358178,42.95868231,110.2180182,42.16564592,10.689713,13.50650204,,,0.103674022,,0.016621487,,,0.058311374,,,,0.024986159,0.327786695,0.312832547,,0.010294418,,
2011,0.0032305,0.023146,0.159228449,0.499084448,,0.026421615,0.027038391,0.028247668,0.000007,0.00009,2.14E-06,0.606749613,0.913497949,0.018401563,,2.934245183,0.596460585,0.073959913,1.50E-05,0.001385386,0.001226958,0.001094074,0.044297245,0.008724038,0.126352208,0.096787886,0.081743606,1.432332363,5.930313017,0.38867593,1.000084851,1.309518486,0.178520457,3.662948703,1.353682727,0.011211951,0.355669659,0.189447183,0.4801901,2.04086074,2.969771234,0.140019337,0.056179443,0.42897034,0.027369883,1.580847238,9.62E-06,0.015302398,0.024025269,0.031928345,0.002690029,0.02146678,0.085091981,0.224734128,8.592683505,6.602886872,41.09665304,96.02728224,41.43743407,9.477406684,11.96757718,0.001233086,,0.131669095,,0.011633683,,,0.052603749,,,,0.026904962,0.356565285,0.330940114,0.00322723,0.006877146,0.000973241,0.004042134
2012,0.0032305,0.0248145,0.179924494,0.555955736,,0.027277723,0.026830391,0.033739186,0.000011,0.000108,2.00E-06,0.570318057,0.844447095,,,2.086087271,0.582247474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.335423712,10.09903863,45.59150621,110.6196005,43.80748898,10.96309311,13.88072669,0.001758196,,0.088435483,,0.009230496,,,0.056363791,,,,0.028455989,0.327432966,0.421412926,0.003364138,0.0050591,7.02E-05,0.001775799
2013,0.0032305,0.0265895,0.170323292,0.619578813,,0.027985726,0.027918098,0.041717981,0.000011,0.000119,2.23E-06,0.830620738,0.999033092,0.049949443,,2.018452463,0.53838287,0.015144435,1.71E-05,0.016852851,0.000801433,0.000681824,0.063595949,0.016806639,0.101981596,0.12770902,0.111753916,0.848977671,4.729833971,0.416290724,0.887671016,1.258586917,0.111080285,6.527919146,2.010541682,0.002984824,0.440452887,0.229184309,0.239058958,2.223687322,4.412549934,0.149998277,0.019602385,0.48379424,0.044228578,1.588044649,,0.026898539,0.012419535,0.010334646,0.003774576,0.038927315,0.096952247,0.161436276,9.03288177,9.190301302,41.19850958,111.2588688,41.39637925,10.32664726,13.24052065,0.006438734,0.060124184,0.0928969,,0.012004967,,,0.049600253,,,,0.027880158,0.284661866,0.386748811,0.007371169,0.00543938,0.00135629,0.001756488
2014,0.0032305,0.0265895,0.167862547,0.45320264,1.263102113,0.028653143,0.028009695,,0.000011,0.000119,2.34E-06,0.480566003,0.650741793,,,1.952968682,0.374932085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.38693381,12.24854511,41.42871768,106.0663755,41.63404612,10.4255645,13.04095388,0.004447935,0.036802435,0.155576339,,0.010884529,,,0.067473084,,,,0.025261032,0.35563353,0.591850125,0.005020311,0.004437223,0.000390686,0.005556722
2015,0.0032305,0.0265895,0.178699495,0.2359379,3.580000094,0.029465064,0.029133659,,0.000004,0.000005,2.45E-06,1.151476558,1.080112792,0.069783108,,1.751371212,0.289980153,0.011394855,1.05E-05,0.000226901,0.000627447,0.001356614,0.051908314,0.013386489,0.161903167,0.149554017,0.107707569,1.216608077,5.673151093,0.385840084,0.887115757,0.936434783,0.099262188,7.017115599,0.851621824,0.006556898,0.238148682,0.277169778,0.338886876,1.084110311,3.369324538,0.167465155,0.021075906,0.134156139,0.036429274,1.393700643,2.69E-05,0.051843351,0.056444969,0.012850977,0.004242009,0.046043914,0.132639823,0.268739164,7.896058215,10.9583328,36.71887046,98.49017252,41.16292747,9.337864485,12.8930886,0.004246143,0.037412933,0.082193932,,0.008521893,,,0.071355516,,,,0.023954055,0.330920999,0.69348017,0.004300983,0.005187253,0.001741889,0.004097695
2016,0.0034435,0.0265895,0.160388975,,,0.030234441,0.029285502,,0.00001,0.000048,3.94E-06,,,,,2.019868329,0.277536873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.371968307,13.66737421,36.93077172,100.892382,40.07464994,9.619240751,12.80317777,0.005584014,0.035023852,0.085089148,,0.010304745,,,0.086075303,,,,0.022346293,0.267783768,0.737262383,0.005604899,0.004655219,0.001015061,0.00163742
2017,0.0034435,0.0262345,0.152743474,0.088319,,0.030930173,0.029811909,0.024043681,0.000007,0.000052,2.94E-06,,,0.050103551,4.92E-06,1.710447253,0.365701731,0.041348482,6.39E-05,0.00049879,0.003090104,0.00133871,0.097454044,,0.101997644,0.162909933,0.072033944,1.054035692,3.618514175,0.411729473,0.985031948,1.060854111,0.10119658,7.318393647,1.101934417,0.009470812,0.325577623,0.279816949,0.568014725,0.448072326,1.199789502,0.125679934,0.085931687,0.140614486,0.03763226,0.643924265,5.76E-05,0.005490247,0.003779911,0.015754133,0.003835516,0.029493992,0.091562581,0.181887408,8.388828784,6.865218788,40.86804108,108.8027271,45.55167895,10.4321802,13.65473125,0.004352336,0.036101532,0.115234588,,0.008732887,,,0.089890703,,,,0.025637552,0.205326149,0.784686345,0.005825349,0.004576891,0.000157237,0.000983992
2018,0.0034435,0.026838,0.143620451,0.1690678,,0.031477032,,,0.000006,0.000053,1.59E-06,,,,,1.522763384,0.435188055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.965097617,8.26155784,40.0073041,105.9716962,39.3218439,9.949405395,12.87292032,0.006565243,0.029456822,0.08037795,,0.009379066,,,0.091087519,,,,0.030529401,0.06253508,0.642398239,0.002478307,0.006123109,0.00016316,0.000867062
