"","date","PP"
"1",1980-01-01,1.21293671027146
"2",1980-02-01,1.07818065726396
"3",1980-03-01,1.20041897794584
"4",1980-04-01,1.91981446489154
"5",1980-05-01,1.49153523906259
"6",1980-06-01,1.02211530824096
"7",1980-07-01,1.11012004031954
"8",1980-08-01,1.02845967911795
"9",1980-09-01,1.08368110024566
"10",1980-10-01,1.09469113079866
"11",1980-11-01,0.978425748953634
"12",1980-12-01,1.02752346042768
"13",1981-01-01,1.06740595500328
"14",1981-02-01,0.956088569578595
"15",1981-03-01,0.834364412561685
"16",1981-04-01,1.16079677404127
"17",1981-05-01,0.927591203998666
"18",1981-06-01,0.88099861747185
"19",1981-07-01,0.728776090868529
"20",1981-08-01,0.907801074468522
"21",1981-09-01,0.794358967510517
"22",1981-10-01,0.892896363549997
"23",1981-11-01,0.951278880105353
"24",1981-12-01,1.00560827704806
"25",1982-01-01,1.04307572252313
"26",1982-02-01,0.982054374756006
"27",1982-03-01,0.861894037925295
"28",1982-04-01,0.688115484027218
"29",1982-05-01,1.05243741998757
"30",1982-06-01,1.08230051518736
"31",1982-07-01,0.786197395945832
"32",1982-08-01,0.891752454961546
"33",1982-09-01,0.82687884006287
"34",1982-10-01,1.03332781640267
"35",1982-11-01,0.954100540752652
"36",1982-12-01,1.0028081366861
"37",1983-01-01,1.03586906946189
"38",1983-02-01,0.9584080650882
"39",1983-03-01,0.956012928246132
"40",1983-04-01,0.773485866004732
"41",1983-05-01,0.75443150218531
"42",1983-06-01,0.851874217715696
"43",1983-07-01,0.949684648483036
"44",1983-08-01,1.02406264809457
"45",1983-09-01,0.865971786539605
"46",1983-10-01,1.01266652644026
"47",1983-11-01,1.00631061918993
"48",1983-12-01,1.03645177035425
"49",1984-01-01,1.0304512905065
"50",1984-02-01,1.04828421698323
"51",1984-03-01,0.976408347821216
"52",1984-04-01,0.633211906195412
"53",1984-05-01,1.52218680023329
"54",1984-06-01,1.0257628051134
"55",1984-07-01,0.848486005091391
"56",1984-08-01,0.91752451724013
"57",1984-09-01,1.13081915711421
"58",1984-10-01,1.06839088758327
"59",1984-11-01,0.976294944226331
"60",1984-12-01,1.0281749966911
"61",1985-01-01,1.06324066950374
"62",1985-02-01,1.1472627595815
"63",1985-03-01,0.879527459352142
"64",1985-04-01,1.10907600576705
"65",1985-05-01,0.952987685325929
"66",1985-06-01,0.93769952478015
"67",1985-07-01,1.10115447110486
"68",1985-08-01,1.02610781648697
"69",1985-09-01,0.946876924173509
"70",1985-10-01,0.945286679563443
"71",1985-11-01,0.986708262907518
"72",1985-12-01,1.042897862049
"73",1986-01-01,1.06327907720024
"74",1986-02-01,1.02242904287138
"75",1986-03-01,0.866948084120377
"76",1986-04-01,0.885866713991855
"77",1986-05-01,1.31378073350527
"78",1986-06-01,0.717796884467806
"79",1986-07-01,0.921405351128543
"80",1986-08-01,0.762194158140268
"81",1986-09-01,0.924617390743989
"82",1986-10-01,0.803429869777095
"83",1986-11-01,1.08268342330524
"84",1986-12-01,1.04288361442276
"85",1987-01-01,1.07124376181592
"86",1987-02-01,1.02685031464281
"87",1987-03-01,0.822850322765218
"88",1987-04-01,0.925537709256227
"89",1987-05-01,0.786335938239791
"90",1987-06-01,0.964134459817871
"91",1987-07-01,1.0219930697836
"92",1987-08-01,0.941395540735722
"93",1987-09-01,1.12717942273242
"94",1987-10-01,1.10041439908771
"95",1987-11-01,1.04614671696243
"96",1987-12-01,1.05193613068792
"97",1988-01-01,1.01384385140622
"98",1988-02-01,0.977163567349201
"99",1988-03-01,0.949832711569211
"100",1988-04-01,0.898493506895302
"101",1988-05-01,0.795772588290932
"102",1988-06-01,0.935234206064805
"103",1988-07-01,0.922469854502553
"104",1988-08-01,0.83620395343902
"105",1988-09-01,0.757219461999845
"106",1988-10-01,0.912683036975685
"107",1988-11-01,1.02667898673556
"108",1988-12-01,1.0045954198545
"109",1989-01-01,1.01549579730996
"110",1989-02-01,1.10459423910842
"111",1989-03-01,1.04223160040262
"112",1989-04-01,0.881921831656191
"113",1989-05-01,0.951673791104255
"114",1989-06-01,0.76860488953631
"115",1989-07-01,0.675953650505928
"116",1989-08-01,0.699834284845528
"117",1989-09-01,0.913405926128645
"118",1989-10-01,0.933145690243123
"119",1989-11-01,1.05372610867554
"120",1989-12-01,1.05309447029679
"121",1990-01-01,1.03466743691519
"122",1990-02-01,1.04942316281575
"123",1990-03-01,0.990024339709149
"124",1990-04-01,0.837502595793449
"125",1990-05-01,0.761344628167428
"126",1990-06-01,0.780330662191989
"127",1990-07-01,0.850257929498131
"128",1990-08-01,1.03097550344534
"129",1990-09-01,0.915472941156928
"130",1990-10-01,1.12631482896321
"131",1990-11-01,1.08111984626009
"132",1990-12-01,1.06937724197805
"133",1991-01-01,1.02819631255372
"134",1991-02-01,1.00409465785734
"135",1991-03-01,1.08355104986429
"136",1991-04-01,1.14373252751675
"137",1991-05-01,1.04427916980705
"138",1991-06-01,1.03050520762769
"139",1991-07-01,1.1809867937841
"140",1991-08-01,0.901041903003101
"141",1991-09-01,0.921366960335096
"142",1991-10-01,1.14449319249064
"143",1991-11-01,1.01909068513276
"144",1991-12-01,1.05389975970331
"145",1992-01-01,1.0342008557703
"146",1992-02-01,1.07911862664961
"147",1992-03-01,0.993803201258121
"148",1992-04-01,1.1494341704092
"149",1992-05-01,1.26050174056083
"150",1992-06-01,0.935103124279614
"151",1992-07-01,0.826246132757296
"152",1992-08-01,0.839492234438794
"153",1992-09-01,0.915992173906727
"154",1992-10-01,0.955279907377843
"155",1992-11-01,1.03270983829413
