"","B20","B25","B35","B40","B50","B0"
"atka_mackerel",0.0223022950646276,0.0278778688307845,0.0390290163630983,0.0446045901292552,0.055755737661569,0.111511475323138
"pacific_cod_adult",1.8710374356646,2.33879679458074,3.27431551241304,3.74207487132919,4.67759358916149,9.35518717832297
"walleye_pollock_adult",3.11655954982523,3.89569943728153,5.45397921219415,6.23311909965046,7.79139887456307,15.5827977491261
"arrowtooth_flounder_adult",0.939848710484947,1.17481088810618,1.64473524334866,1.87969742096989,2.34962177621237,4.69924355242473
"flathead_sole_adult",0.0565412574787087,0.0706765718483859,0.0989472005877402,0.113082514957417,0.141353143696772,0.282706287393543
"shallow_water_flatfish",0.8166190811917,1.02077385148962,1.42908339208547,1.6332381623834,2.04154770297925,4.0830954059585
"deep_water_flatfish",0.0922270668097605,0.115283833512201,0.161397366917081,0.184454133619521,0.230567667024401,0.461135334048802
"pacific_ocean_perch_adult",0.000405615576891567,0.000507019471114459,0.000709827259560242,0.000811231153783134,0.00101403894222892,0.00202807788445784
"slope_rockfish",0.302496402663368,0.37812050332921,0.529368704660894,0.604992805326736,0.75624100665842,1.51248201331684
"demersal_shelf_rockfish",0.0103295320429092,0.0129119150536365,0.0180766810750911,0.0206590640858184,0.0258238301072729,0.0516476602145459
"pelagic_shelf_rockfish",0.234677251077322,0.293346563846653,0.410685189385314,0.469354502154644,0.586693127693305,1.17338625538661
"sablefish_adult",0.253291257403959,0.316614071754949,0.443259700456929,0.506582514807919,0.633228143509899,1.2664562870198
"rex_sole_adult",0.11554574265599,0.144432178319988,0.202205049647983,0.231091485311981,0.288864356639976,0.577728713279952
"octopus",0.587055728065999,0.733819660082499,1.0273475241155,1.174111456132,1.467639320165,2.93527864033
