"year","model","race_group","bio_tons","bio_tkm2","var_bio_tons","juv_bio_prop","adu_bio_tkm2","juv_bio_tkm2","var_bio_tkm2","adu_var_tkm2","juv_var_tkm2","adu_sd_tkm2","juv_sd_tkm2","adu_cv_tkm2","juv_cv_tkm2"
1990,"WGOA","Arrowtooth flounder",1726495.43346808,7.35401002797452,771924652956.903,0.000357885111493579,7.35137813727573,0.00263189069878656,14.0053020208616,13.9952792365347,1.79382363452934e-06,3.74102649503244,0.00133933701305136,0.508887779294508,0.508887779294508
1990,"WGOA","Atka mackerel",30255.6385024149,0.128873940026929,20383985270.006,0,0.128873940026929,0,0.36983385489978,0.36983385489978,0,0.608139667263845,0,4.71887231147563,NA
1990,"WGOA","Big skate",10815.2983507195,0.0460677804209195,105797512.629389,0,0.0460677804209195,0,0.00191952169393044,0.00191952169393044,0,0.0438123463641294,0,0.951040965373581,NA
1990,"WGOA","Deep-water flatfish",72757.8146320493,0.309912026435427,2041544109.17763,0,0.309912026435427,0,0.0370404569000593,0.0370404569000593,0,0.192458974589546,0,0.621011636118763,NA
1990,"WGOA","Demersal shelf rockfish",758.937375420729,0.00323269495027709,1908485.48411514,0,0.00323269495027709,0,3.46263272005577e-05,3.46263272005577e-05,0,0.00588441392158622,0,1.82028122420949,NA
1990,"WGOA","Flathead sole",219996.370083711,0.937074886125681,10471534827.5,0.00434978161605961,0.93299881501314,0.00407607111254064,0.189988760326969,0.188339535794472,3.59470135904918e-06,0.433981031606765,0.00189596976744071,0.465146390995848,0.465146390995848
1990,"WGOA","Gelatinous carnivores",49177.7236027152,0.209472591422301,457433692.14443,0,0.209472591422301,0,0.00829938127828939,0.00829938127828939,0,0.0911009400516229,0,0.43490625400228,NA
1990,"WGOA","Infauna",604.736957717165,0.00257587802732005,890593.717019674,0,0.00257587802732005,0,1.61583568253243e-05,1.61583568253243e-05,0,0.00401974586576369,0,1.56053424235535,NA
1990,"WGOA","King crab",686.797069563571,0.00292541320344442,3322762.63843699,0,0.00292541320344442,0,6.02860578641772e-05,6.02860578641772e-05,0,0.00776440969193262,0,2.65412410212366,NA
1990,"WGOA","Large sculpins",25470.0919642395,0.10848989698293,415683115.931292,0,0.10848989698293,0,0.00754188580619874,0.00754188580619874,0,0.0868440314943908,0,0.800480357245203,NA
1990,"WGOA","Lingcod",843.486657385587,0.0035928327504557,3593424.98204065,0,0.0035928327504557,0,6.51967805018376e-05,6.51967805018376e-05,0,0.00807445233448298,0,2.24737773653918,NA
1990,"WGOA","Longnose skate",9752.92321519591,0.0415425918518321,75039999.0958113,0,0.0415425918518321,0,0.00136147724645956,0.00136147724645956,0,0.0368982011276913,0,0.888201710169994,NA
1990,"WGOA","MISC_NA",1547.74927285494,0.00659264047429406,15777617.2347825,0,0.00659264047429406,0,0.000286258890289667,0.000286258890289667,0,0.0169191870457675,0,2.56637490118543,NA
1990,"WGOA","MISC_SHELLS",1262.30177867985,0.00537677642164081,2334975.84882213,0,0.00537677642164081,0,4.2364292743993e-05,4.2364292743993e-05,0,0.00650878581180799,0,1.21053681637403,NA
1990,"WGOA","Miscellaneous deep-sea fish",126.465946994109,0.000538681901129492,131867.830865823,0,0.000538681901129492,0,2.3925246991883e-06,2.3925246991883e-06,0,0.00154677881391888,0,2.87141411411009,NA
1990,"WGOA","Motile epifauna",15149.4386465675,0.0645290578621747,428188489.91453,0,0.0645290578621747,0,0.00776877522973014,0.00776877522973014,0,0.0881406559411157,0,1.36590644371985,NA
1990,"WGOA","Nonpandalid shrimp",246.869347341956,0.001051540375236,139620.316578048,0,0.001051540375236,0,2.53318078964506e-06,2.53318078964506e-06,0,0.00159159693064703,0,1.51358613338059,NA
1990,"WGOA","Octopus",976.780220464715,0.00416059689309192,3067496.76608793,0,0.00416059689309192,0,5.56546788504709e-05,5.56546788504709e-05,0,0.00746020635441613,0,1.79306155970138,NA
1990,"WGOA","Other gelatinous zooplankton",541.549235780745,0.00230672982584936,1319731.34043802,0,0.00230672982584936,0,2.3944352519938e-05,2.3944352519938e-05,0,0.0048932966924087,0,2.12131331444806,NA
1990,"WGOA","Other skates",13311.8592715181,0.0567018856094414,133857286.263493,0,0.0567018856094414,0,0.00242862009217085,0.00242862009217085,0,0.0492810317685298,0,0.869125095909052,NA
1990,"WGOA","Pacific capelin",136.127265585259,0.000579834302940401,58158.1005828354,0,0.000579834302940401,0,1.05518299033744e-06,1.05518299033744e-06,0,0.00102722100364889,0,1.77157680813251,NA
1990,"WGOA","Pacific cod",391063.504364483,1.665735615005,23872135105.143,0.00692347903400679,1.65420292939831,0.0115326856066855,0.433120591173819,0.427143949955245,2.07614458026557e-05,0.653562506540304,0.00455647295642756,0.39509209839087,0.39509209839087
1990,"WGOA","Pacific dogfish",15696.2471651609,0.0668581896114784,302934803.045211,0,0.0668581896114784,0,0.00549625328460038,0.00549625328460038,0,0.0741367202174494,0,1.10886520631605,NA
1990,"WGOA","Pacific halibut",299520.903757133,1.27580976301417,7424223300.43399,0.00182524594659427,1.2734810964156,0.002328666598567,0.134700309407919,0.134209035777563,4.48757147320297e-07,0.366345514204232,0.000669893385039961,0.287672518449913,0.287672518449913
1990,"WGOA","Pacific herring",9529.910415876,0.0405926684806066,397586157.767765,0,0.0405926684806066,0,0.00721354629305036,0.00721354629305036,0,0.0849325985299541,0,2.09231375292637,NA
